LocationName,lat,lng,StateDesc,TotalPopulation,CountyFIPS,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,Measure_Short
Autauga,32.5350198,-86.64301145,Alabama,55601.0,01001,16.3,10.8,22.9,%,Crude Prevalence,All - Teeth - Lost
Baldwin,30.72811673,-87.72275422,Alabama,218022.0,01003,13.4,8.4,19.6,%,Crude Prevalence,All - Teeth - Lost
Barbour,31.86925212,-85.39330307,Alabama,24881.0,01005,27.1,20.6,33.3,%,Crude Prevalence,All - Teeth - Lost
Bibb,32.99854412,-87.12653219,Alabama,22400.0,01007,20.7,15.3,26.5,%,Crude Prevalence,All - Teeth - Lost
Blount,33.98070621,-86.56784586,Alabama,57840.0,01009,19.3,13.2,26.8,%,Crude Prevalence,All - Teeth - Lost
Bullock,32.10044482,-85.71563262,Alabama,10138.0,01011,28.5,21.4,35.3,%,Crude Prevalence,All - Teeth - Lost
Butler,31.75259734,-86.68030416,Alabama,19680.0,01013,24.8,18.8,31.3,%,Crude Prevalence,All - Teeth - Lost
Calhoun,33.77170768,-85.82579874,Alabama,114277.0,01015,19.1,13.6,25.5,%,Crude Prevalence,All - Teeth - Lost
Chambers,32.91401536,-85.39238495,Alabama,33615.0,01017,22.4,16.8,27.9,%,Crude Prevalence,All - Teeth - Lost
Cherokee,34.17572884,-85.60387093,Alabama,26032.0,01019,20.9,14.9,28.5,%,Crude Prevalence,All - Teeth - Lost
Chilton,32.84755922,-86.71886671,Alabama,44153.0,01021,21.2,14.7,27.7,%,Crude Prevalence,All - Teeth - Lost
Choctaw,32.020526,-88.26304964,Alabama,12841.0,01023,23.7,18.2,29.8,%,Crude Prevalence,All - Teeth - Lost
Clarke,31.67753092,-87.83050953,Alabama,23920.0,01025,23.7,18.4,29.3,%,Crude Prevalence,All - Teeth - Lost
Clay,33.26916978,-85.86076142,Alabama,13275.0,01027,23.4,16.9,31.3,%,Crude Prevalence,All - Teeth - Lost
Cleburne,33.67451857,-85.51894991,Alabama,14987.0,01029,21.1,14.3,28.1,%,Crude Prevalence,All - Teeth - Lost
Coffee,31.40188396,-85.98828821,Alabama,51909.0,01031,17.2,11.7,22.8,%,Crude Prevalence,All - Teeth - Lost
Colbert,34.70084917,-87.80480288,Alabama,54762.0,01033,17.9,12.8,23.9,%,Crude Prevalence,All - Teeth - Lost
Conecuh,31.42928542,-86.99409002,Alabama,12277.0,01035,27.0,21.4,32.8,%,Crude Prevalence,All - Teeth - Lost
