LocationName,lat,lng,StateDesc,TotalPopulation,CountyFIPS,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,Measure_Short
Autauga,32.5350198,-86.64301145,Alabama,55601.0,01001,29.3,27.9,30.5,%,Crude Prevalence,Arthritis
Baldwin,30.72811673,-87.72275422,Alabama,218022.0,01003,27.3,26.0,28.6,%,Crude Prevalence,Arthritis
Barbour,31.86925212,-85.39330307,Alabama,24881.0,01005,33.2,32.2,34.3,%,Crude Prevalence,Arthritis
Bibb,32.99854412,-87.12653219,Alabama,22400.0,01007,30.6,29.5,31.7,%,Crude Prevalence,Arthritis
Blount,33.98070621,-86.56784586,Alabama,57840.0,01009,30.1,28.8,31.4,%,Crude Prevalence,Arthritis
Bullock,32.10044482,-85.71563262,Alabama,10138.0,01011,33.0,31.8,34.2,%,Crude Prevalence,Arthritis
Butler,31.75259734,-86.68030416,Alabama,19680.0,01013,33.8,32.7,34.9,%,Crude Prevalence,Arthritis
Calhoun,33.77170768,-85.82579874,Alabama,114277.0,01015,31.6,30.2,32.8,%,Crude Prevalence,Arthritis
Chambers,32.91401536,-85.39238495,Alabama,33615.0,01017,31.4,30.3,32.5,%,Crude Prevalence,Arthritis
Cherokee,34.17572884,-85.60387093,Alabama,26032.0,01019,32.2,30.8,33.7,%,Crude Prevalence,Arthritis
Chilton,32.84755922,-86.71886671,Alabama,44153.0,01021,31.4,30.1,32.6,%,Crude Prevalence,Arthritis
Choctaw,32.020526,-88.26304964,Alabama,12841.0,01023,32.2,31.1,33.4,%,Crude Prevalence,Arthritis
Clarke,31.67753092,-87.83050953,Alabama,23920.0,01025,31.2,30.0,32.2,%,Crude Prevalence,Arthritis
Clay,33.26916978,-85.86076142,Alabama,13275.0,01027,32.7,31.4,33.9,%,Crude Prevalence,Arthritis
Cleburne,33.67451857,-85.51894991,Alabama,14987.0,01029,31.1,29.7,32.5,%,Crude Prevalence,Arthritis
Coffee,31.40188396,-85.98828821,Alabama,51909.0,01031,29.1,27.8,30.4,%,Crude Prevalence,Arthritis
Colbert,34.70084917,-87.80480288,Alabama,54762.0,01033,29.8,28.5,31.1,%,Crude Prevalence,Arthritis
Conecuh,31.42928542,-86.99409002,Alabama,12277.0,01035,32.5,31.5,33.5,%,Crude Prevalence,Arthritis
Coosa,32.93634238,-86.24787111,Alabama,10715.0,01037,32.0,30.9,33.1,%,Crude Prevalence,Arthritis
Covington,31.24869317,-86.45156346,Alabama,36986.0,01039,31.6,30.3,32.9,%,Crude Prevalence,Arthritis
Crenshaw,31.73171737,-86.31327649,Alabama,13824.0,01041,31.9,30.6,33.1,%,Crude Prevalence,Arthritis
Cullman,34.13199197,-86.8671365,Alabama,83442.0,01043,32.0,30.5,33.4,%,Crude Prevalence,Arthritis
Dale,31.43150889,-85.61159073,Alabama,48956.0,01045,31.2,30.0,32.3,%,Crude Prevalence,Arthritis
Dallas,32.32602481,-87.1066303,Alabama,38310.0,01047,31.8,30.6,33.0,%,Crude Prevalence,Arthritis
DeKalb,34.4602025,-85.8035973,Alabama,71385.0,01049,31.1,29.7,32.4,%,Crude Prevalence,Arthritis
Elmore,32.59685888,-86.14875636,Alabama,81887.0,01051,30.2,28.8,31.5,%,Crude Prevalence,Arthritis
Escambia,31.12612281,-87.16137773,Alabama,36748.0,01053,31.1,30.1,32.2,%,Crude Prevalence,Arthritis
Etowah,34.04522195,-86.03539165,Alabama,102501.0,01055,30.8,29.5,32.1,%,Crude Prevalence,Arthritis
Fayette,33.72121137,-87.73921374,Alabama,16433.0,01057,32.7,31.3,33.9,%,Crude Prevalence,Arthritis
Franklin,34.44238135,-87.843283,Alabama,31363.0,01059,31.1,29.8,32.3,%,Crude Prevalence,Arthritis
Geneva,31.09487431,-85.83932635,Alabama,26314.0,01061,33.5,32.1,34.8,%,Crude Prevalence,Arthritis
Greene,32.8537694,-87.95608364,Alabama,8233.0,01063,34.0,32.6,35.2,%,Crude Prevalence,Arthritis
Hale,32.76294506,-87.63018079,Alabama,14726.0,01065,33.5,32.3,34.7,%,Crude Prevalence,Arthritis
Henry,31.5149075,-85.24183736,Alabama,17209.0,01067,30.0,28.8,31.2,%,Crude Prevalence,Arthritis
Houston,31.15350797,-85.30249702,Alabama,104722.0,01069,30.1,29.0,31.2,%,Crude Prevalence,Arthritis
Jackson,34.77967706,-85.99947453,Alabama,51736.0,01071,32.3,30.9,33.7,%,Crude Prevalence,Arthritis
Jefferson,33.55458811,-86.89673378,Alabama,659300.0,01073,28.3,27.2,29.4,%,Crude Prevalence,Arthritis
Lamar,33.77909349,-88.09715315,Alabama,13844.0,01075,33.3,31.9,34.7,%,Crude Prevalence,Arthritis
Lauderdale,34.90142261,-87.65453895,Alabama,92387.0,01077,29.4,27.9,30.7,%,Crude Prevalence,Arthritis
Lawrence,34.52187809,-87.31069915,Alabama,32957.0,01079,30.4,29.1,31.6,%,Crude Prevalence,Arthritis
Lee,32.60099295,-85.35534328,Alabama,163941.0,01081,30.5,29.3,31.6,%,Crude Prevalence,Arthritis
Limestone,34.81026419,-86.98204165,Alabama,96174.0,01083,29.8,28.3,31.0,%,Crude Prevalence,Arthritis
Lowndes,32.15495765,-86.65008014,Alabama,9974.0,01085,34.5,33.3,35.8,%,Crude Prevalence,Arthritis
Macon,32.38575719,-85.69271411,Alabama,18439.0,01087,32.4,31.0,33.7,%,Crude Prevalence,Arthritis
Madison,34.7629041,-86.5506924,Alabama,366519.0,01089,28.8,27.5,29.9,%,Crude Prevalence,Arthritis
Marengo,32.24802803,-87.78897342,Alabama,19066.0,01091,31.8,30.6,32.9,%,Crude Prevalence,Arthritis
Marion,34.13691691,-87.88740512,Alabama,29763.0,01093,32.5,31.1,34.0,%,Crude Prevalence,Arthritis
Marshall,34.36718343,-86.30608505,Alabama,96109.0,01095,30.9,29.5,32.4,%,Crude Prevalence,Arthritis
Mobile,30.78657016,-88.20658862,Alabama,413757.0,01097,29.7,28.7,30.7,%,Crude Prevalence,Arthritis
Monroe,31.57086205,-87.36533405,Alabama,21067.0,01099,34.0,32.9,35.0,%,Crude Prevalence,Arthritis
Montgomery,32.22034164,-86.20804808,Alabama,225763.0,01101,31.2,30.0,32.4,%,Crude Prevalence,Arthritis
Morgan,34.4534685,-86.85332071,Alabama,119089.0,01103,29.4,28.2,30.7,%,Crude Prevalence,Arthritis
Perry,32.63868928,-87.29439436,Alabama,9140.0,01105,36.0,34.6,37.3,%,Crude Prevalence,Arthritis
Pickens,33.28043578,-88.08874093,Alabama,19938.0,01107,33.2,32.1,34.2,%,Crude Prevalence,Arthritis
Pike,31.80252217,-85.94116812,Alabama,33338.0,01109,32.0,30.8,33.2,%,Crude Prevalence,Arthritis
Randolph,33.29367147,-85.45907232,Alabama,22725.0,01111,31.9,30.6,33.1,%,Crude Prevalence,Arthritis
Russell,32.28842421,-85.18445744,Alabama,57781.0,01113,32.1,31.1,33.2,%,Crude Prevalence,Arthritis
St. Clair,33.71565784,-86.3149495,Alabama,88690.0,01115,30.3,28.9,31.6,%,Crude Prevalence,Arthritis
Shelby,33.26422221,-86.66104603,Alabama,215707.0,01117,25.7,24.4,26.9,%,Crude Prevalence,Arthritis
Sumter,32.58923369,-88.1995063,Alabama,12691.0,01119,32.4,31.0,33.7,%,Crude Prevalence,Arthritis
Talladega,33.38016157,-86.16578887,Alabama,79828.0,01121,33.2,32.0,34.2,%,Crude Prevalence,Arthritis
Tallapoosa,32.86282332,-85.79743161,Alabama,40497.0,01123,30.8,29.6,32.0,%,Crude Prevalence,Arthritis
Tuscaloosa,33.28961016,-87.52507429,Alabama,208911.0,01125,30.3,29.1,31.4,%,Crude Prevalence,Arthritis
Walker,33.80308206,-87.29738289,Alabama,63711.0,01127,34.1,32.6,35.5,%,Crude Prevalence,Arthritis
Washington,31.40764298,-88.20779087,Alabama,16378.0,01129,32.1,31.0,33.2,%,Crude Prevalence,Arthritis
Wilcox,31.98925616,-87.30801913,Alabama,10627.0,01131,33.2,31.9,34.3,%,Crude Prevalence,Arthritis
Winston,34.14919919,-87.37360952,Alabama,23660.0,01133,32.3,30.8,33.9,%,Crude Prevalence,Arthritis
Aleutians East,55.35903757,-161.979848,Alaska,3515.0,02013,21.0,20.3,21.6,%,Crude Prevalence,Arthritis
Aleutians West,52.8107872,-174.181061,Alaska,5723.0,02016,20.7,20.1,21.4,%,Crude Prevalence,Arthritis
Anchorage,61.1504589,-149.1141071,Alaska,291538.0,02020,22.4,21.4,23.4,%,Crude Prevalence,Arthritis
Bethel,60.91560276,-159.8247503,Alaska,18216.0,02050,28.9,27.7,30.1,%,Crude Prevalence,Arthritis
Bristol Bay,58.74223433,-156.701884,Alaska,877.0,02060,24.6,23.8,25.5,%,Crude Prevalence,Arthritis
Denali,63.67350143,-150.0088291,Alaska,2059.0,02068,22.7,21.5,24.0,%,Crude Prevalence,Arthritis
Dillingham,59.79999618,-158.2125392,Alaska,5000.0,02070,27.7,26.6,28.8,%,Crude Prevalence,Arthritis
Fairbanks North Star,64.80852672,-146.5624138,Alaska,98971.0,02090,24.6,23.5,25.7,%,Crude Prevalence,Arthritis
Haines,59.11448538,-135.5007934,Alaska,2474.0,02100,22.3,21.2,23.4,%,Crude Prevalence,Arthritis
Hoonah-Angoon,58.18652895,-135.3290871,Alaska,2151.0,02105,24.0,23.1,24.8,%,Crude Prevalence,Arthritis
Juneau,58.45102839,-134.1828501,Alaska,32113.0,02110,25.3,24.3,26.5,%,Crude Prevalence,Arthritis
Kenai Peninsula,60.25818708,-151.5665895,Alaska,58533.0,02122,26.1,24.9,27.3,%,Crude Prevalence,Arthritis
Ketchikan Gateway,55.58863162,-130.9352394,Alaska,13918.0,02130,23.4,22.4,24.3,%,Crude Prevalence,Arthritis
Kodiak Island,57.66814491,-153.7816117,Alaska,13345.0,02150,20.4,19.6,21.2,%,Crude Prevalence,Arthritis
Kusilvak,62.1574671,-163.3831265,Alaska,8303.0,02158,34.3,32.9,35.8,%,Crude Prevalence,Arthritis
Lake and Peninsula,58.63644251,-156.1898946,Alaska,1587.0,02164,27.2,26.1,28.2,%,Crude Prevalence,Arthritis
Matanuska-Susitna,62.3154278,-149.5702635,Alaska,107610.0,02170,24.0,22.8,25.1,%,Crude Prevalence,Arthritis
Nome,64.91045824,-164.0327478,Alaska,10008.0,02180,27.2,26.2,28.3,%,Crude Prevalence,Arthritis
North Slope,69.3117884,-153.4445902,Alaska,9872.0,02185,23.7,22.8,24.6,%,Crude Prevalence,Arthritis
