LocationName,lat,lng,StateDesc,TotalPopulation,CountyFIPS,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,Measure_Short
Autauga,32.5350198,-86.64301145,Alabama,55601.0,1001,86.7,85.4,87.8,%,Crude Prevalence,Screening
Baldwin,30.72811673,-87.72275422,Alabama,218022.0,1003,87.6,86.4,88.6,%,Crude Prevalence,Screening
Barbour,31.86925212,-85.39330307,Alabama,24881.0,1005,85.9,84.8,86.9,%,Crude Prevalence,Screening
Bibb,32.99854412,-87.12653219,Alabama,22400.0,1007,85.3,84.2,86.4,%,Crude Prevalence,Screening
Blount,33.98070621,-86.56784586,Alabama,57840.0,1009,85.3,83.9,86.6,%,Crude Prevalence,Screening
Bullock,32.10044482,-85.71563262,Alabama,10138.0,1011,86.6,85.5,87.7,%,Crude Prevalence,Screening
Butler,31.75259734,-86.68030416,Alabama,19680.0,1013,87.0,86.1,88.0,%,Crude Prevalence,Screening
Calhoun,33.77170768,-85.82579874,Alabama,114277.0,1015,85.7,84.4,86.9,%,Crude Prevalence,Screening
Chambers,32.91401536,-85.39238495,Alabama,33615.0,1017,86.8,85.9,87.9,%,Crude Prevalence,Screening
Cherokee,34.17572884,-85.60387093,Alabama,26032.0,1019,86.3,85.1,87.5,%,Crude Prevalence,Screening
Chilton,32.84755922,-86.71886671,Alabama,44153.0,1021,84.4,83.1,85.7,%,Crude Prevalence,Screening
Choctaw,32.020526,-88.26304964,Alabama,12841.0,1023,87.8,87.0,88.7,%,Crude Prevalence,Screening
Clarke,31.67753092,-87.83050953,Alabama,23920.0,1025,86.9,86.0,87.8,%,Crude Prevalence,Screening
Clay,33.26916978,-85.86076142,Alabama,13275.0,1027,85.5,84.3,86.7,%,Crude Prevalence,Screening
Cleburne,33.67451857,-85.51894991,Alabama,14987.0,1029,85.2,83.7,86.6,%,Crude Prevalence,Screening
Coffee,31.40188396,-85.98828821,Alabama,51909.0,1031,86.6,85.5,87.7,%,Crude Prevalence,Screening
Colbert,34.70084917,-87.80480288,Alabama,54762.0,1033,86.4,85.2,87.6,%,Crude Prevalence,Screening
Conecuh,31.42928542,-86.99409002,Alabama,12277.0,1035,87.2,86.3,88.0,%,Crude Prevalence,Screening
Coosa,32.93634238,-86.24787111,Alabama,10715.0,1037,87.4,86.4,88.3,%,Crude Prevalence,Screening
Covington,31.24869317,-86.45156346,Alabama,36986.0,1039,86.3,85.1,87.5,%,Crude Prevalence,Screening
Crenshaw,31.73171737,-86.31327649,Alabama,13824.0,1041,86.2,85.0,87.3,%,Crude Prevalence,Screening
Cullman,34.13199197,-86.8671365,Alabama,83442.0,1043,85.1,83.6,86.5,%,Crude Prevalence,Screening
