LocationName,lat,lng,StateDesc,TotalPopulation,CountyFIPS,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,Measure_Short
Autauga,32.5350198,-86.64301145,Alabama,55601.0,01001,36.6,35.3,37.9,%,Crude Prevalence,High Blood Pressure
Baldwin,30.72811673,-87.72275422,Alabama,218022.0,01003,33.1,31.7,34.4,%,Crude Prevalence,High Blood Pressure
Barbour,31.86925212,-85.39330307,Alabama,24881.0,01005,45.8,44.6,47.0,%,Crude Prevalence,High Blood Pressure
Bibb,32.99854412,-87.12653219,Alabama,22400.0,01007,40.8,39.6,41.9,%,Crude Prevalence,High Blood Pressure
Blount,33.98070621,-86.56784586,Alabama,57840.0,01009,37.3,35.9,38.6,%,Crude Prevalence,High Blood Pressure
Bullock,32.10044482,-85.71563262,Alabama,10138.0,01011,47.7,46.5,48.9,%,Crude Prevalence,High Blood Pressure
Butler,31.75259734,-86.68030416,Alabama,19680.0,01013,44.4,43.1,45.5,%,Crude Prevalence,High Blood Pressure
Calhoun,33.77170768,-85.82579874,Alabama,114277.0,01015,38.6,37.3,39.8,%,Crude Prevalence,High Blood Pressure
Chambers,32.91401536,-85.39238495,Alabama,33615.0,01017,42.5,41.3,43.6,%,Crude Prevalence,High Blood Pressure
Cherokee,34.17572884,-85.60387093,Alabama,26032.0,01019,36.4,35.1,37.7,%,Crude Prevalence,High Blood Pressure
Chilton,32.84755922,-86.71886671,Alabama,44153.0,01021,39.1,37.7,40.3,%,Crude Prevalence,High Blood Pressure
Choctaw,32.020526,-88.26304964,Alabama,12841.0,01023,43.5,42.4,44.6,%,Crude Prevalence,High Blood Pressure
Clarke,31.67753092,-87.83050953,Alabama,23920.0,01025,43.5,42.3,44.7,%,Crude Prevalence,High Blood Pressure
Clay,33.26916978,-85.86076142,Alabama,13275.0,01027,39.7,38.5,41.0,%,Crude Prevalence,High Blood Pressure
Cleburne,33.67451857,-85.51894991,Alabama,14987.0,01029,36.5,35.1,37.8,%,Crude Prevalence,High Blood Pressure
Coffee,31.40188396,-85.98828821,Alabama,51909.0,01031,37.7,36.5,38.9,%,Crude Prevalence,High Blood Pressure
Colbert,34.70084917,-87.80480288,Alabama,54762.0,01033,38.6,37.3,39.9,%,Crude Prevalence,High Blood Pressure
Conecuh,31.42928542,-86.99409002,Alabama,12277.0,01035,45.8,44.8,46.8,%,Crude Prevalence,High Blood Pressure
Coosa,32.93634238,-86.24787111,Alabama,10715.0,01037,41.4,40.2,42.5,%,Crude Prevalence,High Blood Pressure
Covington,31.24869317,-86.45156346,Alabama,36986.0,01039,36.7,35.4,37.9,%,Crude Prevalence,High Blood Pressure
Crenshaw,31.73171737,-86.31327649,Alabama,13824.0,01041,39.8,38.4,41.0,%,Crude Prevalence,High Blood Pressure
Cullman,34.13199197,-86.8671365,Alabama,83442.0,01043,34.5,33.1,35.9,%,Crude Prevalence,High Blood Pressure
Dale,31.43150889,-85.61159073,Alabama,48956.0,01045,37.8,36.7,38.9,%,Crude Prevalence,High Blood Pressure
Dallas,32.32602481,-87.1066303,Alabama,38310.0,01047,47.2,45.9,48.4,%,Crude Prevalence,High Blood Pressure
DeKalb,34.4602025,-85.8035973,Alabama,71385.0,01049,38.4,37.0,39.7,%,Crude Prevalence,High Blood Pressure
Elmore,32.59685888,-86.14875636,Alabama,81887.0,01051,36.9,35.7,38.1,%,Crude Prevalence,High Blood Pressure
Escambia,31.12612281,-87.16137773,Alabama,36748.0,01053,41.4,40.4,42.5,%,Crude Prevalence,High Blood Pressure
Etowah,34.04522195,-86.03539165,Alabama,102501.0,01055,39.3,38.0,40.5,%,Crude Prevalence,High Blood Pressure
Fayette,33.72121137,-87.73921374,Alabama,16433.0,01057,37.9,36.5,39.1,%,Crude Prevalence,High Blood Pressure
Franklin,34.44238135,-87.843283,Alabama,31363.0,01059,39.5,38.3,40.7,%,Crude Prevalence,High Blood Pressure
Geneva,31.09487431,-85.83932635,Alabama,26314.0,01061,39.2,37.9,40.5,%,Crude Prevalence,High Blood Pressure
Greene,32.8537694,-87.95608364,Alabama,8233.0,01063,50.2,48.7,51.6,%,Crude Prevalence,High Blood Pressure
Hale,32.76294506,-87.63018079,Alabama,14726.0,01065,46.1,44.8,47.3,%,Crude Prevalence,High Blood Pressure
Henry,31.5149075,-85.24183736,Alabama,17209.0,01067,40.0,38.8,41.2,%,Crude Prevalence,High Blood Pressure
Houston,31.15350797,-85.30249702,Alabama,104722.0,01069,38.1,36.9,39.2,%,Crude Prevalence,High Blood Pressure
Jackson,34.77967706,-85.99947453,Alabama,51736.0,01071,37.5,36.1,38.8,%,Crude Prevalence,High Blood Pressure
Jefferson,33.55458811,-86.89673378,Alabama,659300.0,01073,38.3,37.1,39.3,%,Crude Prevalence,High Blood Pressure
Lamar,33.77909349,-88.09715315,Alabama,13844.0,01075,39.1,37.7,40.5,%,Crude Prevalence,High Blood Pressure
Lauderdale,34.90142261,-87.65453895,Alabama,92387.0,01077,35.6,34.3,36.8,%,Crude Prevalence,High Blood Pressure
Lawrence,34.52187809,-87.31069915,Alabama,32957.0,01079,39.0,37.8,40.2,%,Crude Prevalence,High Blood Pressure
Lee,32.60099295,-85.35534328,Alabama,163941.0,01081,37.0,35.9,38.2,%,Crude Prevalence,High Blood Pressure
Limestone,34.81026419,-86.98204165,Alabama,96174.0,01083,37.8,36.3,39.1,%,Crude Prevalence,High Blood Pressure
Lowndes,32.15495765,-86.65008014,Alabama,9974.0,01085,49.3,47.9,50.6,%,Crude Prevalence,High Blood Pressure
Macon,32.38575719,-85.69271411,Alabama,18439.0,01087,49.3,47.8,50.6,%,Crude Prevalence,High Blood Pressure
Madison,34.7629041,-86.5506924,Alabama,366519.0,01089,35.4,34.1,36.5,%,Crude Prevalence,High Blood Pressure
Marengo,32.24802803,-87.78897342,Alabama,19066.0,01091,43.9,42.8,45.1,%,Crude Prevalence,High Blood Pressure
Marion,34.13691691,-87.88740512,Alabama,29763.0,01093,39.1,37.6,40.6,%,Crude Prevalence,High Blood Pressure
Marshall,34.36718343,-86.30608505,Alabama,96109.0,01095,36.5,35.1,37.8,%,Crude Prevalence,High Blood Pressure
Mobile,30.78657016,-88.20658862,Alabama,413757.0,01097,39.0,38.0,40.0,%,Crude Prevalence,High Blood Pressure
Monroe,31.57086205,-87.36533405,Alabama,21067.0,01099,44.3,43.2,45.4,%,Crude Prevalence,High Blood Pressure
Montgomery,32.22034164,-86.20804808,Alabama,225763.0,01101,41.5,40.4,42.7,%,Crude Prevalence,High Blood Pressure
Morgan,34.4534685,-86.85332071,Alabama,119089.0,01103,37.5,36.2,38.7,%,Crude Prevalence,High Blood Pressure
Perry,32.63868928,-87.29439436,Alabama,9140.0,01105,49.3,47.9,50.6,%,Crude Prevalence,High Blood Pressure
Pickens,33.28043578,-88.08874093,Alabama,19938.0,01107,42.4,41.3,43.5,%,Crude Prevalence,High Blood Pressure
Pike,31.80252217,-85.94116812,Alabama,33338.0,01109,39.9,38.7,41.0,%,Crude Prevalence,High Blood Pressure
Randolph,33.29367147,-85.45907232,Alabama,22725.0,01111,38.1,36.8,39.1,%,Crude Prevalence,High Blood Pressure
Russell,32.28842421,-85.18445744,Alabama,57781.0,01113,43.2,42.1,44.3,%,Crude Prevalence,High Blood Pressure
St. Clair,33.71565784,-86.3149495,Alabama,88690.0,01115,37.7,36.4,39.0,%,Crude Prevalence,High Blood Pressure
Shelby,33.26422221,-86.66104603,Alabama,215707.0,01117,35.7,34.3,37.0,%,Crude Prevalence,High Blood Pressure
Sumter,32.58923369,-88.1995063,Alabama,12691.0,01119,49.5,48.1,50.9,%,Crude Prevalence,High Blood Pressure
Talladega,33.38016157,-86.16578887,Alabama,79828.0,01121,43.4,42.2,44.5,%,Crude Prevalence,High Blood Pressure
Tallapoosa,32.86282332,-85.79743161,Alabama,40497.0,01123,41.0,39.7,42.1,%,Crude Prevalence,High Blood Pressure
