LocationName,lat,lng,StateDesc,TotalPopulation,CountyFIPS,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,Measure_Short
Autauga,32.5350198,-86.64301145,Alabama,55601.0,1001,37.0,36.0,38.0,%,Crude Prevalence,High Cholesterol
Baldwin,30.72811673,-87.72275422,Alabama,218022.0,1003,40.1,39.1,41.2,%,Crude Prevalence,High Cholesterol
Barbour,31.86925212,-85.39330307,Alabama,24881.0,1005,41.1,40.2,42.1,%,Crude Prevalence,High Cholesterol
Bibb,32.99854412,-87.12653219,Alabama,22400.0,1007,38.5,37.6,39.5,%,Crude Prevalence,High Cholesterol
Blount,33.98070621,-86.56784586,Alabama,57840.0,1009,40.8,39.7,41.9,%,Crude Prevalence,High Cholesterol
Bullock,32.10044482,-85.71563262,Alabama,10138.0,1011,39.2,38.2,40.1,%,Crude Prevalence,High Cholesterol
Butler,31.75259734,-86.68030416,Alabama,19680.0,1013,41.1,40.2,42.0,%,Crude Prevalence,High Cholesterol
Calhoun,33.77170768,-85.82579874,Alabama,114277.0,1015,40.3,39.2,41.3,%,Crude Prevalence,High Cholesterol
Chambers,32.91401536,-85.39238495,Alabama,33615.0,1017,40.6,39.8,41.5,%,Crude Prevalence,High Cholesterol
Cherokee,34.17572884,-85.60387093,Alabama,26032.0,1019,42.8,41.7,44.0,%,Crude Prevalence,High Cholesterol
Chilton,32.84755922,-86.71886671,Alabama,44153.0,1021,41.6,40.4,42.6,%,Crude Prevalence,High Cholesterol
Choctaw,32.020526,-88.26304964,Alabama,12841.0,1023,42.3,41.4,43.2,%,Crude Prevalence,High Cholesterol
Clarke,31.67753092,-87.83050953,Alabama,23920.0,1025,41.3,40.3,42.2,%,Crude Prevalence,High Cholesterol
Clay,33.26916978,-85.86076142,Alabama,13275.0,1027,42.3,41.2,43.4,%,Crude Prevalence,High Cholesterol
Cleburne,33.67451857,-85.51894991,Alabama,14987.0,1029,41.2,40.1,42.5,%,Crude Prevalence,High Cholesterol
Coffee,31.40188396,-85.98828821,Alabama,51909.0,1031,38.6,37.7,39.5,%,Crude Prevalence,High Cholesterol
Colbert,34.70084917,-87.80480288,Alabama,54762.0,1033,41.1,40.0,42.2,%,Crude Prevalence,High Cholesterol
Conecuh,31.42928542,-86.99409002,Alabama,12277.0,1035,43.4,42.5,44.3,%,Crude Prevalence,High Cholesterol
Coosa,32.93634238,-86.24787111,Alabama,10715.0,1037,42.9,41.9,43.9,%,Crude Prevalence,High Cholesterol
Covington,31.24869317,-86.45156346,Alabama,36986.0,1039,41.0,39.9,42.2,%,Crude Prevalence,High Cholesterol
Crenshaw,31.73171737,-86.31327649,Alabama,13824.0,1041,40.6,39.6,41.6,%,Crude Prevalence,High Cholesterol
Cullman,34.13199197,-86.8671365,Alabama,83442.0,1043,40.7,39.4,41.8,%,Crude Prevalence,High Cholesterol
Dale,31.43150889,-85.61159073,Alabama,48956.0,1045,36.6,35.7,37.5,%,Crude Prevalence,High Cholesterol
Dallas,32.32602481,-87.1066303,Alabama,38310.0,1047,39.1,38.2,40.1,%,Crude Prevalence,High Cholesterol
DeKalb,34.4602025,-85.8035973,Alabama,71385.0,1049,41.7,40.5,42.8,%,Crude Prevalence,High Cholesterol
Elmore,32.59685888,-86.14875636,Alabama,81887.0,1051,37.5,36.5,38.3,%,Crude Prevalence,High Cholesterol
Escambia,31.12612281,-87.16137773,Alabama,36748.0,1053,39.5,38.6,40.4,%,Crude Prevalence,High Cholesterol
Etowah,34.04522195,-86.03539165,Alabama,102501.0,1055,41.8,40.8,42.8,%,Crude Prevalence,High Cholesterol
Fayette,33.72121137,-87.73921374,Alabama,16433.0,1057,42.5,41.4,43.6,%,Crude Prevalence,High Cholesterol
Franklin,34.44238135,-87.843283,Alabama,31363.0,1059,40.2,39.1,41.3,%,Crude Prevalence,High Cholesterol
Geneva,31.09487431,-85.83932635,Alabama,26314.0,1061,42.2,41.1,43.3,%,Crude Prevalence,High Cholesterol
Greene,32.8537694,-87.95608364,Alabama,8233.0,1063,42.6,41.5,43.9,%,Crude Prevalence,High Cholesterol
Hale,32.76294506,-87.63018079,Alabama,14726.0,1065,41.1,40.2,42.0,%,Crude Prevalence,High Cholesterol
Henry,31.5149075,-85.24183736,Alabama,17209.0,1067,42.3,41.3,43.3,%,Crude Prevalence,High Cholesterol
