LocationName,lat,lng,StateDesc,TotalPopulation,CountyFIPS,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,Measure_Short
Autauga,32.5350198,-86.64301145,Alabama,55601.0,01001,77.5,73.6,80.9,%,Crude Prevalence,Mammography - Use - Among
Baldwin,30.72811673,-87.72275422,Alabama,218022.0,01003,74.0,69.7,78.0,%,Crude Prevalence,Mammography - Use - Among
Barbour,31.86925212,-85.39330307,Alabama,24881.0,01005,75.9,72.8,78.8,%,Crude Prevalence,Mammography - Use - Among
Bibb,32.99854412,-87.12653219,Alabama,22400.0,01007,73.3,68.9,77.2,%,Crude Prevalence,Mammography - Use - Among
Blount,33.98070621,-86.56784586,Alabama,57840.0,01009,71.5,66.4,76.0,%,Crude Prevalence,Mammography - Use - Among
Bullock,32.10044482,-85.71563262,Alabama,10138.0,01011,76.7,73.1,79.9,%,Crude Prevalence,Mammography - Use - Among
Butler,31.75259734,-86.68030416,Alabama,19680.0,01013,73.4,69.9,76.9,%,Crude Prevalence,Mammography - Use - Among
Calhoun,33.77170768,-85.82579874,Alabama,114277.0,01015,72.3,68.1,75.9,%,Crude Prevalence,Mammography - Use - Among
Chambers,32.91401536,-85.39238495,Alabama,33615.0,01017,74.8,71.5,78.1,%,Crude Prevalence,Mammography - Use - Among
Cherokee,34.17572884,-85.60387093,Alabama,26032.0,01019,71.0,65.8,75.4,%,Crude Prevalence,Mammography - Use - Among
Chilton,32.84755922,-86.71886671,Alabama,44153.0,01021,72.0,67.6,76.4,%,Crude Prevalence,Mammography - Use - Among
Choctaw,32.020526,-88.26304964,Alabama,12841.0,01023,75.0,71.6,77.9,%,Crude Prevalence,Mammography - Use - Among
Clarke,31.67753092,-87.83050953,Alabama,23920.0,01025,74.9,71.5,77.9,%,Crude Prevalence,Mammography - Use - Among
Clay,33.26916978,-85.86076142,Alabama,13275.0,01027,73.9,69.7,77.7,%,Crude Prevalence,Mammography - Use - Among
Cleburne,33.67451857,-85.51894991,Alabama,14987.0,01029,72.1,67.2,76.4,%,Crude Prevalence,Mammography - Use - Among
Coffee,31.40188396,-85.98828821,Alabama,51909.0,01031,75.8,71.8,79.4,%,Crude Prevalence,Mammography - Use - Among
Colbert,34.70084917,-87.80480288,Alabama,54762.0,01033,73.6,69.2,77.6,%,Crude Prevalence,Mammography - Use - Among
Conecuh,31.42928542,-86.99409002,Alabama,12277.0,01035,72.2,68.5,75.5,%,Crude Prevalence,Mammography - Use - Among
Coosa,32.93634238,-86.24787111,Alabama,10715.0,01037,73.6,70.0,77.1,%,Crude Prevalence,Mammography - Use - Among
Covington,31.24869317,-86.45156346,Alabama,36986.0,01039,74.0,69.8,77.9,%,Crude Prevalence,Mammography - Use - Among
Crenshaw,31.73171737,-86.31327649,Alabama,13824.0,01041,73.0,69.1,77.0,%,Crude Prevalence,Mammography - Use - Among
Cullman,34.13199197,-86.8671365,Alabama,83442.0,01043,74.3,69.5,78.6,%,Crude Prevalence,Mammography - Use - Among
Dale,31.43150889,-85.61159073,Alabama,48956.0,01045,75.0,71.4,78.4,%,Crude Prevalence,Mammography - Use - Among
Dallas,32.32602481,-87.1066303,Alabama,38310.0,01047,76.8,73.5,79.6,%,Crude Prevalence,Mammography - Use - Among
DeKalb,34.4602025,-85.8035973,Alabama,71385.0,01049,69.9,65.1,74.5,%,Crude Prevalence,Mammography - Use - Among
Elmore,32.59685888,-86.14875636,Alabama,81887.0,01051,77.0,73.0,80.7,%,Crude Prevalence,Mammography - Use - Among
Escambia,31.12612281,-87.16137773,Alabama,36748.0,01053,71.9,68.2,75.3,%,Crude Prevalence,Mammography - Use - Among
Etowah,34.04522195,-86.03539165,Alabama,102501.0,01055,75.4,71.4,79.1,%,Crude Prevalence,Mammography - Use - Among
Fayette,33.72121137,-87.73921374,Alabama,16433.0,01057,74.3,69.5,78.3,%,Crude Prevalence,Mammography - Use - Among
Franklin,34.44238135,-87.843283,Alabama,31363.0,01059,72.7,67.9,77.2,%,Crude Prevalence,Mammography - Use - Among
Geneva,31.09487431,-85.83932635,Alabama,26314.0,01061,70.5,66.1,74.9,%,Crude Prevalence,Mammography - Use - Among
Greene,32.8537694,-87.95608364,Alabama,8233.0,01063,76.2,72.5,79.6,%,Crude Prevalence,Mammography - Use - Among
Hale,32.76294506,-87.63018079,Alabama,14726.0,01065,77.3,74.1,80.1,%,Crude Prevalence,Mammography - Use - Among
Henry,31.5149075,-85.24183736,Alabama,17209.0,01067,75.9,72.4,79.4,%,Crude Prevalence,Mammography - Use - Among
Houston,31.15350797,-85.30249702,Alabama,104722.0,01069,75.3,71.8,78.5,%,Crude Prevalence,Mammography - Use - Among
Jackson,34.77967706,-85.99947453,Alabama,51736.0,01071,71.1,66.1,75.4,%,Crude Prevalence,Mammography - Use - Among
Jefferson,33.55458811,-86.89673378,Alabama,659300.0,01073,81.8,79.4,84.1,%,Crude Prevalence,Mammography - Use - Among
Lamar,33.77909349,-88.09715315,Alabama,13844.0,01075,73.5,68.5,77.7,%,Crude Prevalence,Mammography - Use - Among
Lauderdale,34.90142261,-87.65453895,Alabama,92387.0,01077,73.3,68.6,77.6,%,Crude Prevalence,Mammography - Use - Among
Lawrence,34.52187809,-87.31069915,Alabama,32957.0,01079,72.4,68.2,76.1,%,Crude Prevalence,Mammography - Use - Among
Lee,32.60099295,-85.35534328,Alabama,163941.0,01081,74.6,70.9,77.9,%,Crude Prevalence,Mammography - Use - Among
Limestone,34.81026419,-86.98204165,Alabama,96174.0,01083,74.4,70.3,78.5,%,Crude Prevalence,Mammography - Use - Among
Lowndes,32.15495765,-86.65008014,Alabama,9974.0,01085,75.5,72.0,78.7,%,Crude Prevalence,Mammography - Use - Among
Macon,32.38575719,-85.69271411,Alabama,18439.0,01087,77.0,73.5,80.5,%,Crude Prevalence,Mammography - Use - Among
Madison,34.7629041,-86.5506924,Alabama,366519.0,01089,78.6,75.2,81.3,%,Crude Prevalence,Mammography - Use - Among
Marengo,32.24802803,-87.78897342,Alabama,19066.0,01091,75.0,71.5,78.0,%,Crude Prevalence,Mammography - Use - Among
Marion,34.13691691,-87.88740512,Alabama,29763.0,01093,70.8,65.9,75.5,%,Crude Prevalence,Mammography - Use - Among
Marshall,34.36718343,-86.30608505,Alabama,96109.0,01095,71.7,66.8,76.4,%,Crude Prevalence,Mammography - Use - Among
Mobile,30.78657016,-88.20658862,Alabama,413757.0,01097,77.5,74.4,80.3,%,Crude Prevalence,Mammography - Use - Among
Monroe,31.57086205,-87.36533405,Alabama,21067.0,01099,75.7,72.3,78.8,%,Crude Prevalence,Mammography - Use - Among
Montgomery,32.22034164,-86.20804808,Alabama,225763.0,01101,81.2,78.5,83.7,%,Crude Prevalence,Mammography - Use - Among
Morgan,34.4534685,-86.85332071,Alabama,119089.0,01103,76.7,72.9,80.3,%,Crude Prevalence,Mammography - Use - Among
Perry,32.63868928,-87.29439436,Alabama,9140.0,01105,73.2,69.3,76.5,%,Crude Prevalence,Mammography - Use - Among
Pickens,33.28043578,-88.08874093,Alabama,19938.0,01107,74.9,71.4,78.0,%,Crude Prevalence,Mammography - Use - Among
Pike,31.80252217,-85.94116812,Alabama,33338.0,01109,77.0,73.6,80.2,%,Crude Prevalence,Mammography - Use - Among
Randolph,33.29367147,-85.45907232,Alabama,22725.0,01111,73.9,69.6,77.7,%,Crude Prevalence,Mammography - Use - Among
Russell,32.28842421,-85.18445744,Alabama,57781.0,01113,75.2,71.7,78.2,%,Crude Prevalence,Mammography - Use - Among
St. Clair,33.71565784,-86.3149495,Alabama,88690.0,01115,72.8,68.3,77.0,%,Crude Prevalence,Mammography - Use - Among
Shelby,33.26422221,-86.66104603,Alabama,215707.0,01117,75.4,71.4,79.1,%,Crude Prevalence,Mammography - Use - Among
Sumter,32.58923369,-88.1995063,Alabama,12691.0,01119,77.1,73.3,80.3,%,Crude Prevalence,Mammography - Use - Among
Talladega,33.38016157,-86.16578887,Alabama,79828.0,01121,74.0,70.1,77.4,%,Crude Prevalence,Mammography - Use - Among
Tallapoosa,32.86282332,-85.79743161,Alabama,40497.0,01123,74.1,70.2,77.7,%,Crude Prevalence,Mammography - Use - Among
Tuscaloosa,33.28961016,-87.52507429,Alabama,208911.0,01125,77.5,74.4,80.3,%,Crude Prevalence,Mammography - Use - Among
Walker,33.80308206,-87.29738289,Alabama,63711.0,01127,75.2,70.9,79.0,%,Crude Prevalence,Mammography - Use - Among
Washington,31.40764298,-88.20779087,Alabama,16378.0,01129,74.2,70.7,77.2,%,Crude Prevalence,Mammography - Use - Among
Wilcox,31.98925616,-87.30801913,Alabama,10627.0,01131,76.1,72.7,79.3,%,Crude Prevalence,Mammography - Use - Among
Winston,34.14919919,-87.37360952,Alabama,23660.0,01133,72.7,67.8,77.3,%,Crude Prevalence,Mammography - Use - Among
Aleutians East,55.35903757,-161.979848,Alaska,3515.0,02013,63.5,59.5,67.1,%,Crude Prevalence,Mammography - Use - Among
Aleutians West,52.8107872,-174.181061,Alaska,5723.0,02016,66.2,62.9,69.5,%,Crude Prevalence,Mammography - Use - Among
Anchorage,61.1504589,-149.1141071,Alaska,291538.0,02020,67.4,63.7,70.5,%,Crude Prevalence,Mammography - Use - Among
Bethel,60.91560276,-159.8247503,Alaska,18216.0,02050,59.4,53.9,64.2,%,Crude Prevalence,Mammography - Use - Among
Bristol Bay,58.74223433,-156.701884,Alaska,877.0,02060,63.6,60.2,66.8,%,Crude Prevalence,Mammography - Use - Among
Denali,63.67350143,-150.0088291,Alaska,2059.0,02068,66.3,62.0,70.2,%,Crude Prevalence,Mammography - Use - Among
Dillingham,59.79999618,-158.2125392,Alaska,5000.0,02070,62.3,57.6,66.9,%,Crude Prevalence,Mammography - Use - Among
Fairbanks North Star,64.80852672,-146.5624138,Alaska,98971.0,02090,67.9,63.9,71.8,%,Crude Prevalence,Mammography - Use - Among
Haines,59.11448538,-135.5007934,Alaska,2474.0,02100,64.9,60.8,69.1,%,Crude Prevalence,Mammography - Use - Among
Hoonah-Angoon,58.18652895,-135.3290871,Alaska,2151.0,02105,63.5,59.8,67.0,%,Crude Prevalence,Mammography - Use - Among
Juneau,58.45102839,-134.1828501,Alaska,32113.0,02110,64.1,60.0,67.9,%,Crude Prevalence,Mammography - Use - Among
Kenai Peninsula,60.25818708,-151.5665895,Alaska,58533.0,02122,63.5,58.8,67.9,%,Crude Prevalence,Mammography - Use - Among
Ketchikan Gateway,55.58863162,-130.9352394,Alaska,13918.0,02130,63.8,59.9,67.7,%,Crude Prevalence,Mammography - Use - Among
Kodiak Island,57.66814491,-153.7816117,Alaska,13345.0,02150,65.3,61.9,68.4,%,Crude Prevalence,Mammography - Use - Among
Kusilvak,62.1574671,-163.3831265,Alaska,8303.0,02158,56.0,50.3,61.1,%,Crude Prevalence,Mammography - Use - Among
Lake and Peninsula,58.63644251,-156.1898946,Alaska,1587.0,02164,64.0,59.9,67.9,%,Crude Prevalence,Mammography - Use - Among
Matanuska-Susitna,62.3154278,-149.5702635,Alaska,107610.0,02170,60.6,56.2,65.1,%,Crude Prevalence,Mammography - Use - Among
Nome,64.91045824,-164.0327478,Alaska,10008.0,02180,62.7,58.0,67.1,%,Crude Prevalence,Mammography - Use - Among
North Slope,69.3117884,-153.4445902,Alaska,9872.0,02185,63.9,60.1,67.8,%,Crude Prevalence,Mammography - Use - Among
Northwest Arctic,67.05603596,-159.7201294,Alaska,7671.0,02188,60.1,55.1,65.0,%,Crude Prevalence,Mammography - Use - Among
