LocationName,lat,lng,StateDesc,TotalPopulation,CountyFIPS,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,Measure_Short
Autauga,32.5350198,-86.64301145,Alabama,55601.0,01001,26.4,23.7,29.1,%,Crude Prevalence,Leisure-Time - Physical - Activity
Baldwin,30.72811673,-87.72275422,Alabama,218022.0,01003,23.5,20.7,26.2,%,Crude Prevalence,Leisure-Time - Physical - Activity
Barbour,31.86925212,-85.39330307,Alabama,24881.0,01005,36.8,34.0,39.3,%,Crude Prevalence,Leisure-Time - Physical - Activity
Bibb,32.99854412,-87.12653219,Alabama,22400.0,01007,31.2,28.8,33.6,%,Crude Prevalence,Leisure-Time - Physical - Activity
Blount,33.98070621,-86.56784586,Alabama,57840.0,01009,30.1,27.0,33.2,%,Crude Prevalence,Leisure-Time - Physical - Activity
Bullock,32.10044482,-85.71563262,Alabama,10138.0,01011,38.1,34.9,41.0,%,Crude Prevalence,Leisure-Time - Physical - Activity
Butler,31.75259734,-86.68030416,Alabama,19680.0,01013,35.6,32.7,38.2,%,Crude Prevalence,Leisure-Time - Physical - Activity
Calhoun,33.77170768,-85.82579874,Alabama,114277.0,01015,29.3,26.5,31.8,%,Crude Prevalence,Leisure-Time - Physical - Activity
Chambers,32.91401536,-85.39238495,Alabama,33615.0,01017,32.7,30.4,35.1,%,Crude Prevalence,Leisure-Time - Physical - Activity
Cherokee,34.17572884,-85.60387093,Alabama,26032.0,01019,30.9,27.7,34.0,%,Crude Prevalence,Leisure-Time - Physical - Activity
Chilton,32.84755922,-86.71886671,Alabama,44153.0,01021,33.0,30.2,36.0,%,Crude Prevalence,Leisure-Time - Physical - Activity
Choctaw,32.020526,-88.26304964,Alabama,12841.0,01023,34.0,31.4,36.6,%,Crude Prevalence,Leisure-Time - Physical - Activity
Clarke,31.67753092,-87.83050953,Alabama,23920.0,01025,35.8,32.9,38.3,%,Crude Prevalence,Leisure-Time - Physical - Activity
Clay,33.26916978,-85.86076142,Alabama,13275.0,01027,32.5,29.8,35.3,%,Crude Prevalence,Leisure-Time - Physical - Activity
Cleburne,33.67451857,-85.51894991,Alabama,14987.0,01029,30.4,27.2,33.5,%,Crude Prevalence,Leisure-Time - Physical - Activity
Coffee,31.40188396,-85.98828821,Alabama,51909.0,01031,29.8,27.1,32.5,%,Crude Prevalence,Leisure-Time - Physical - Activity
Colbert,34.70084917,-87.80480288,Alabama,54762.0,01033,29.7,26.9,32.6,%,Crude Prevalence,Leisure-Time - Physical - Activity
Conecuh,31.42928542,-86.99409002,Alabama,12277.0,01035,38.6,36.1,41.2,%,Crude Prevalence,Leisure-Time - Physical - Activity
Coosa,32.93634238,-86.24787111,Alabama,10715.0,01037,33.2,30.6,35.6,%,Crude Prevalence,Leisure-Time - Physical - Activity
Covington,31.24869317,-86.45156346,Alabama,36986.0,01039,31.4,28.3,34.3,%,Crude Prevalence,Leisure-Time - Physical - Activity
Crenshaw,31.73171737,-86.31327649,Alabama,13824.0,01041,31.7,29.1,34.7,%,Crude Prevalence,Leisure-Time - Physical - Activity
Cullman,34.13199197,-86.8671365,Alabama,83442.0,01043,30.9,27.8,34.3,%,Crude Prevalence,Leisure-Time - Physical - Activity
Dale,31.43150889,-85.61159073,Alabama,48956.0,01045,30.2,27.7,32.7,%,Crude Prevalence,Leisure-Time - Physical - Activity
Dallas,32.32602481,-87.1066303,Alabama,38310.0,01047,39.6,36.4,42.9,%,Crude Prevalence,Leisure-Time - Physical - Activity
DeKalb,34.4602025,-85.8035973,Alabama,71385.0,01049,33.5,30.5,36.5,%,Crude Prevalence,Leisure-Time - Physical - Activity
Elmore,32.59685888,-86.14875636,Alabama,81887.0,01051,27.5,24.6,30.0,%,Crude Prevalence,Leisure-Time - Physical - Activity
Escambia,31.12612281,-87.16137773,Alabama,36748.0,01053,33.9,31.5,36.2,%,Crude Prevalence,Leisure-Time - Physical - Activity
Etowah,34.04522195,-86.03539165,Alabama,102501.0,01055,31.0,28.1,33.8,%,Crude Prevalence,Leisure-Time - Physical - Activity
Fayette,33.72121137,-87.73921374,Alabama,16433.0,01057,32.6,29.7,35.8,%,Crude Prevalence,Leisure-Time - Physical - Activity
