LocationName,lat,lng,StateDesc,TotalPopulation,CountyFIPS,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,Measure_Short
Autauga,32.5350198,-86.64301145,Alabama,55601.0,1001,35.8,28.5,43.6,%,Crude Prevalence,Cancer - Screening
Baldwin,30.72811673,-87.72275422,Alabama,218022.0,1003,38.8,30.9,46.8,%,Crude Prevalence,Cancer - Screening
Barbour,31.86925212,-85.39330307,Alabama,24881.0,1005,30.8,25.1,37.2,%,Crude Prevalence,Cancer - Screening
Bibb,32.99854412,-87.12653219,Alabama,22400.0,1007,33.3,26.0,41.5,%,Crude Prevalence,Cancer - Screening
Blount,33.98070621,-86.56784586,Alabama,57840.0,1009,33.6,25.7,42.4,%,Crude Prevalence,Cancer - Screening
Bullock,32.10044482,-85.71563262,Alabama,10138.0,1011,26.5,21.1,32.7,%,Crude Prevalence,Cancer - Screening
Butler,31.75259734,-86.68030416,Alabama,19680.0,1013,28.0,22.2,34.5,%,Crude Prevalence,Cancer - Screening
Calhoun,33.77170768,-85.82579874,Alabama,114277.0,1015,29.9,23.5,37.1,%,Crude Prevalence,Cancer - Screening
Chambers,32.91401536,-85.39238495,Alabama,33615.0,1017,29.8,24.1,36.2,%,Crude Prevalence,Cancer - Screening
Cherokee,34.17572884,-85.60387093,Alabama,26032.0,1019,32.6,24.9,40.9,%,Crude Prevalence,Cancer - Screening
Chilton,32.84755922,-86.71886671,Alabama,44153.0,1021,29.4,22.4,37.5,%,Crude Prevalence,Cancer - Screening
Choctaw,32.020526,-88.26304964,Alabama,12841.0,1023,31.5,26.0,37.6,%,Crude Prevalence,Cancer - Screening
Clarke,31.67753092,-87.83050953,Alabama,23920.0,1025,30.8,24.7,37.2,%,Crude Prevalence,Cancer - Screening
Clay,33.26916978,-85.86076142,Alabama,13275.0,1027,30.0,23.8,37.3,%,Crude Prevalence,Cancer - Screening
Cleburne,33.67451857,-85.51894991,Alabama,14987.0,1029,31.6,24.3,40.6,%,Crude Prevalence,Cancer - Screening
Coffee,31.40188396,-85.98828821,Alabama,51909.0,1031,34.0,27.0,41.6,%,Crude Prevalence,Cancer - Screening
Colbert,34.70084917,-87.80480288,Alabama,54762.0,1033,31.9,25.3,39.3,%,Crude Prevalence,Cancer - Screening
Conecuh,31.42928542,-86.99409002,Alabama,12277.0,1035,27.4,22.3,33.9,%,Crude Prevalence,Cancer - Screening
Coosa,32.93634238,-86.24787111,Alabama,10715.0,1037,31.9,25.1,39.0,%,Crude Prevalence,Cancer - Screening
Covington,31.24869317,-86.45156346,Alabama,36986.0,1039,36.2,28.9,44.6,%,Crude Prevalence,Cancer - Screening
Crenshaw,31.73171737,-86.31327649,Alabama,13824.0,1041,30.1,23.9,37.3,%,Crude Prevalence,Cancer - Screening
Cullman,34.13199197,-86.8671365,Alabama,83442.0,1043,34.7,26.3,43.7,%,Crude Prevalence,Cancer - Screening
