LocationName,lat,lng,StateDesc,TotalPopulation,CountyFIPS,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,Measure_Short
Autauga,32.5350198,-86.64301145,Alabama,55601.0,01001,38.4,36.8,39.9,%,Crude Prevalence,Sleeping - Less - Than
Baldwin,30.72811673,-87.72275422,Alabama,218022.0,01003,36.4,34.8,37.9,%,Crude Prevalence,Sleeping - Less - Than
Barbour,31.86925212,-85.39330307,Alabama,24881.0,01005,40.9,39.8,42.0,%,Crude Prevalence,Sleeping - Less - Than
Bibb,32.99854412,-87.12653219,Alabama,22400.0,01007,40.1,38.8,41.3,%,Crude Prevalence,Sleeping - Less - Than
Blount,33.98070621,-86.56784586,Alabama,57840.0,01009,38.8,37.3,40.4,%,Crude Prevalence,Sleeping - Less - Than
Bullock,32.10044482,-85.71563262,Alabama,10138.0,01011,44.7,43.2,46.0,%,Crude Prevalence,Sleeping - Less - Than
Butler,31.75259734,-86.68030416,Alabama,19680.0,01013,42.0,40.6,43.2,%,Crude Prevalence,Sleeping - Less - Than
Calhoun,33.77170768,-85.82579874,Alabama,114277.0,01015,38.3,36.8,39.6,%,Crude Prevalence,Sleeping - Less - Than
Chambers,32.91401536,-85.39238495,Alabama,33615.0,01017,40.5,39.3,41.6,%,Crude Prevalence,Sleeping - Less - Than
Cherokee,34.17572884,-85.60387093,Alabama,26032.0,01019,37.9,36.2,39.6,%,Crude Prevalence,Sleeping - Less - Than
Chilton,32.84755922,-86.71886671,Alabama,44153.0,01021,38.7,37.3,40.1,%,Crude Prevalence,Sleeping - Less - Than
Choctaw,32.020526,-88.26304964,Alabama,12841.0,01023,41.7,40.5,43.0,%,Crude Prevalence,Sleeping - Less - Than
Clarke,31.67753092,-87.83050953,Alabama,23920.0,01025,42.7,41.4,43.9,%,Crude Prevalence,Sleeping - Less - Than
Clay,33.26916978,-85.86076142,Alabama,13275.0,01027,38.9,37.5,40.2,%,Crude Prevalence,Sleeping - Less - Than
