LocationName,lat,lng,StateDesc,TotalPopulation,CountyFIPS,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,Measure_Short
Autauga,32.5350198,-86.64301145,Alabama,55601.0,1001,78.0,77.1,79.0,%,Crude Prevalence,High Blood Pressure - Control
Baldwin,30.72811673,-87.72275422,Alabama,218022.0,1003,79.9,78.9,80.8,%,Crude Prevalence,High Blood Pressure - Control
Barbour,31.86925212,-85.39330307,Alabama,24881.0,1005,80.6,79.8,81.2,%,Crude Prevalence,High Blood Pressure - Control
Bibb,32.99854412,-87.12653219,Alabama,22400.0,1007,76.8,75.9,77.7,%,Crude Prevalence,High Blood Pressure - Control
Blount,33.98070621,-86.56784586,Alabama,57840.0,1009,77.9,76.8,79.0,%,Crude Prevalence,High Blood Pressure - Control
Bullock,32.10044482,-85.71563262,Alabama,10138.0,1011,80.1,79.3,80.9,%,Crude Prevalence,High Blood Pressure - Control
Butler,31.75259734,-86.68030416,Alabama,19680.0,1013,81.6,80.9,82.3,%,Crude Prevalence,High Blood Pressure - Control
Calhoun,33.77170768,-85.82579874,Alabama,114277.0,1015,79.2,78.3,80.0,%,Crude Prevalence,High Blood Pressure - Control
Chambers,32.91401536,-85.39238495,Alabama,33615.0,1017,81.2,80.6,81.9,%,Crude Prevalence,High Blood Pressure - Control
Cherokee,34.17572884,-85.60387093,Alabama,26032.0,1019,81.5,80.5,82.5,%,Crude Prevalence,High Blood Pressure - Control
Chilton,32.84755922,-86.71886671,Alabama,44153.0,1021,78.8,77.9,79.6,%,Crude Prevalence,High Blood Pressure - Control
Choctaw,32.020526,-88.26304964,Alabama,12841.0,1023,83.6,82.9,84.2,%,Crude Prevalence,High Blood Pressure - Control
Clarke,31.67753092,-87.83050953,Alabama,23920.0,1025,81.6,80.9,82.3,%,Crude Prevalence,High Blood Pressure - Control
Clay,33.26916978,-85.86076142,Alabama,13275.0,1027,80.2,79.4,81.1,%,Crude Prevalence,High Blood Pressure - Control
Cleburne,33.67451857,-85.51894991,Alabama,14987.0,1029,79.5,78.5,80.5,%,Crude Prevalence,High Blood Pressure - Control
Coffee,31.40188396,-85.98828821,Alabama,51909.0,1031,78.3,77.5,79.1,%,Crude Prevalence,High Blood Pressure - Control
Colbert,34.70084917,-87.80480288,Alabama,54762.0,1033,79.9,79.0,80.7,%,Crude Prevalence,High Blood Pressure - Control
Conecuh,31.42928542,-86.99409002,Alabama,12277.0,1035,82.7,82.0,83.3,%,Crude Prevalence,High Blood Pressure - Control
Coosa,32.93634238,-86.24787111,Alabama,10715.0,1037,82.6,81.9,83.3,%,Crude Prevalence,High Blood Pressure - Control
Covington,31.24869317,-86.45156346,Alabama,36986.0,1039,81.1,80.2,81.9,%,Crude Prevalence,High Blood Pressure - Control
Crenshaw,31.73171737,-86.31327649,Alabama,13824.0,1041,80.1,79.3,81.0,%,Crude Prevalence,High Blood Pressure - Control
Cullman,34.13199197,-86.8671365,Alabama,83442.0,1043,78.9,77.8,80.0,%,Crude Prevalence,High Blood Pressure - Control
Dale,31.43150889,-85.61159073,Alabama,48956.0,1045,78.8,78.0,79.6,%,Crude Prevalence,High Blood Pressure - Control
Dallas,32.32602481,-87.1066303,Alabama,38310.0,1047,81.8,81.1,82.6,%,Crude Prevalence,High Blood Pressure - Control
DeKalb,34.4602025,-85.8035973,Alabama,71385.0,1049,77.8,76.8,78.8,%,Crude Prevalence,High Blood Pressure - Control
Elmore,32.59685888,-86.14875636,Alabama,81887.0,1051,77.6,76.7,78.6,%,Crude Prevalence,High Blood Pressure - Control
