LocationName,lat,lng,StateDesc,TotalPopulation,CountyFIPS,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,Measure_Short
Autauga,32.5350198,-86.64301145,Alabama,55601.0,01001,64.0,60.2,67.8,%,Crude Prevalence,Visit
Baldwin,30.72811673,-87.72275422,Alabama,218022.0,01003,66.3,62.5,70.2,%,Crude Prevalence,Visit
Barbour,31.86925212,-85.39330307,Alabama,24881.0,01005,46.6,43.2,50.0,%,Crude Prevalence,Visit
Bibb,32.99854412,-87.12653219,Alabama,22400.0,01007,57.6,54.1,61.1,%,Crude Prevalence,Visit
Blount,33.98070621,-86.56784586,Alabama,57840.0,01009,57.1,52.8,61.2,%,Crude Prevalence,Visit
Bullock,32.10044482,-85.71563262,Alabama,10138.0,01011,46.6,43.1,50.7,%,Crude Prevalence,Visit
Butler,31.75259734,-86.68030416,Alabama,19680.0,01013,49.4,46.1,53.0,%,Crude Prevalence,Visit
Calhoun,33.77170768,-85.82579874,Alabama,114277.0,01015,56.9,53.1,60.8,%,Crude Prevalence,Visit
Chambers,32.91401536,-85.39238495,Alabama,33615.0,01017,54.2,51.0,57.7,%,Crude Prevalence,Visit
Cherokee,34.17572884,-85.60387093,Alabama,26032.0,01019,55.8,51.3,60.2,%,Crude Prevalence,Visit
Chilton,32.84755922,-86.71886671,Alabama,44153.0,01021,57.3,53.7,61.2,%,Crude Prevalence,Visit
Choctaw,32.020526,-88.26304964,Alabama,12841.0,01023,51.9,48.6,55.4,%,Crude Prevalence,Visit
Clarke,31.67753092,-87.83050953,Alabama,23920.0,01025,52.3,49.0,55.7,%,Crude Prevalence,Visit
Clay,33.26916978,-85.86076142,Alabama,13275.0,01027,53.8,50.2,57.8,%,Crude Prevalence,Visit
Cleburne,33.67451857,-85.51894991,Alabama,14987.0,01029,57.9,53.1,62.5,%,Crude Prevalence,Visit
Coffee,31.40188396,-85.98828821,Alabama,51909.0,01031,59.2,55.6,62.7,%,Crude Prevalence,Visit
Colbert,34.70084917,-87.80480288,Alabama,54762.0,01033,57.3,53.2,61.2,%,Crude Prevalence,Visit
Conecuh,31.42928542,-86.99409002,Alabama,12277.0,01035,47.0,43.7,50.2,%,Crude Prevalence,Visit
Coosa,32.93634238,-86.24787111,Alabama,10715.0,01037,53.2,49.8,56.7,%,Crude Prevalence,Visit
Covington,31.24869317,-86.45156346,Alabama,36986.0,01039,56.0,51.9,59.7,%,Crude Prevalence,Visit
Crenshaw,31.73171737,-86.31327649,Alabama,13824.0,01041,52.8,48.9,56.5,%,Crude Prevalence,Visit
Cullman,34.13199197,-86.8671365,Alabama,83442.0,01043,56.8,52.3,61.2,%,Crude Prevalence,Visit
Dale,31.43150889,-85.61159073,Alabama,48956.0,01045,60.0,56.6,63.3,%,Crude Prevalence,Visit
Dallas,32.32602481,-87.1066303,Alabama,38310.0,01047,43.5,39.7,47.5,%,Crude Prevalence,Visit
DeKalb,34.4602025,-85.8035973,Alabama,71385.0,01049,51.1,46.9,55.5,%,Crude Prevalence,Visit
Elmore,32.59685888,-86.14875636,Alabama,81887.0,01051,64.6,61.0,68.0,%,Crude Prevalence,Visit
Escambia,31.12612281,-87.16137773,Alabama,36748.0,01053,49.4,46.1,52.7,%,Crude Prevalence,Visit
Etowah,34.04522195,-86.03539165,Alabama,102501.0,01055,57.4,53.7,61.2,%,Crude Prevalence,Visit
Fayette,33.72121137,-87.73921374,Alabama,16433.0,01057,55.8,51.8,59.8,%,Crude Prevalence,Visit
Franklin,34.44238135,-87.843283,Alabama,31363.0,01059,55.0,51.2,59.2,%,Crude Prevalence,Visit
Geneva,31.09487431,-85.83932635,Alabama,26314.0,01061,52.0,47.8,56.1,%,Crude Prevalence,Visit
Greene,32.8537694,-87.95608364,Alabama,8233.0,01063,42.1,38.0,46.2,%,Crude Prevalence,Visit
Hale,32.76294506,-87.63018079,Alabama,14726.0,01065,53.0,49.2,56.5,%,Crude Prevalence,Visit
Henry,31.5149075,-85.24183736,Alabama,17209.0,01067,55.8,52.0,59.4,%,Crude Prevalence,Visit
Houston,31.15350797,-85.30249702,Alabama,104722.0,01069,57.4,53.6,61.2,%,Crude Prevalence,Visit
Jackson,34.77967706,-85.99947453,Alabama,51736.0,01071,55.7,51.3,60.0,%,Crude Prevalence,Visit
Jefferson,33.55458811,-86.89673378,Alabama,659300.0,01073,62.4,59.2,65.6,%,Crude Prevalence,Visit
Lamar,33.77909349,-88.09715315,Alabama,13844.0,01075,53.0,48.9,57.1,%,Crude Prevalence,Visit
Lauderdale,34.90142261,-87.65453895,Alabama,92387.0,01077,58.8,54.2,63.1,%,Crude Prevalence,Visit
Lawrence,34.52187809,-87.31069915,Alabama,32957.0,01079,54.6,50.8,58.6,%,Crude Prevalence,Visit
Lee,32.60099295,-85.35534328,Alabama,163941.0,01081,62.6,59.3,65.7,%,Crude Prevalence,Visit
Limestone,34.81026419,-86.98204165,Alabama,96174.0,01083,62.6,58.4,66.7,%,Crude Prevalence,Visit
Lowndes,32.15495765,-86.65008014,Alabama,9974.0,01085,46.1,42.3,49.8,%,Crude Prevalence,Visit
Macon,32.38575719,-85.69271411,Alabama,18439.0,01087,49.4,45.4,53.7,%,Crude Prevalence,Visit
Madison,34.7629041,-86.5506924,Alabama,366519.0,01089,68.6,65.4,71.8,%,Crude Prevalence,Visit
Marengo,32.24802803,-87.78897342,Alabama,19066.0,01091,52.0,48.6,55.2,%,Crude Prevalence,Visit
Marion,34.13691691,-87.88740512,Alabama,29763.0,01093,54.3,49.8,59.2,%,Crude Prevalence,Visit
Marshall,34.36718343,-86.30608505,Alabama,96109.0,01095,58.0,53.6,62.0,%,Crude Prevalence,Visit
Mobile,30.78657016,-88.20658862,Alabama,413757.0,01097,57.9,54.7,61.2,%,Crude Prevalence,Visit
Monroe,31.57086205,-87.36533405,Alabama,21067.0,01099,50.5,47.4,53.7,%,Crude Prevalence,Visit
Montgomery,32.22034164,-86.20804808,Alabama,225763.0,01101,60.8,57.3,64.4,%,Crude Prevalence,Visit
Morgan,34.4534685,-86.85332071,Alabama,119089.0,01103,60.5,56.5,64.4,%,Crude Prevalence,Visit
Perry,32.63868928,-87.29439436,Alabama,9140.0,01105,42.1,38.5,46.1,%,Crude Prevalence,Visit
Pickens,33.28043578,-88.08874093,Alabama,19938.0,01107,53.1,49.7,56.4,%,Crude Prevalence,Visit
Pike,31.80252217,-85.94116812,Alabama,33338.0,01109,57.5,54.1,60.9,%,Crude Prevalence,Visit
Randolph,33.29367147,-85.45907232,Alabama,22725.0,01111,55.3,51.4,59.3,%,Crude Prevalence,Visit
Russell,32.28842421,-85.18445744,Alabama,57781.0,01113,54.1,50.7,57.4,%,Crude Prevalence,Visit
St. Clair,33.71565784,-86.3149495,Alabama,88690.0,01115,61.1,57.5,65.0,%,Crude Prevalence,Visit
Shelby,33.26422221,-86.66104603,Alabama,215707.0,01117,68.2,64.3,71.7,%,Crude Prevalence,Visit
Sumter,32.58923369,-88.1995063,Alabama,12691.0,01119,48.0,44.1,52.1,%,Crude Prevalence,Visit
Talladega,33.38016157,-86.16578887,Alabama,79828.0,01121,47.8,44.3,51.3,%,Crude Prevalence,Visit
Tallapoosa,32.86282332,-85.79743161,Alabama,40497.0,01123,59.3,55.8,63.1,%,Crude Prevalence,Visit
Tuscaloosa,33.28961016,-87.52507429,Alabama,208911.0,01125,60.6,57.1,63.9,%,Crude Prevalence,Visit
Walker,33.80308206,-87.29738289,Alabama,63711.0,01127,54.1,49.8,58.2,%,Crude Prevalence,Visit
Washington,31.40764298,-88.20779087,Alabama,16378.0,01129,53.6,50.1,57.0,%,Crude Prevalence,Visit
Wilcox,31.98925616,-87.30801913,Alabama,10627.0,01131,47.9,44.1,51.9,%,Crude Prevalence,Visit
Winston,34.14919919,-87.37360952,Alabama,23660.0,01133,53.8,49.1,58.5,%,Crude Prevalence,Visit
Aleutians East,55.35903757,-161.979848,Alaska,3515.0,02013,56.8,54.0,59.7,%,Crude Prevalence,Visit
Aleutians West,52.8107872,-174.181061,Alaska,5723.0,02016,62.1,59.6,64.8,%,Crude Prevalence,Visit
Anchorage,61.1504589,-149.1141071,Alaska,291538.0,02020,68.5,65.7,71.3,%,Crude Prevalence,Visit
Bethel,60.91560276,-159.8247503,Alaska,18216.0,02050,52.0,48.0,55.8,%,Crude Prevalence,Visit
Bristol Bay,58.74223433,-156.701884,Alaska,877.0,02060,66.2,63.7,68.7,%,Crude Prevalence,Visit
Denali,63.67350143,-150.0088291,Alaska,2059.0,02068,65.8,62.0,69.6,%,Crude Prevalence,Visit
Dillingham,59.79999618,-158.2125392,Alaska,5000.0,02070,54.4,50.6,58.0,%,Crude Prevalence,Visit
Fairbanks North Star,64.80852672,-146.5624138,Alaska,98971.0,02090,68.4,65.0,71.2,%,Crude Prevalence,Visit
Haines,59.11448538,-135.5007934,Alaska,2474.0,02100,67.5,64.2,70.9,%,Crude Prevalence,Visit
Hoonah-Angoon,58.18652895,-135.3290871,Alaska,2151.0,02105,62.0,59.4,64.8,%,Crude Prevalence,Visit
Juneau,58.45102839,-134.1828501,Alaska,32113.0,02110,72.6,69.9,75.0,%,Crude Prevalence,Visit
Kenai Peninsula,60.25818708,-151.5665895,Alaska,58533.0,02122,61.7,58.0,65.5,%,Crude Prevalence,Visit
Ketchikan Gateway,55.58863162,-130.9352394,Alaska,13918.0,02130,67.0,64.1,69.8,%,Crude Prevalence,Visit
Kodiak Island,57.66814491,-153.7816117,Alaska,13345.0,02150,66.6,63.7,69.2,%,Crude Prevalence,Visit
Kusilvak,62.1574671,-163.3831265,Alaska,8303.0,02158,38.9,35.2,42.9,%,Crude Prevalence,Visit
Lake and Peninsula,58.63644251,-156.1898946,Alaska,1587.0,02164,57.0,53.7,60.0,%,Crude Prevalence,Visit
Matanuska-Susitna,62.3154278,-149.5702635,Alaska,107610.0,02170,65.7,62.2,68.9,%,Crude Prevalence,Visit
Nome,64.91045824,-164.0327478,Alaska,10008.0,02180,53.3,49.8,56.9,%,Crude Prevalence,Visit
North Slope,69.3117884,-153.4445902,Alaska,9872.0,02185,61.5,58.6,64.4,%,Crude Prevalence,Visit
Northwest Arctic,67.05603596,-159.7201294,Alaska,7671.0,02188,52.4,48.8,56.1,%,Crude Prevalence,Visit
Petersburg,56.81190828,-133.2863383,Alaska,3221.0,02195,67.0,63.5,70.2,%,Crude Prevalence,Visit
Prince of Wales-Hyder,55.50495667,-132.7096152,Alaska,6422.0,02198,60.6,57.5,63.6,%,Crude Prevalence,Visit
Sitka,57.23208595,-135.3033492,Alaska,8647.0,02220,68.7,65.9,71.6,%,Crude Prevalence,Visit
Skagway,59.55833765,-135.3374592,Alaska,1148.0,02230,71.3,67.5,74.7,%,Crude Prevalence,Visit
Southeast Fairbanks,63.87758207,-143.2062598,Alaska,6918.0,02240,59.7,56.0,63.2,%,Crude Prevalence,Visit
Valdez-Cordova,61.5583398,-144.4916418,Alaska,9164.0,02261,68.0,64.8,70.9,%,Crude Prevalence,Visit
Wrangell,56.32355894,-132.0250936,Alaska,2503.0,02275,65.7,62.3,69.0,%,Crude Prevalence,Visit
Yakutat,59.8899763,-140.3569385,Alaska,604.0,02282,61.6,59.2,64.1,%,Crude Prevalence,Visit
Yukon-Koyukuk,65.50918931,-151.3907449,Alaska,5327.0,02290,54.2,51.0,57.6,%,Crude Prevalence,Visit
Apache,35.3954111,-109.48883,Arizona,71818.0,04001,49.8,46.0,53.4,%,Crude Prevalence,Visit
Cochise,31.87949959,-109.751401,Arizona,126770.0,04003,57.3,54.1,60.6,%,Crude Prevalence,Visit
Coconino,35.83863914,-111.7705891,Arizona,142854.0,04005,62.5,59.4,65.5,%,Crude Prevalence,Visit
Gila,33.80040568,-110.8132413,Arizona,53889.0,04007,51.4,48.1,54.9,%,Crude Prevalence,Visit
Graham,32.93306592,-109.8871087,Arizona,38072.0,04009,58.2,55.4,61.2,%,Crude Prevalence,Visit
Greenlee,33.21528272,-109.2401339,Arizona,9483.0,04011,58.3,55.3,61.3,%,Crude Prevalence,Visit
La Paz,33.72903482,-113.9813104,Arizona,21098.0,04012,53.1,50.0,56.2,%,Crude Prevalence,Visit
Maricopa,33.34873471,-112.4911577,Arizona,4410824.0,04013,61.5,57.9,64.6,%,Crude Prevalence,Visit
Mohave,35.70432399,-113.7582468,Arizona,209550.0,04015,52.4,48.8,56.2,%,Crude Prevalence,Visit
Navajo,35.39967567,-110.3214398,Arizona,110445.0,04017,53.9,50.8,56.9,%,Crude Prevalence,Visit
Pima,32.09739367,-111.7899304,Arizona,1039073.0,04019,61.6,58.3,64.8,%,Crude Prevalence,Visit
Pinal,32.90442817,-111.3447295,Arizona,447138.0,04021,56.8,53.6,59.9,%,Crude Prevalence,Visit
Santa Cruz,31.52596855,-110.8465934,Arizona,46511.0,04023,53.3,48.4,58.4,%,Crude Prevalence,Visit
Yavapai,34.59993679,-112.5546325,Arizona,231993.0,04025,60.8,57.1,64.5,%,Crude Prevalence,Visit
Yuma,32.76937366,-113.9054902,Arizona,212128.0,04027,52.6,48.6,56.5,%,Crude Prevalence,Visit
Arkansas,34.29096754,-91.3748863,Arkansas,17769.0,05001,51.8,48.2,55.5,%,Crude Prevalence,Visit
Ashley,33.19113397,-91.76816623,Arkansas,20046.0,05003,50.8,47.0,54.3,%,Crude Prevalence,Visit
Baxter,36.28685474,-92.33709121,Arkansas,41619.0,05005,58.8,54.5,63.1,%,Crude Prevalence,Visit
Benton,36.33868245,-94.25600736,Arkansas,272608.0,05007,60.6,56.5,64.4,%,Crude Prevalence,Visit
Boone,36.30867994,-93.09130789,Arkansas,37480.0,05009,55.7,51.2,60.0,%,Crude Prevalence,Visit
Bradley,33.46670706,-92.16175892,Arkansas,10897.0,05011,51.2,48.3,54.5,%,Crude Prevalence,Visit
Calhoun,33.5579242,-92.50254644,Arkansas,5277.0,05013,51.5,48.0,55.4,%,Crude Prevalence,Visit
Carroll,36.34098375,-93.53833197,Arkansas,28223.0,05015,57.7,53.9,61.6,%,Crude Prevalence,Visit
Chicot,33.26749203,-91.29368077,Arkansas,10438.0,05017,44.5,41.2,48.0,%,Crude Prevalence,Visit
Clark,34.05109731,-93.17677056,Arkansas,22061.0,05019,59.0,55.3,62.3,%,Crude Prevalence,Visit
Clay,36.368387,-90.41752753,Arkansas,14847.0,05021,51.3,46.4,55.9,%,Crude Prevalence,Visit
Cleburne,35.5386039,-92.02657971,Arkansas,24965.0,05023,56.0,51.2,60.3,%,Crude Prevalence,Visit
Cleveland,33.89825014,-92.18537424,Arkansas,8018.0,05025,52.4,48.3,56.8,%,Crude Prevalence,Visit
Columbia,33.21420367,-93.22734359,Arkansas,23537.0,05027,50.4,47.1,53.9,%,Crude Prevalence,Visit
Conway,35.26219672,-92.70068272,Arkansas,20891.0,05029,55.2,51.3,59.2,%,Crude Prevalence,Visit
Craighead,35.83160874,-90.63229859,Arkansas,108558.0,05031,59.3,55.3,63.3,%,Crude Prevalence,Visit
Crawford,35.58844941,-94.24297668,Arkansas,63406.0,05033,54.8,50.5,59.0,%,Crude Prevalence,Visit
Crittenden,35.20802432,-90.30893924,Arkansas,48342.0,05035,51.3,47.4,54.8,%,Crude Prevalence,Visit
Cross,35.29535703,-90.77162753,Arkansas,16676.0,05037,51.0,47.3,54.7,%,Crude Prevalence,Visit
Dallas,33.96963779,-92.65478384,Arkansas,7182.0,05039,49.0,45.9,52.2,%,Crude Prevalence,Visit
Desha,33.83364691,-91.25357726,Arkansas,11512.0,05041,47.1,44.1,50.4,%,Crude Prevalence,Visit
Drew,33.58969442,-91.71953511,Arkansas,18328.0,05043,54.2,50.4,57.8,%,Crude Prevalence,Visit
Faulkner,35.14730833,-92.33175659,Arkansas,124806.0,05045,59.2,55.3,63.1,%,Crude Prevalence,Visit
Franklin,35.51242559,-93.89070925,Arkansas,17810.0,05047,51.9,47.4,56.1,%,Crude Prevalence,Visit
Fulton,36.38184868,-91.8181331,Arkansas,12269.0,05049,49.8,45.3,54.4,%,Crude Prevalence,Visit
Garland,34.57659951,-93.15048723,Arkansas,99154.0,05051,56.8,53.1,60.7,%,Crude Prevalence,Visit
Grant,34.28984017,-92.42388914,Arkansas,18188.0,05053,59.8,55.6,63.7,%,Crude Prevalence,Visit
Greene,36.11781055,-90.5589908,Arkansas,45325.0,05055,53.7,49.3,58.1,%,Crude Prevalence,Visit
Hempstead,33.73525161,-93.66829193,Arkansas,21741.0,05057,50.6,47.4,53.7,%,Crude Prevalence,Visit
Hot Spring,34.31759618,-92.9458125,Arkansas,33701.0,05059,55.3,51.5,59.3,%,Crude Prevalence,Visit
Howard,34.08863063,-93.99348622,Arkansas,13341.0,05061,53.4,49.8,57.0,%,Crude Prevalence,Visit
Independence,35.74162443,-91.56928386,Arkansas,37678.0,05063,55.1,50.8,59.5,%,Crude Prevalence,Visit
Izard,36.09523171,-91.91321978,Arkansas,13593.0,05065,52.7,48.0,57.3,%,Crude Prevalence,Visit
Jackson,35.59855662,-91.21410789,Arkansas,16811.0,05067,48.2,44.5,51.8,%,Crude Prevalence,Visit
Jefferson,34.26873626,-91.93188484,Arkansas,68114.0,05069,51.5,47.9,55.2,%,Crude Prevalence,Visit
Johnson,35.57042442,-93.45972872,Arkansas,26742.0,05071,50.7,46.4,54.9,%,Crude Prevalence,Visit
Lafayette,33.24154014,-93.60616765,Arkansas,6682.0,05073,49.3,46.0,52.9,%,Crude Prevalence,Visit
Lawrence,36.04107822,-91.10729307,Arkansas,16434.0,05075,52.5,48.1,57.3,%,Crude Prevalence,Visit
Lee,34.78072086,-90.78263385,Arkansas,8985.0,05077,41.0,37.7,44.3,%,Crude Prevalence,Visit
Lincoln,33.95746845,-91.73312526,Arkansas,13383.0,05079,46.9,43.6,50.2,%,Crude Prevalence,Visit
Little River,33.69972301,-94.23313382,Arkansas,12326.0,05081,53.2,50.0,56.6,%,Crude Prevalence,Visit
Logan,35.21566114,-93.71636811,Arkansas,21737.0,05083,52.4,48.2,56.6,%,Crude Prevalence,Visit
Lonoke,34.75408935,-91.88869734,Arkansas,73657.0,05085,57.1,53.2,61.6,%,Crude Prevalence,Visit
Madison,36.0109104,-93.72471538,Arkansas,16481.0,05087,52.1,47.9,56.6,%,Crude Prevalence,Visit
Marion,36.2685868,-92.68427373,Arkansas,16722.0,05089,53.3,48.8,57.7,%,Crude Prevalence,Visit
Miller,33.31104739,-93.89206062,Arkansas,43592.0,05091,52.1,48.4,55.7,%,Crude Prevalence,Visit
Mississippi,35.76390932,-90.05430128,Arkansas,41239.0,05093,47.4,43.9,50.9,%,Crude Prevalence,Visit
Monroe,34.67817821,-91.20388766,Arkansas,6900.0,05095,45.8,42.6,49.0,%,Crude Prevalence,Visit
Montgomery,34.53854423,-93.65940752,Arkansas,8924.0,05097,52.3,48.0,57.0,%,Crude Prevalence,Visit
Nevada,33.66372397,-93.30711084,Arkansas,8326.0,05099,49.4,45.9,52.7,%,Crude Prevalence,Visit
Newton,35.92023827,-93.2177712,Arkansas,7805.0,05101,53.6,48.9,58.4,%,Crude Prevalence,Visit
Ouachita,33.59337489,-92.88169493,Arkansas,23606.0,05103,50.6,47.2,54.0,%,Crude Prevalence,Visit
Perry,34.94710024,-92.9314862,Arkansas,10352.0,05105,53.9,49.9,58.4,%,Crude Prevalence,Visit
Phillips,34.42859172,-90.84788141,Arkansas,18029.0,05107,43.3,39.6,46.9,%,Crude Prevalence,Visit
Pike,34.16302712,-93.65631372,Arkansas,10673.0,05109,53.2,49.0,57.4,%,Crude Prevalence,Visit
