LocationName,lat,lng,StateDesc,TotalPopulation,CountyFIPS,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,Measure_Short
Autauga,32.5350198,-86.64301145,Alabama,55601.0,1001,78.4,77.5,79.1,%,Crude Prevalence,Checkup - Visit
Baldwin,30.72811673,-87.72275422,Alabama,218022.0,1003,78.6,77.8,79.3,%,Crude Prevalence,Checkup - Visit
Barbour,31.86925212,-85.39330307,Alabama,24881.0,1005,80.3,79.7,81.0,%,Crude Prevalence,Checkup - Visit
Bibb,32.99854412,-87.12653219,Alabama,22400.0,1007,77.5,76.7,78.3,%,Crude Prevalence,Checkup - Visit
Blount,33.98070621,-86.56784586,Alabama,57840.0,1009,76.6,75.6,77.5,%,Crude Prevalence,Checkup - Visit
Bullock,32.10044482,-85.71563262,Alabama,10138.0,1011,81.0,80.3,81.7,%,Crude Prevalence,Checkup - Visit
Butler,31.75259734,-86.68030416,Alabama,19680.0,1013,80.6,80.0,81.2,%,Crude Prevalence,Checkup - Visit
Calhoun,33.77170768,-85.82579874,Alabama,114277.0,1015,78.8,78.0,79.5,%,Crude Prevalence,Checkup - Visit
Chambers,32.91401536,-85.39238495,Alabama,33615.0,1017,80.6,80.0,81.2,%,Crude Prevalence,Checkup - Visit
Cherokee,34.17572884,-85.60387093,Alabama,26032.0,1019,78.5,77.5,79.4,%,Crude Prevalence,Checkup - Visit
Chilton,32.84755922,-86.71886671,Alabama,44153.0,1021,76.5,75.7,77.4,%,Crude Prevalence,Checkup - Visit
Choctaw,32.020526,-88.26304964,Alabama,12841.0,1023,81.5,80.8,82.1,%,Crude Prevalence,Checkup - Visit
Clarke,31.67753092,-87.83050953,Alabama,23920.0,1025,81.2,80.6,81.8,%,Crude Prevalence,Checkup - Visit
Clay,33.26916978,-85.86076142,Alabama,13275.0,1027,78.6,77.7,79.5,%,Crude Prevalence,Checkup - Visit
Cleburne,33.67451857,-85.51894991,Alabama,14987.0,1029,76.7,75.7,77.7,%,Crude Prevalence,Checkup - Visit
Coffee,31.40188396,-85.98828821,Alabama,51909.0,1031,78.4,77.7,79.1,%,Crude Prevalence,Checkup - Visit
Colbert,34.70084917,-87.80480288,Alabama,54762.0,1033,78.4,77.6,79.2,%,Crude Prevalence,Checkup - Visit
Conecuh,31.42928542,-86.99409002,Alabama,12277.0,1035,81.5,81.0,82.1,%,Crude Prevalence,Checkup - Visit
Coosa,32.93634238,-86.24787111,Alabama,10715.0,1037,80.4,79.7,81.1,%,Crude Prevalence,Checkup - Visit
Covington,31.24869317,-86.45156346,Alabama,36986.0,1039,78.1,77.2,78.9,%,Crude Prevalence,Checkup - Visit
Crenshaw,31.73171737,-86.31327649,Alabama,13824.0,1041,78.6,77.8,79.4,%,Crude Prevalence,Checkup - Visit
Cullman,34.13199197,-86.8671365,Alabama,83442.0,1043,76.5,75.5,77.5,%,Crude Prevalence,Checkup - Visit
Dale,31.43150889,-85.61159073,Alabama,48956.0,1045,78.6,77.9,79.4,%,Crude Prevalence,Checkup - Visit
Dallas,32.32602481,-87.1066303,Alabama,38310.0,1047,82.4,81.7,83.1,%,Crude Prevalence,Checkup - Visit
DeKalb,34.4602025,-85.8035973,Alabama,71385.0,1049,76.0,75.1,76.9,%,Crude Prevalence,Checkup - Visit
Elmore,32.59685888,-86.14875636,Alabama,81887.0,1051,78.0,77.2,78.7,%,Crude Prevalence,Checkup - Visit
Escambia,31.12612281,-87.16137773,Alabama,36748.0,1053,78.5,77.8,79.3,%,Crude Prevalence,Checkup - Visit
Etowah,34.04522195,-86.03539165,Alabama,102501.0,1055,77.9,77.1,78.7,%,Crude Prevalence,Checkup - Visit
Fayette,33.72121137,-87.73921374,Alabama,16433.0,1057,78.2,77.4,79.0,%,Crude Prevalence,Checkup - Visit
Franklin,34.44238135,-87.843283,Alabama,31363.0,1059,76.2,75.3,77.1,%,Crude Prevalence,Checkup - Visit
Geneva,31.09487431,-85.83932635,Alabama,26314.0,1061,78.2,77.4,79.1,%,Crude Prevalence,Checkup - Visit
Greene,32.8537694,-87.95608364,Alabama,8233.0,1063,84.4,83.7,85.0,%,Crude Prevalence,Checkup - Visit
Hale,32.76294506,-87.63018079,Alabama,14726.0,1065,82.1,81.4,82.7,%,Crude Prevalence,Checkup - Visit
Henry,31.5149075,-85.24183736,Alabama,17209.0,1067,80.2,79.5,80.9,%,Crude Prevalence,Checkup - Visit
Houston,31.15350797,-85.30249702,Alabama,104722.0,1069,79.2,78.5,79.9,%,Crude Prevalence,Checkup - Visit
Jackson,34.77967706,-85.99947453,Alabama,51736.0,1071,77.6,76.7,78.5,%,Crude Prevalence,Checkup - Visit
Jefferson,33.55458811,-86.89673378,Alabama,659300.0,1073,80.3,79.6,80.8,%,Crude Prevalence,Checkup - Visit
Lamar,33.77909349,-88.09715315,Alabama,13844.0,1075,78.5,77.6,79.3,%,Crude Prevalence,Checkup - Visit
Lauderdale,34.90142261,-87.65453895,Alabama,92387.0,1077,78.7,77.8,79.4,%,Crude Prevalence,Checkup - Visit
Lawrence,34.52187809,-87.31069915,Alabama,32957.0,1079,78.2,77.4,79.0,%,Crude Prevalence,Checkup - Visit
Lee,32.60099295,-85.35534328,Alabama,163941.0,1081,77.6,76.5,78.4,%,Crude Prevalence,Checkup - Visit
Limestone,34.81026419,-86.98204165,Alabama,96174.0,1083,77.3,76.4,78.1,%,Crude Prevalence,Checkup - Visit
