StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,18.07914492833383,%,Crude Prevalence,15.514925373134329,27.88059701492537,All - Teeth - Lost,67,Alabama
Alaska,60.24761056551725,-148.0113722827586,737438.0,15.055611047979628,%,Crude Prevalence,14.786206896551722,25.310344827586206,All - Teeth - Lost,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,13.746985991779292,%,Crude Prevalence,12.326666666666666,22.826666666666664,All - Teeth - Lost,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,20.111528771577646,%,Crude Prevalence,16.665333333333333,30.11733333333333,All - Teeth - Lost,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,11.471478243635238,%,Crude Prevalence,8.96896551724138,17.894827586206894,All - Teeth - Lost,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,11.022548618538918,%,Crude Prevalence,8.3734375,18.207812500000003,All - Teeth - Lost,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,9.464282965237436,%,Crude Prevalence,5.9125,14.175,All - Teeth - Lost,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,15.231682091377843,%,Crude Prevalence,11.033333333333331,22.233333333333334,All - Teeth - Lost,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,10.3,%,Crude Prevalence,6.3,15.1,All - Teeth - Lost,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,15.000740553984693,%,Crude Prevalence,12.940298507462687,24.498507462686568,All - Teeth - Lost,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,16.259862550174795,%,Crude Prevalence,15.238993710691824,26.994968553459124,All - Teeth - Lost,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,14.12107332767836,%,Crude Prevalence,10.781818181818183,22.39090909090909,All - Teeth - Lost,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,11.998549965936954,%,Crude Prevalence,9.543137254901959,20.20098039215686,All - Teeth - Lost,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,17.362042658279186,%,Crude Prevalence,12.264130434782611,24.974999999999998,All - Teeth - Lost,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,12.06186902059316,%,Crude Prevalence,8.480808080808082,18.591919191919192,All - Teeth - Lost,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,13.9751283957953,%,Crude Prevalence,10.34095238095238,21.881904761904764,All - Teeth - Lost,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,21.01843124230989,%,Crude Prevalence,17.325833333333335,32.93666666666666,All - Teeth - Lost,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,19.043087113286802,%,Crude Prevalence,16.5109375,28.270312500000003,All - Teeth - Lost,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,16.54766303746851,%,Crude Prevalence,12.025,25.79375,All - Teeth - Lost,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,10.662081037043265,%,Crude Prevalence,8.095833333333333,17.05,All - Teeth - Lost,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,12.403130822009203,%,Crude Prevalence,7.471428571428571,17.942857142857143,All - Teeth - Lost,14,Massachusetts
