StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,33.433003919293284,%,Crude Prevalence,34.807462686567156,37.47611940298508,Arthritis,67,Alabama
Alaska,60.24761056551725,-145.72324814482758,737438.0,23.992641415278307,%,Crude Prevalence,24.98275862068965,27.306896551724133,Arthritis,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,25.39669916780611,%,Crude Prevalence,28.01333333333333,30.366666666666667,Arthritis,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,31.73756050865595,%,Crude Prevalence,33.772,36.55866666666667,Arthritis,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,21.432335954316102,%,Crude Prevalence,24.24827586206897,26.570689655172416,Arthritis,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,23.126617592217382,%,Crude Prevalence,26.1109375,28.9796875,Arthritis,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,26.217470515707465,%,Crude Prevalence,25.775,28.4625,Arthritis,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,26.899187423940543,%,Crude Prevalence,27.399999999999995,29.900000000000002,Arthritis,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,19.1,%,Crude Prevalence,18.3,20.0,Arthritis,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,27.25051490129382,%,Crude Prevalence,29.05373134328358,31.638805970149257,Arthritis,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,24.700103664869207,%,Crude Prevalence,28.394339622641507,30.854716981132075,Arthritis,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,26.606377749958963,%,Crude Prevalence,28.072727272727267,31.022727272727273,Arthritis,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,25.55072274877796,%,Crude Prevalence,29.925490196078435,32.970588235294116,Arthritis,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,28.417120918821297,%,Crude Prevalence,28.8,31.779347826086955,Arthritis,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,25.78333001177069,%,Crude Prevalence,26.58383838383838,29.59090909090909,Arthritis,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,25.716834317646715,%,Crude Prevalence,28.28095238095238,31.29333333333333,Arthritis,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,33.64887910711704,%,Crude Prevalence,35.41916666666667,38.60666666666666,Arthritis,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,29.021995232595522,%,Crude Prevalence,29.925,32.3375,Arthritis,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,32.664063541352235,%,Crude Prevalence,32.725,35.96875,Arthritis,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,26.567164411776293,%,Crude Prevalence,28.912499999999994,31.47083333333333,Arthritis,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,24.30144282599521,%,Crude Prevalence,24.835714285714285,27.66428571428571,Arthritis,14,Massachusetts
Michigan,44.04264490108434,-85.1820795233735,9995915.0,31.755227150290892,%,Crude Prevalence,34.402409638554225,37.569879518072284,Arthritis,83,Michigan
Minnesota,45.55170990344828,-94.43129790632186,5611179.0,22.400817689116668,%,Crude Prevalence,25.101149425287353,28.012643678160913,Arthritis,87,Minnesota
Mississippi,32.79280325134146,-89.64635060219511,2986530.0,31.64533351414518,%,Crude Prevalence,32.52804878048781,35.01829268292683,Arthritis,82,Mississippi
Missouri,38.45115789156521,-92.4817818097391,6126452.0,30.74829157234889,%,Crude Prevalence,32.66695652173913,35.78782608695653,Arthritis,115,Missouri
Montana,46.974319369999996,-109.70005154285715,1062305.0,28.307869679611787,%,Crude Prevalence,29.70714285714286,32.908928571428575,Arthritis,56,Montana
Nebraska,41.32182658849462,-99.03908183677422,1929268.0,25.216846182075276,%,Crude Prevalence,28.119354838709675,31.220430107526887,Arthritis,93,Nebraska
Nevada,39.25609544647058,-117.56436555882354,3034392.0,24.613119992407047,%,Crude Prevalence,28.747058823529414,31.4235294117647,Arthritis,17,Nevada
New Hampshire,43.480085493999994,-71.577655606,1356458.0,29.220218171148684,%,Crude Prevalence,29.27,32.53,Arthritis,10,New Hampshire
New Jersey,40.28683281523809,-74.62251926285714,8908520.0,24.05673671945508,%,Crude Prevalence,23.771428571428572,26.24285714285714,Arthritis,21,New Jersey
New Mexico,34.54934118818181,-105.88657794545455,2095428.0,27.079000566948615,%,Crude Prevalence,28.76060606060606,31.112121212121213,Arthritis,33,New Mexico
New York,42.54418242419355,-75.47418766903228,19542209.0,23.723746511973133,%,Crude Prevalence,27.39032258064516,30.10967741935484,Arthritis,62,New York
North Carolina,35.6262429096,-79.50747652049999,10383620.0,27.28914588553896,%,Crude Prevalence,29.855999999999998,32.577999999999996,Arthritis,100,North Carolina
North Dakota,47.39351678207548,-100.24971405962262,760077.0,25.975052527572863,%,Crude Prevalence,29.69622641509434,32.93962264150943,Arthritis,53,North Dakota
Ohio,40.310540941363634,-82.83566370352273,11689442.0,31.02394316170096,%,Crude Prevalence,31.76931818181818,34.746590909090905,Arthritis,88,Ohio
Oklahoma,35.50212211558441,-97.25164380155844,3943079.0,28.063616351587168,%,Crude Prevalence,29.853246753246758,32.45064935064934,Arthritis,77,Oklahoma
Oregon,44.492170799722224,-121.47705134722221,4190713.0,29.18979588914822,%,Crude Prevalence,32.194444444444436,35.213888888888896,Arthritis,36,Oregon
Pennsylvania,40.81777532492538,-77.61600680149253,12807060.0,29.30478598523003,%,Crude Prevalence,30.126865671641795,33.23582089552239,Arthritis,67,Pennsylvania
Rhode Island,41.657331672000005,-71.46318302200001,1057315.0,28.274538902786773,%,Crude Prevalence,27.919999999999998,31.000000000000007,Arthritis,5,Rhode Island
South Carolina,33.957593663043475,-80.98349363717392,5084127.0,30.30502035059313,%,Crude Prevalence,31.76304347826086,34.210869565217386,Arthritis,46,South Carolina
South Dakota,44.272762113787884,-99.31040156090909,882235.0,25.01418930330354,%,Crude Prevalence,26.38636363636364,29.403030303030306,Arthritis,66,South Dakota
Tennessee,35.88510256863158,-86.1083303285263,6770010.0,32.00263921323602,%,Crude Prevalence,34.35263157894737,37.42947368421052,Arthritis,95,Tennessee
Texas,31.661034618070868,-98.65396454681104,28701845.0,22.29747290461641,%,Crude Prevalence,26.059055118110237,28.475590551181103,Arthritis,254,Texas
Utah,39.635075868965515,-111.59628196896553,3161105.0,21.974623272558173,%,Crude Prevalence,25.93103448275862,28.599999999999994,Arthritis,29,Utah
Vermont,44.15991418071429,-72.6838344957143,626299.0,28.804028427316663,%,Crude Prevalence,28.657142857142855,31.892857142857142,Arthritis,14,Vermont
Virginia,37.566601079473685,-78.51430630285715,8517685.0,25.727870730133837,%,Crude Prevalence,28.844360902255637,31.575939849624064,Arthritis,133,Virginia
Washington,47.23287919846154,-120.71734196153845,7535591.0,25.00990520849659,%,Crude Prevalence,28.676923076923075,31.497435897435896,Arthritis,39,Washington
