StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,14.478391225955024,%,Crude Prevalence,13.007462686567163,14.38955223880597,Drinking,67,Alabama
Alaska,60.24761056551725,-148.0113722827586,737438.0,16.923800780540198,%,Crude Prevalence,16.886206896551727,18.420689655172417,Drinking,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,17.420215359207635,%,Crude Prevalence,16.166666666666664,17.45333333333333,Drinking,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,15.790485346693986,%,Crude Prevalence,14.616000000000001,16.209333333333333,Drinking,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,17.682013712096037,%,Crude Prevalence,18.32241379310345,19.77413793103449,Drinking,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,19.2286569161544,%,Crude Prevalence,18.278125,19.9484375,Drinking,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,18.397981674744205,%,Crude Prevalence,17.875,19.200000000000003,Drinking,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,18.071047312212627,%,Crude Prevalence,17.53333333333333,18.7,Drinking,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,21.0,%,Crude Prevalence,20.4,21.5,Drinking,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,18.07539068491607,%,Crude Prevalence,17.570149253731337,18.992537313432837,Drinking,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,15.797350143424458,%,Crude Prevalence,14.541509433962267,15.959119496855346,Drinking,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,17.06189818995239,%,Crude Prevalence,16.150000000000002,17.88409090909091,Drinking,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,20.647352076904,%,Crude Prevalence,20.097058823529412,22.1343137254902,Drinking,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,17.207720583071,%,Crude Prevalence,16.416304347826088,18.278260869565212,Drinking,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,23.594001986600745,%,Crude Prevalence,22.776767676767673,24.897979797979797,Drinking,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,16.90545947886059,%,Crude Prevalence,16.597142857142856,18.345714285714287,Drinking,105,Kansas
