StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,6.456430314957166,%,Crude Prevalence,6.150746268656716,6.683582089552238,Cancer,67,Alabama
Alaska,60.24761056551725,-148.0113722827586,737438.0,6.307200740943644,%,Crude Prevalence,6.13103448275862,6.617241379310345,Cancer,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,6.244678697191691,%,Crude Prevalence,6.0133333333333345,6.48,Cancer,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,6.537502874254477,%,Crude Prevalence,6.193333333333333,6.755999999999999,Cancer,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,5.6687730719016045,%,Crude Prevalence,5.825862068965517,6.287931034482758,Cancer,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,6.2209396821807275,%,Crude Prevalence,6.0390625,6.5765625,Cancer,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,6.385167794909402,%,Crude Prevalence,6.2375,6.8,Cancer,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,6.368671724028118,%,Crude Prevalence,6.233333333333333,6.733333333333334,Cancer,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,6.2,%,Crude Prevalence,6.1,6.4,Cancer,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,6.112785780770048,%,Crude Prevalence,6.050746268656717,6.5641791044776125,Cancer,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,6.091254943806607,%,Crude Prevalence,5.931446540880502,6.422641509433962,Cancer,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,6.527120159068936,%,Crude Prevalence,6.175000000000001,6.756818181818181,Cancer,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,6.232509598872309,%,Crude Prevalence,6.204901960784314,6.813725490196077,Cancer,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,6.454934907659703,%,Crude Prevalence,6.195652173913046,6.820652173913042,Cancer,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,6.4520240673353095,%,Crude Prevalence,6.167676767676769,6.782828282828283,Cancer,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,6.401806179278414,%,Crude Prevalence,6.201904761904761,6.803809523809524,Cancer,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,6.562224952007452,%,Crude Prevalence,6.243333333333334,6.868333333333334,Cancer,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,6.21991030858944,%,Crude Prevalence,5.9921875,6.4765625,Cancer,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,6.556892761826773,%,Crude Prevalence,6.24375,6.8687499999999995,Cancer,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,6.215110981515272,%,Crude Prevalence,6.129166666666667,6.650000000000001,Cancer,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,6.308110589904681,%,Crude Prevalence,6.1071428571428585,6.671428571428572,Cancer,14,Massachusetts
Michigan,44.04264490108434,-85.1820795233735,9995915.0,6.545985375025698,%,Crude Prevalence,6.3,6.909638554216867,Cancer,83,Michigan
Minnesota,45.55170990344828,-94.43129790632186,5611179.0,6.181506524742839,%,Crude Prevalence,6.095402298850575,6.7011494252873565,Cancer,87,Minnesota
Mississippi,32.79280325134146,-89.64635060219511,2986530.0,6.295125747941591,%,Crude Prevalence,5.984146341463415,6.478048780487805,Cancer,82,Mississippi
Missouri,38.45115789156521,-92.4817818097391,6126452.0,6.451511445776445,%,Crude Prevalence,6.196521739130436,6.812173913043476,Cancer,115,Missouri
Montana,46.974319369999996,-109.70005154285715,1062305.0,6.595234513628383,%,Crude Prevalence,6.258928571428571,6.860714285714285,Cancer,56,Montana
Nebraska,41.32182658849462,-99.03908183677422,1929268.0,6.489951007325058,%,Crude Prevalence,6.206451612903226,6.8247311827956985,Cancer,93,Nebraska
Nevada,39.25609544647058,-117.56436555882354,3034392.0,5.976192693626928,%,Crude Prevalence,6.029411764705882,6.564705882352941,Cancer,17,Nevada
New Hampshire,43.480085493999994,-71.577655606,1356458.0,6.550170443906114,%,Crude Prevalence,6.24,6.859999999999999,Cancer,10,New Hampshire
New Jersey,40.28683281523809,-74.62251926285714,8908520.0,5.985614613875257,%,Crude Prevalence,5.861904761904762,6.3428571428571425,Cancer,21,New Jersey
New Mexico,34.54934118818181,-105.88657794545455,2095428.0,5.8272543843071665,%,Crude Prevalence,5.606060606060606,6.027272727272727,Cancer,33,New Mexico
