StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,85.3697319344148,%,Crude Prevalence,81.93283582089552,86.33134328358209,Cancer - Screening,67,Alabama
Alaska,60.24761056551725,-145.72324814482758,737438.0,82.76370772864973,%,Crude Prevalence,78.83793103448276,83.34827586206896,Cancer - Screening,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,82.58144075990364,%,Crude Prevalence,78.56,83.17999999999999,Cancer - Screening,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,82.96028093867429,%,Crude Prevalence,79.476,84.43333333333335,Cancer - Screening,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,81.9462970477193,%,Crude Prevalence,80.26206896551726,84.60344827586206,Cancer - Screening,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,84.38905621989323,%,Crude Prevalence,80.76249999999999,85.665625,Cancer - Screening,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,87.21333475150904,%,Crude Prevalence,85.11250000000001,88.98750000000001,Cancer - Screening,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,85.82118467158341,%,Crude Prevalence,83.83333333333333,87.66666666666667,Cancer - Screening,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,87.8,%,Crude Prevalence,85.9,89.3,Cancer - Screening,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,83.68841360935146,%,Crude Prevalence,79.88507462686569,84.57910447761196,Cancer - Screening,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,85.08167322989027,%,Crude Prevalence,81.10251572327046,85.43836477987422,Cancer - Screening,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,81.40366416069246,%,Crude Prevalence,77.55681818181819,83.19090909090909,Cancer - Screening,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,82.89142157493714,%,Crude Prevalence,80.0549019607843,85.32745098039213,Cancer - Screening,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,84.01754804854481,%,Crude Prevalence,80.91739130434783,86.09782608695652,Cancer - Screening,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,84.14672475440769,%,Crude Prevalence,80.96464646464648,86.11919191919193,Cancer - Screening,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,83.43501505235264,%,Crude Prevalence,79.87238095238094,85.13904761904762,Cancer - Screening,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,83.76988948174315,%,Crude Prevalence,79.70333333333335,85.25083333333333,Cancer - Screening,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,85.02821348083617,%,Crude Prevalence,81.90625,86.078125,Cancer - Screening,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,87.21752086813846,%,Crude Prevalence,83.9375,88.575,Cancer - Screening,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,86.24848981865445,%,Crude Prevalence,83.22500000000001,87.37916666666666,Cancer - Screening,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,86.15788307380788,%,Crude Prevalence,83.63571428571427,87.92857142857143,Cancer - Screening,14,Massachusetts
Michigan,44.04264490108434,-85.1820795233735,9995915.0,85.74379900189227,%,Crude Prevalence,81.96506024096387,86.91807228915661,Cancer - Screening,83,Michigan
Minnesota,45.55170990344828,-94.43129790632186,5611179.0,85.61666576667757,%,Crude Prevalence,82.32758620689656,87.06896551724137,Cancer - Screening,87,Minnesota
Mississippi,32.79280325134146,-89.64635060219511,2986530.0,84.6983822362407,%,Crude Prevalence,81.36341463414634,85.77195121951219,Cancer - Screening,82,Mississippi
Missouri,38.45115789156521,-92.4817818097391,6126452.0,84.09214018162552,%,Crude Prevalence,79.57652173913041,85.11043478260869,Cancer - Screening,115,Missouri
Montana,46.974319369999996,-109.70005154285715,1062305.0,83.49958599460606,%,Crude Prevalence,80.11785714285715,85.45357142857144,Cancer - Screening,56,Montana
Nebraska,41.32182658849462,-99.03908183677422,1929268.0,83.9331505524375,%,Crude Prevalence,80.18602150537635,85.50430107526883,Cancer - Screening,93,Nebraska
Nevada,39.25609544647058,-117.56436555882354,3034392.0,81.96745410612736,%,Crude Prevalence,80.26470588235294,84.77058823529411,Cancer - Screening,17,Nevada
New Hampshire,43.480085493999994,-71.577655606,1356458.0,87.09966405152241,%,Crude Prevalence,83.57000000000001,88.35,Cancer - Screening,10,New Hampshire
New Jersey,40.28683281523809,-74.62251926285714,8908520.0,83.98598836843831,%,Crude Prevalence,81.93333333333332,86.07619047619048,Cancer - Screening,21,New Jersey
New Mexico,34.54934118818181,-105.88657794545455,2095428.0,80.55411472023854,%,Crude Prevalence,77.36060606060605,82.23636363636363,Cancer - Screening,33,New Mexico
New York,42.54418242419355,-75.47418766903228,19542209.0,85.02331970249628,%,Crude Prevalence,82.73225806451613,87.28387096774196,Cancer - Screening,62,New York
North Carolina,35.6262429096,-79.50747652049999,10383620.0,85.51364918015105,%,Crude Prevalence,82.226,86.624,Cancer - Screening,100,North Carolina
North Dakota,47.39351678207548,-100.24971405962262,760077.0,83.05696764933026,%,Crude Prevalence,80.3547169811321,85.74339622641509,Cancer - Screening,53,North Dakota
Ohio,40.310540941363634,-82.83566370352273,11689442.0,84.66458978965805,%,Crude Prevalence,81.35113636363636,86.35227272727273,Cancer - Screening,88,Ohio
Oklahoma,35.50212211558441,-97.25164380155844,3943079.0,81.84382978378063,%,Crude Prevalence,78.73116883116882,83.56363636363638,Cancer - Screening,77,Oklahoma
Oregon,44.492170799722224,-121.47705134722221,4190713.0,85.2604936200594,%,Crude Prevalence,82.10833333333333,86.76944444444445,Cancer - Screening,36,Oregon
