StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,86.39685605450717,%,Crude Prevalence,84.98507462686567,87.3358208955224,Screening,67,Alabama
Alaska,60.24761056551725,-145.72324814482758,737438.0,77.69696530420185,%,Crude Prevalence,76.9448275862069,79.76551724137931,Screening,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,85.09080406366961,%,Crude Prevalence,82.76666666666668,85.13333333333334,Screening,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,83.90446678224517,%,Crude Prevalence,82.868,85.41066666666667,Screening,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,85.36102662875854,%,Crude Prevalence,84.16896551724139,86.43793103448277,Screening,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,84.97188919306323,%,Crude Prevalence,84.3421875,86.7390625,Screening,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,90.20261334326057,%,Crude Prevalence,88.6375,90.67500000000001,Screening,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,88.19190246605822,%,Crude Prevalence,87.16666666666667,89.10000000000001,Screening,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,87.6,%,Crude Prevalence,86.3,88.7,Screening,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,87.27948730300137,%,Crude Prevalence,85.17910447761194,87.28059701492536,Screening,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,86.90736817189071,%,Crude Prevalence,85.00817610062893,87.28616352201257,Screening,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,79.46058603084697,%,Crude Prevalence,78.47500000000001,81.49545454545455,Screening,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,86.09679929801871,%,Crude Prevalence,84.0813725490196,86.63529411764705,Screening,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,83.60072676160561,%,Crude Prevalence,82.05978260869564,84.94782608695652,Screening,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,83.63592262079214,%,Crude Prevalence,82.93131313131313,85.6212121212121,Screening,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,83.7772647823033,%,Crude Prevalence,82.61238095238096,85.27619047619046,Screening,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,85.75296846613173,%,Crude Prevalence,83.94833333333332,86.75833333333334,Screening,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,84.96493129366705,%,Crude Prevalence,83.2375,85.65156250000001,Screening,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,85.12522242910211,%,Crude Prevalence,83.775,86.4375,Screening,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,89.74662368821447,%,Crude Prevalence,88.02916666666665,90.03333333333332,Screening,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,86.73817993497387,%,Crude Prevalence,85.8142857142857,88.26428571428572,Screening,14,Massachusetts
Michigan,44.04264490108434,-85.1820795233735,9995915.0,87.30654202241614,%,Crude Prevalence,86.09397590361446,88.40963855421687,Screening,83,Michigan
Minnesota,45.55170990344828,-94.43129790632186,5611179.0,85.32313912994042,%,Crude Prevalence,84.08275862068966,86.59885057471264,Screening,87,Minnesota
Mississippi,32.79280325134146,-89.64635060219511,2986530.0,84.42696751748686,%,Crude Prevalence,82.87439024390245,85.43658536585367,Screening,82,Mississippi
Missouri,38.45115789156521,-92.4817818097391,6126452.0,84.62475889797226,%,Crude Prevalence,82.51304347826087,85.38260869565218,Screening,115,Missouri
Montana,46.974319369999996,-109.70005154285715,1062305.0,80.53159874047472,%,Crude Prevalence,80.3892857142857,83.18571428571428,Screening,56,Montana
Nebraska,41.32182658849462,-99.03908183677422,1929268.0,82.68317387734625,%,Crude Prevalence,82.16451612903226,84.8236559139785,Screening,93,Nebraska
Nevada,39.25609544647058,-117.56436555882354,3034392.0,83.95087068513232,%,Crude Prevalence,83.87058823529412,86.01764705882353,Screening,17,Nevada
New Hampshire,43.480085493999994,-71.577655606,1356458.0,86.9788548558083,%,Crude Prevalence,85.3,88.00000000000001,Screening,10,New Hampshire
New Jersey,40.28683281523809,-74.62251926285714,8908520.0,88.6690893661349,%,Crude Prevalence,87.62380952380953,89.4952380952381,Screening,21,New Jersey
New Mexico,34.54934118818181,-105.88657794545455,2095428.0,82.00067060285535,%,Crude Prevalence,81.47272727272727,83.91515151515149,Screening,33,New Mexico
New York,42.54418242419355,-75.47418766903228,19542209.0,87.60282148246394,%,Crude Prevalence,85.62419354838711,88.10322580645162,Screening,62,New York
North Carolina,35.6262429096,-79.50747652049999,10383620.0,85.14993730510169,%,Crude Prevalence,84.07199999999999,86.42799999999997,Screening,100,North Carolina
North Dakota,47.39351678207548,-100.24971405962262,760077.0,81.19294834602283,%,Crude Prevalence,81.94150943396225,84.78301886792453,Screening,53,North Dakota
Ohio,40.310540941363634,-82.83566370352273,11689442.0,84.26886918982103,%,Crude Prevalence,82.23522727272729,85.07272727272726,Screening,88,Ohio
Oklahoma,35.50212211558441,-97.25164380155844,3943079.0,82.86329226475047,%,Crude Prevalence,82.03376623376623,84.47012987012987,Screening,77,Oklahoma
Oregon,44.492170799722224,-121.47705134722221,4190713.0,83.37279603733302,%,Crude Prevalence,82.59444444444443,85.11944444444445,Screening,36,Oregon
Pennsylvania,40.81777532492538,-77.61600680149253,12807060.0,85.23320697334127,%,Crude Prevalence,83.40746268656717,86.08805970149253,Screening,67,Pennsylvania
Rhode Island,41.657331672000005,-71.46318302200001,1057315.0,88.65914613904089,%,Crude Prevalence,87.80000000000001,90.17999999999999,Screening,5,Rhode Island
South Carolina,33.957593663043475,-80.98349363717392,5084127.0,87.04026022560019,%,Crude Prevalence,86.12391304347827,88.21521739130435,Screening,46,South Carolina
South Dakota,44.272762113787884,-99.31040156090909,882235.0,82.39940911435163,%,Crude Prevalence,81.57424242424241,84.4439393939394,Screening,66,South Dakota
Tennessee,35.88510256863158,-86.1083303285263,6770010.0,86.55825390213606,%,Crude Prevalence,84.6421052631579,87.20526315789473,Screening,95,Tennessee
Texas,31.661034618070868,-98.65396454681104,28701845.0,84.52387733262444,%,Crude Prevalence,83.49173228346457,85.9523622047244,Screening,254,Texas
Utah,39.635075868965515,-111.59628196896553,3161105.0,78.88048229970217,%,Crude Prevalence,78.7344827586207,81.88965517241377,Screening,29,Utah
Vermont,44.15991418071429,-72.6838344957143,626299.0,84.56892762083285,%,Crude Prevalence,83.62857142857142,86.52857142857144,Screening,14,Vermont
Virginia,37.566601079473685,-78.51430630285715,8517685.0,85.82632318523166,%,Crude Prevalence,84.27443609022556,86.78571428571429,Screening,133,Virginia
Washington,47.23287919846154,-120.71734196153845,7535591.0,84.21310187880418,%,Crude Prevalence,83.04358974358975,85.54102564102564,Screening,39,Washington
West Virginia,38.81399128872727,-80.6175985330909,1805832.0,85.70420155363288,%,Crude Prevalence,84.31636363636362,86.98363636363635,Screening,55,West Virginia
Wisconsin,44.39512396194445,-89.79838549444445,5813568.0,84.30857731431024,%,Crude Prevalence,83.40416666666667,86.01666666666668,Screening,72,Wisconsin
Wyoming,43.08673209695652,-107.15309161304347,577737.0,80.8471721561887,%,Crude Prevalence,80.2,83.07391304347826,Screening,23,Wyoming
