StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,3.0481762714277854,%,Crude Prevalence,3.071641791044776,3.4820895522388065,Kidney,67,Alabama
Alaska,60.24761056551725,-148.0113722827586,737438.0,2.693048771557744,%,Crude Prevalence,2.9172413793103447,3.2724137931034485,Kidney,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,2.9850595944083125,%,Crude Prevalence,3.1199999999999997,3.4933333333333336,Kidney,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,2.9427774671721147,%,Crude Prevalence,2.929333333333333,3.333333333333334,Kidney,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,2.7949168093825008,%,Crude Prevalence,2.698275862068965,3.029310344827586,Kidney,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,2.489228494315927,%,Crude Prevalence,2.48125,2.8265625,Kidney,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,2.398155242654993,%,Crude Prevalence,2.225,2.55,Kidney,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,2.731676301295221,%,Crude Prevalence,2.6,2.9333333333333336,Kidney,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,2.9,%,Crude Prevalence,2.7,3.0,Kidney,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,2.9364733342488556,%,Crude Prevalence,2.840298507462686,3.2119402985074625,Kidney,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,2.981473172377899,%,Crude Prevalence,3.0761006289308175,3.4716981132075473,Kidney,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,2.7292053165873145,%,Crude Prevalence,2.6431818181818185,3.0295454545454548,Kidney,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,2.7012650026528364,%,Crude Prevalence,2.5156862745098043,2.8872549019607843,Kidney,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,2.7543585672063955,%,Crude Prevalence,2.514130434782609,2.9076086956521747,Kidney,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,2.5004643956472217,%,Crude Prevalence,2.364646464646465,2.7272727272727266,Kidney,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,2.6227817228546746,%,Crude Prevalence,2.4980952380952384,2.864761904761905,Kidney,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,2.9459703267521586,%,Crude Prevalence,2.885833333333333,3.3475000000000006,Kidney,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,3.1584451900845885,%,Crude Prevalence,3.1359375,3.5453124999999996,Kidney,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,2.5492717445554556,%,Crude Prevalence,2.44375,2.8375000000000004,Kidney,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,2.6799345427008174,%,Crude Prevalence,2.504166666666667,2.8208333333333333,Kidney,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,2.4762092791679806,%,Crude Prevalence,2.3000000000000003,2.6357142857142857,Kidney,14,Massachusetts
Michigan,44.04264490108434,-85.1820795233735,9995915.0,2.791844068301901,%,Crude Prevalence,2.597590361445783,2.9819277108433737,Kidney,83,Michigan
Minnesota,45.55170990344828,-94.43129790632186,5611179.0,2.3895637440901463,%,Crude Prevalence,2.3344827586206898,2.677011494252873,Kidney,87,Minnesota
Mississippi,32.79280325134146,-89.64635060219511,2986530.0,3.209494865278433,%,Crude Prevalence,3.267073170731707,3.690243902439024,Kidney,82,Mississippi
Missouri,38.45115789156521,-92.4817818097391,6126452.0,2.6820699974471363,%,Crude Prevalence,2.621739130434783,3.0295652173913044,Kidney,115,Missouri
Montana,46.974319369999996,-109.70005154285715,1062305.0,2.609321899077948,%,Crude Prevalence,2.5339285714285715,2.9017857142857144,Kidney,56,Montana
Nebraska,41.32182658849462,-99.03908183677422,1929268.0,2.497834878306176,%,Crude Prevalence,2.3698924731182798,2.724731182795699,Kidney,93,Nebraska
Nevada,39.25609544647058,-117.56436555882354,3034392.0,2.8579348680065064,%,Crude Prevalence,2.6470588235294117,3.0,Kidney,17,Nevada
New Hampshire,43.480085493999994,-71.577655606,1356458.0,2.315999537029528,%,Crude Prevalence,2.21,2.57,Kidney,10,New Hampshire
New Jersey,40.28683281523809,-74.62251926285714,8908520.0,2.565204040626277,%,Crude Prevalence,2.390476190476191,2.6999999999999993,Kidney,21,New Jersey
New Mexico,34.54934118818181,-105.88657794545455,2095428.0,3.134957058892026,%,Crude Prevalence,3.0757575757575752,3.43939393939394,Kidney,33,New Mexico
New York,42.54418242419355,-75.47418766903228,19542209.0,2.7689916580054996,%,Crude Prevalence,2.4903225806451617,2.85483870967742,Kidney,62,New York
North Carolina,35.6262429096,-79.50747652049999,10383620.0,2.8869748796662433,%,Crude Prevalence,2.881,3.26,Kidney,100,North Carolina
North Dakota,47.39351678207548,-100.24971405962262,760077.0,2.5487580863517776,%,Crude Prevalence,2.4320754716981132,2.8056603773584903,Kidney,53,North Dakota
Ohio,40.310540941363634,-82.83566370352273,11689442.0,2.72322027005224,%,Crude Prevalence,2.5352272727272727,2.915909090909091,Kidney,88,Ohio
Oklahoma,35.50212211558441,-97.25164380155844,3943079.0,2.9352101745869152,%,Crude Prevalence,2.8584415584415583,3.2337662337662345,Kidney,77,Oklahoma
Oregon,44.492170799722224,-121.47705134722221,4190713.0,2.6609855411239094,%,Crude Prevalence,2.6222222222222222,2.9916666666666667,Kidney,36,Oregon
Pennsylvania,40.81777532492538,-77.61600680149253,12807060.0,2.6446369736692104,%,Crude Prevalence,2.458208955223881,2.832835820895522,Kidney,67,Pennsylvania
Rhode Island,41.657331672000005,-71.46318302200001,1057315.0,2.616299399895017,%,Crude Prevalence,2.2199999999999998,2.56,Kidney,5,Rhode Island
South Carolina,33.957593663043475,-80.98349363717392,5084127.0,2.909328189480711,%,Crude Prevalence,3.036956521739131,3.421739130434782,Kidney,46,South Carolina
South Dakota,44.272762113787884,-99.31040156090909,882235.0,2.6475848271718987,%,Crude Prevalence,2.6742424242424248,3.0651515151515154,Kidney,66,South Dakota
Tennessee,35.88510256863158,-86.1083303285263,6770010.0,2.8973377735040273,%,Crude Prevalence,2.7936842105263158,3.2284210526315786,Kidney,95,Tennessee
Texas,31.661034618070868,-98.65396454681104,28701845.0,3.023509157686553,%,Crude Prevalence,2.9133858267716537,3.3031496062992125,Kidney,254,Texas
Utah,39.635075868965515,-111.59628196896553,3161105.0,2.5553412493416063,%,Crude Prevalence,2.479310344827586,2.837931034482759,Kidney,29,Utah
Vermont,44.15991418071429,-72.6838344957143,626299.0,2.3828813394241406,%,Crude Prevalence,2.242857142857143,2.6142857142857143,Kidney,14,Vermont
Virginia,37.566601079473685,-78.51430630285715,8517685.0,2.619075746520328,%,Crude Prevalence,2.6744360902255635,3.036842105263158,Kidney,133,Virginia
Washington,47.23287919846154,-120.71734196153845,7535591.0,2.575025873883017,%,Crude Prevalence,2.571794871794872,2.9358974358974357,Kidney,39,Washington
West Virginia,38.81399128872727,-80.6175985330909,1805832.0,2.9111158180827457,%,Crude Prevalence,2.756363636363637,3.1909090909090914,Kidney,55,West Virginia
Wisconsin,44.39512396194445,-89.79838549444445,5813568.0,2.573828017492872,%,Crude Prevalence,2.418055555555556,2.7722222222222226,Kidney,72,Wisconsin
Wyoming,43.08673209695652,-107.15309161304347,577737.0,2.5328625308747745,%,Crude Prevalence,2.3869565217391306,2.7217391304347824,Kidney,23,Wyoming
