StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,9.271632721076312,%,Crude Prevalence,9.34179104477612,12.07910447761194,Chronic - Obstructive - Pulmonary,67,Alabama
Alaska,60.24761056551725,-145.72324814482758,737438.0,6.5201846121301035,%,Crude Prevalence,7.093103448275862,9.062068965517241,Chronic - Obstructive - Pulmonary,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,7.244981068502264,%,Crude Prevalence,7.7666666666666675,10.18,Chronic - Obstructive - Pulmonary,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,9.154176934626264,%,Crude Prevalence,9.334666666666667,12.141333333333334,Chronic - Obstructive - Pulmonary,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,5.59382176297547,%,Crude Prevalence,5.974137931034483,7.918965517241379,Chronic - Obstructive - Pulmonary,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,5.203444961728109,%,Crude Prevalence,5.65,7.8234375,Chronic - Obstructive - Pulmonary,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,6.028585607662627,%,Crude Prevalence,5.237500000000001,7.4,Chronic - Obstructive - Pulmonary,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,7.570009026325231,%,Crude Prevalence,7.033333333333334,9.433333333333334,Chronic - Obstructive - Pulmonary,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,4.9,%,Crude Prevalence,4.2,5.6,Chronic - Obstructive - Pulmonary,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,8.580966302922745,%,Crude Prevalence,8.992537313432836,11.853731343283581,Chronic - Obstructive - Pulmonary,67,Florida
