StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,7.2464474205640865,%,Crude Prevalence,7.1940298507462686,8.455223880597012,Heart Disease,67,Alabama
Alaska,60.24761056551725,-148.0113722827586,737438.0,6.029725482006623,%,Crude Prevalence,6.637931034482759,7.713793103448276,Heart Disease,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,6.120784154711484,%,Crude Prevalence,6.3933333333333335,7.513333333333333,Heart Disease,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,7.51193350642456,%,Crude Prevalence,7.369333333333333,8.692,Heart Disease,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,5.363282095515477,%,Crude Prevalence,5.318965517241379,6.274137931034482,Heart Disease,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,4.968074698133496,%,Crude Prevalence,5.059374999999999,6.1,Heart Disease,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,5.1416440108434465,%,Crude Prevalence,4.737500000000001,5.775,Heart Disease,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,5.729722045015825,%,Crude Prevalence,5.5,6.533333333333334,Heart Disease,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,4.6,%,Crude Prevalence,4.2,5.0,Heart Disease,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,6.61235032565586,%,Crude Prevalence,6.746268656716418,7.949253731343284,Heart Disease,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,6.308293683857796,%,Crude Prevalence,6.683647798742139,7.842767295597485,Heart Disease,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,6.077949878235649,%,Crude Prevalence,5.879545454545454,7.077272727272727,Heart Disease,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,5.692485503583684,%,Crude Prevalence,5.734313725490194,6.915686274509805,Heart Disease,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,6.423188169300157,%,Crude Prevalence,6.026086956521738,7.281521739130435,Heart Disease,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,5.783433587493603,%,Crude Prevalence,5.409090909090909,6.553535353535353,Heart Disease,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,6.011709270634946,%,Crude Prevalence,5.724761904761905,6.896190476190476,Heart Disease,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,7.911868202547578,%,Crude Prevalence,7.899166666666667,9.479166666666666,Heart Disease,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,7.203238556061853,%,Crude Prevalence,7.2359375,8.45,Heart Disease,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,6.208651423635913,%,Crude Prevalence,5.8125,7.08125,Heart Disease,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,5.342500113359584,%,Crude Prevalence,5.316666666666666,6.358333333333333,Heart Disease,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,5.318692424634705,%,Crude Prevalence,4.878571428571428,5.964285714285714,Heart Disease,14,Massachusetts
Michigan,44.04264490108434,-85.1820795233735,9995915.0,6.5698725829501345,%,Crude Prevalence,6.378313253012048,7.6421686746987945,Heart Disease,83,Michigan
Minnesota,45.55170990344828,-94.43129790632186,5611179.0,5.122922312761721,%,Crude Prevalence,5.108045977011495,6.186206896551725,Heart Disease,87,Minnesota
Mississippi,32.79280325134146,-89.64635060219511,2986530.0,7.291607953042495,%,Crude Prevalence,7.2646341463414625,8.486585365853658,Heart Disease,82,Mississippi
Missouri,38.45115789156521,-92.4817818097391,6126452.0,6.342691234665676,%,Crude Prevalence,6.435652173913042,7.764347826086956,Heart Disease,115,Missouri
Montana,46.974319369999996,-109.70005154285715,1062305.0,5.89267573813547,%,Crude Prevalence,5.676785714285714,6.835714285714286,Heart Disease,56,Montana
Nebraska,41.32182658849462,-99.03908183677422,1929268.0,5.498941411975941,%,Crude Prevalence,5.317204301075268,6.440860215053763,Heart Disease,93,Nebraska
Nevada,39.25609544647058,-117.56436555882354,3034392.0,6.543124553452554,%,Crude Prevalence,6.205882352941177,7.323529411764706,Heart Disease,17,Nevada
New Hampshire,43.480085493999994,-71.577655606,1356458.0,5.379554103407552,%,Crude Prevalence,5.029999999999999,6.2,Heart Disease,10,New Hampshire
New Jersey,40.28683281523809,-74.62251926285714,8908520.0,5.467966351313125,%,Crude Prevalence,5.076190476190476,6.0619047619047635,Heart Disease,21,New Jersey
New Mexico,34.54934118818181,-105.88657794545455,2095428.0,6.163376169450824,%,Crude Prevalence,6.115151515151514,7.109090909090909,Heart Disease,33,New Mexico
New York,42.54418242419355,-75.47418766903228,19542209.0,5.830586066293733,%,Crude Prevalence,5.67741935483871,6.838709677419355,Heart Disease,62,New York
North Carolina,35.6262429096,-79.50747652049999,10383620.0,6.556328033961182,%,Crude Prevalence,6.5489999999999995,7.74,Heart Disease,100,North Carolina
North Dakota,47.39351678207548,-100.24971405962262,760077.0,6.109186437689867,%,Crude Prevalence,5.80188679245283,7.024528301886794,Heart Disease,53,North Dakota
Ohio,40.310540941363634,-82.83566370352273,11689442.0,6.662396083576957,%,Crude Prevalence,6.345454545454545,7.622727272727272,Heart Disease,88,Ohio
Oklahoma,35.50212211558441,-97.25164380155844,3943079.0,7.3849163306137156,%,Crude Prevalence,7.209090909090908,8.462337662337662,Heart Disease,77,Oklahoma
Oregon,44.492170799722224,-121.47705134722221,4190713.0,6.01737136377509,%,Crude Prevalence,5.9222222222222225,7.122222222222222,Heart Disease,36,Oregon
Pennsylvania,40.81777532492538,-77.61600680149253,12807060.0,5.860154141543805,%,Crude Prevalence,5.638805970149254,6.838805970149252,Heart Disease,67,Pennsylvania
Rhode Island,41.657331672000005,-71.46318302200001,1057315.0,5.86598875453389,%,Crude Prevalence,5.0,6.140000000000001,Heart Disease,5,Rhode Island
South Carolina,33.957593663043475,-80.98349363717392,5084127.0,6.286607061546654,%,Crude Prevalence,6.352173913043478,7.432608695652173,Heart Disease,46,South Carolina
South Dakota,44.272762113787884,-99.31040156090909,882235.0,6.308159617335517,%,Crude Prevalence,6.2272727272727275,7.463636363636363,Heart Disease,66,South Dakota
Tennessee,35.88510256863158,-86.1083303285263,6770010.0,7.020135184438429,%,Crude Prevalence,7.098947368421053,8.500000000000002,Heart Disease,95,Tennessee
Texas,31.661034618070868,-98.65396454681104,28701845.0,6.6213991435045365,%,Crude Prevalence,6.639763779527559,7.829527559055117,Heart Disease,254,Texas
Utah,39.635075868965515,-111.59628196896553,3161105.0,5.126562167343382,%,Crude Prevalence,5.124137931034483,6.203448275862069,Heart Disease,29,Utah
Vermont,44.15991418071429,-72.6838344957143,626299.0,5.219492606566512,%,Crude Prevalence,4.864285714285714,6.007142857142858,Heart Disease,14,Vermont
Virginia,37.566601079473685,-78.51430630285715,8517685.0,5.748415373425995,%,Crude Prevalence,5.9526315789473685,7.087218045112781,Heart Disease,133,Virginia
Washington,47.23287919846154,-120.71734196153845,7535591.0,5.476589215099386,%,Crude Prevalence,5.6000000000000005,6.72051282051282,Heart Disease,39,Washington
West Virginia,38.81399128872727,-80.6175985330909,1805832.0,8.205820474994352,%,Crude Prevalence,7.750909090909092,9.301818181818183,Heart Disease,55,West Virginia
Wisconsin,44.39512396194445,-89.79838549444445,5813568.0,5.6239958146184925,%,Crude Prevalence,5.383333333333334,6.519444444444444,Heart Disease,72,Wisconsin
