StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,10.421496557499166,%,Crude Prevalence,10.335820895522389,11.61044776119403,Asthma,67,Alabama
Alaska,60.24761056551725,-145.72324814482758,737438.0,9.598640292472046,%,Crude Prevalence,9.962068965517243,11.027586206896553,Asthma,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,10.257196799730496,%,Crude Prevalence,10.32666666666667,11.466666666666667,Asthma,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,10.032114704735676,%,Crude Prevalence,9.758666666666667,10.973333333333334,Asthma,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,8.850841937257952,%,Crude Prevalence,9.048275862068966,10.046551724137931,Asthma,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,9.253397960237125,%,Crude Prevalence,8.95,10.03125,Asthma,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,10.096760737432701,%,Crude Prevalence,9.625,10.7625,Asthma,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,9.774192257625591,%,Crude Prevalence,9.466666666666667,10.5,Asthma,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,10.6,%,Crude Prevalence,10.1,11.2,Asthma,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,8.62302381882994,%,Crude Prevalence,8.583582089552237,9.585074626865673,Asthma,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,9.464562033751683,%,Crude Prevalence,9.539622641509434,10.683647798742138,Asthma,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,9.411032158102117,%,Crude Prevalence,9.13409090909091,10.329545454545455,Asthma,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,9.322092091094317,%,Crude Prevalence,9.221568627450981,10.399019607843139,Asthma,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,10.203918182608827,%,Crude Prevalence,9.615217391304348,10.910869565217393,Asthma,92,Indiana
