StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,15.105007210705848,%,Crude Prevalence,14.156716417910449,19.29701492537314,Current - Lack - Health,67,Alabama
Alaska,60.24761056551725,-145.72324814482758,737438.0,13.324875175946996,%,Crude Prevalence,12.196551724137933,16.275862068965516,Current - Lack - Health,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,15.266130592614306,%,Crude Prevalence,14.280000000000001,19.30666666666667,Current - Lack - Health,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,14.058730715950661,%,Crude Prevalence,12.585333333333331,17.289333333333335,Current - Lack - Health,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,14.727852770600027,%,Crude Prevalence,11.71551724137931,16.103448275862068,Current - Lack - Health,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,13.76278584526484,%,Crude Prevalence,12.2390625,16.9625,Current - Lack - Health,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,9.712608626893369,%,Crude Prevalence,7.487500000000001,10.6875,Current - Lack - Health,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,13.875181534599362,%,Crude Prevalence,12.366666666666667,16.599999999999998,Current - Lack - Health,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,8.5,%,Crude Prevalence,6.9,10.1,Current - Lack - Health,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,23.032340992026743,%,Crude Prevalence,20.22686567164179,26.216417910447763,Current - Lack - Health,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,21.568689036287452,%,Crude Prevalence,20.684905660377357,26.943396226415093,Current - Lack - Health,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,16.828192722869804,%,Crude Prevalence,15.138636363636362,20.87272727272727,Current - Lack - Health,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,15.031251966081372,%,Crude Prevalence,10.811764705882352,15.391176470588237,Current - Lack - Health,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,13.914484394365827,%,Crude Prevalence,11.215217391304348,16.168478260869566,Current - Lack - Health,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,10.141078119034455,%,Crude Prevalence,8.50909090909091,12.361616161616162,Current - Lack - Health,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,15.716522932297904,%,Crude Prevalence,13.511428571428569,18.88095238095238,Current - Lack - Health,105,Kansas
