StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,19.887300339963964,%,Crude Prevalence,19.149253731343286,24.33134328358209,Smoking,67,Alabama
Alaska,60.24761056551725,-145.72324814482758,737438.0,19.90626493345881,%,Crude Prevalence,21.144827586206894,26.46206896551724,Smoking,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,15.904308620364139,%,Crude Prevalence,15.813333333333333,19.993333333333332,Smoking,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,21.781749603908654,%,Crude Prevalence,20.737333333333336,26.302666666666667,Smoking,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,12.899218753574742,%,Crude Prevalence,12.463793103448275,16.23793103448276,Smoking,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,15.574399462458855,%,Crude Prevalence,14.221874999999999,19.3640625,Smoking,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,13.470374524339672,%,Crude Prevalence,11.55,16.025,Smoking,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,17.976494539228327,%,Crude Prevalence,15.666666666666666,20.366666666666664,Smoking,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,15.8,%,Crude Prevalence,13.3,18.6,Smoking,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,17.44457098053577,%,Crude Prevalence,18.25671641791045,23.25671641791045,Smoking,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,17.574875694842184,%,Crude Prevalence,18.527044025157235,23.41383647798742,Smoking,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,16.75050444417082,%,Crude Prevalence,15.145454545454543,20.261363636363637,Smoking,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,16.880426423819642,%,Crude Prevalence,17.074509803921565,22.658823529411762,Smoking,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,21.511281601368104,%,Crude Prevalence,19.65,25.925000000000004,Smoking,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,17.354930904632074,%,Crude Prevalence,15.242424242424242,20.54949494949495,Smoking,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,17.51891544063981,%,Crude Prevalence,15.926666666666666,21.280952380952385,Smoking,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,22.93855107485853,%,Crude Prevalence,21.78166666666667,28.45333333333333,Smoking,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,22.22130686024698,%,Crude Prevalence,21.8453125,27.203125,Smoking,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,18.05454675867675,%,Crude Prevalence,16.03125,22.099999999999998,Smoking,16,Maine
