StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,14.187681201079162,%,Crude Prevalence,15.195522388059702,17.264179104477613,Diabetes,67,Alabama
Alaska,60.24761056551725,-145.72324814482758,737438.0,9.616954510074068,%,Crude Prevalence,11.13793103448276,12.71379310344828,Diabetes,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,10.611710881992781,%,Crude Prevalence,12.139999999999999,13.893333333333334,Diabetes,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,13.096901644919662,%,Crude Prevalence,13.863999999999999,15.888000000000002,Diabetes,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,10.964888057234809,%,Crude Prevalence,10.54655172413793,12.10344827586207,Diabetes,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,7.854780966380152,%,Crude Prevalence,8.956249999999999,10.615625,Diabetes,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,9.760213650034359,%,Crude Prevalence,8.774999999999999,10.4125,Diabetes,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,12.256921888683594,%,Crude Prevalence,11.966666666666669,13.766666666666666,Diabetes,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,8.1,%,Crude Prevalence,7.5,8.7,Diabetes,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,13.137836630973046,%,Crude Prevalence,12.929850746268656,14.865671641791044,Diabetes,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,12.69336880405153,%,Crude Prevalence,14.140880503144654,16.018238993710696,Diabetes,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,10.667364816486984,%,Crude Prevalence,11.315909090909091,13.30909090909091,Diabetes,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,10.517776028405756,%,Crude Prevalence,10.49607843137255,12.380392156862742,Diabetes,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,12.335498345905288,%,Crude Prevalence,11.866304347826087,13.93913043478261,Diabetes,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,9.978891083901404,%,Crude Prevalence,10.011111111111113,11.933333333333332,Diabetes,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,11.3364010709238,%,Crude Prevalence,11.681904761904761,13.772380952380951,Diabetes,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,13.922675153220323,%,Crude Prevalence,14.225,16.601666666666667,Diabetes,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,13.805499425104584,%,Crude Prevalence,14.1875,15.993750000000002,Diabetes,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,10.72490608216951,%,Crude Prevalence,10.45625,12.6125,Diabetes,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,11.895433396031388,%,Crude Prevalence,11.387499999999998,13.183333333333332,Diabetes,24,Maryland
