StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,38.4248002658008,%,Crude Prevalence,39.28059701492537,41.75970149253732,High Blood Pressure,67,Alabama
Alaska,60.24761056551725,-148.0113722827586,737438.0,30.875963403025068,%,Crude Prevalence,30.70344827586207,32.81034482758621,High Blood Pressure,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,28.37195171094613,%,Crude Prevalence,29.186666666666667,31.06,High Blood Pressure,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,36.04740232097086,%,Crude Prevalence,36.294666666666664,38.754666666666665,High Blood Pressure,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,27.391516818306318,%,Crude Prevalence,26.996551724137934,28.96034482758621,High Blood Pressure,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,25.138990677657212,%,Crude Prevalence,24.875000000000004,27.10625,High Blood Pressure,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,27.676651547234346,%,Crude Prevalence,26.4125,28.625,High Blood Pressure,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,32.16305937626335,%,Crude Prevalence,31.066666666666666,33.166666666666664,High Blood Pressure,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,30.0,%,Crude Prevalence,28.9,31.0,High Blood Pressure,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,31.44917734247447,%,Crude Prevalence,32.25074626865672,34.34626865671642,High Blood Pressure,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,32.73731762279011,%,Crude Prevalence,33.510691823899364,35.7503144654088,High Blood Pressure,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,27.868060116018164,%,Crude Prevalence,27.03409090909091,29.381818181818186,High Blood Pressure,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,30.43290400028883,%,Crude Prevalence,29.94313725490196,32.51176470588236,High Blood Pressure,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,33.04742747850453,%,Crude Prevalence,31.630434782608695,34.26304347826087,High Blood Pressure,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,28.747418733930157,%,Crude Prevalence,27.809090909090916,30.352525252525254,High Blood Pressure,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,31.076275912285915,%,Crude Prevalence,30.613333333333333,33.14285714285714,High Blood Pressure,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,37.429726354074674,%,Crude Prevalence,37.26416666666667,40.11666666666667,High Blood Pressure,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,38.22107276042934,%,Crude Prevalence,38.2796875,40.6015625,High Blood Pressure,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,28.195537894387645,%,Crude Prevalence,27.63125,30.18125,High Blood Pressure,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,31.787970446411702,%,Crude Prevalence,31.166666666666668,33.425,High Blood Pressure,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,26.9943412551656,%,Crude Prevalence,25.857142857142854,28.192857142857147,High Blood Pressure,14,Massachusetts
Michigan,44.04264490108434,-85.1820795233735,9995915.0,31.350810065911926,%,Crude Prevalence,29.683132530120485,32.192771084337345,High Blood Pressure,83,Michigan
Minnesota,45.55170990344828,-94.43129790632186,5611179.0,24.830424425953975,%,Crude Prevalence,24.770114942528735,27.101149425287364,High Blood Pressure,87,Minnesota
Mississippi,32.79280325134146,-89.64635060219511,2986530.0,39.267462640589585,%,Crude Prevalence,40.08170731707318,42.5280487804878,High Blood Pressure,82,Mississippi
Missouri,38.45115789156521,-92.4817818097391,6126452.0,30.106813503149954,%,Crude Prevalence,30.04434782608696,32.6295652173913,High Blood Pressure,115,Missouri
Montana,46.974319369999996,-109.70005154285715,1062305.0,25.70039188368689,%,Crude Prevalence,25.826785714285716,28.23392857142857,High Blood Pressure,56,Montana
Nebraska,41.32182658849462,-99.03908183677422,1929268.0,28.693109044466606,%,Crude Prevalence,27.28709677419355,29.743010752688168,High Blood Pressure,93,Nebraska
Nevada,39.25609544647058,-117.56436555882354,3034392.0,30.372535947893347,%,Crude Prevalence,28.66470588235294,30.78235294117647,High Blood Pressure,17,Nevada
New Hampshire,43.480085493999994,-71.577655606,1356458.0,27.096787073392615,%,Crude Prevalence,26.07,28.640000000000004,High Blood Pressure,10,New Hampshire
New Jersey,40.28683281523809,-74.62251926285714,8908520.0,30.291613758514327,%,Crude Prevalence,29.257142857142856,31.31904761904762,High Blood Pressure,21,New Jersey
New Mexico,34.54934118818181,-105.88657794545455,2095428.0,27.992261103698148,%,Crude Prevalence,28.042424242424243,29.966666666666665,High Blood Pressure,33,New Mexico
New York,42.54418242419355,-75.47418766903228,19542209.0,28.189422833416632,%,Crude Prevalence,27.388709677419353,29.772580645161295,High Blood Pressure,62,New York
North Carolina,35.6262429096,-79.50747652049999,10383620.0,33.11004795052207,%,Crude Prevalence,33.307,35.656,High Blood Pressure,100,North Carolina
North Dakota,47.39351678207548,-100.24971405962262,760077.0,29.352093801022793,%,Crude Prevalence,28.435849056603775,31.011320754716984,High Blood Pressure,53,North Dakota
Ohio,40.310540941363634,-82.83566370352273,11689442.0,31.399904914195215,%,Crude Prevalence,30.16818181818182,32.70909090909091,High Blood Pressure,88,Ohio
Oklahoma,35.50212211558441,-97.25164380155844,3943079.0,35.7147439856011,%,Crude Prevalence,35.188311688311686,37.52987012987013,High Blood Pressure,77,Oklahoma
Oregon,44.492170799722224,-121.47705134722221,4190713.0,26.873157550994307,%,Crude Prevalence,26.663888888888888,29.0,High Blood Pressure,36,Oregon
Pennsylvania,40.81777532492538,-77.61600680149253,12807060.0,28.93629776857452,%,Crude Prevalence,27.685074626865674,30.202985074626863,High Blood Pressure,67,Pennsylvania
Rhode Island,41.657331672000005,-71.46318302200001,1057315.0,30.46661467963663,%,Crude Prevalence,27.059999999999995,29.619999999999997,High Blood Pressure,5,Rhode Island
South Carolina,33.957593663043475,-80.98349363717392,5084127.0,35.41621515355537,%,Crude Prevalence,36.913043478260875,39.13260869565217,High Blood Pressure,46,South Carolina
South Dakota,44.272762113787884,-99.31040156090909,882235.0,28.613513066246522,%,Crude Prevalence,27.703030303030303,30.183333333333334,High Blood Pressure,66,South Dakota
Tennessee,35.88510256863158,-86.1083303285263,6770010.0,35.52412197323194,%,Crude Prevalence,35.0978947368421,37.783157894736846,High Blood Pressure,95,Tennessee
Texas,31.661034618070868,-98.65396454681104,28701845.0,32.684095221056346,%,Crude Prevalence,32.5279527559055,34.746062992125985,High Blood Pressure,254,Texas
Utah,39.635075868965515,-111.59628196896553,3161105.0,25.979604189041492,%,Crude Prevalence,26.03793103448276,28.334482758620688,High Blood Pressure,29,Utah
Vermont,44.15991418071429,-72.6838344957143,626299.0,25.485942656782143,%,Crude Prevalence,24.58571428571429,27.085714285714285,High Blood Pressure,14,Vermont
Virginia,37.566601079473685,-78.51430630285715,8517685.0,30.171668229102153,%,Crude Prevalence,31.042857142857148,33.3984962406015,High Blood Pressure,133,Virginia
Washington,47.23287919846154,-120.71734196153845,7535591.0,27.443456127064216,%,Crude Prevalence,27.66410256410256,29.879487179487178,High Blood Pressure,39,Washington
West Virginia,38.81399128872727,-80.6175985330909,1805832.0,37.91528663795969,%,Crude Prevalence,36.89636363636364,39.80181818181818,High Blood Pressure,55,West Virginia
Wisconsin,44.39512396194445,-89.79838549444445,5813568.0,27.813215154617616,%,Crude Prevalence,26.762500000000003,29.247222222222224,High Blood Pressure,72,Wisconsin
