StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,32.38677665593057,%,Crude Prevalence,32.40149253731343,33.9910447761194,High Cholesterol,67,Alabama
Alaska,60.24761056551725,-148.0113722827586,737438.0,28.856509292984626,%,Crude Prevalence,28.103448275862068,29.493103448275864,High Cholesterol,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,28.965261768358335,%,Crude Prevalence,28.26,29.540000000000003,High Cholesterol,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,30.93976103456571,%,Crude Prevalence,30.862666666666666,32.480000000000004,High Cholesterol,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,28.719043171703046,%,Crude Prevalence,27.801724137931036,29.12241379310345,High Cholesterol,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,27.567919226261,%,Crude Prevalence,27.1140625,28.604687499999997,High Cholesterol,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,27.753389612516145,%,Crude Prevalence,26.95,28.25,High Cholesterol,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,28.98208837940757,%,Crude Prevalence,28.53333333333333,29.833333333333332,High Cholesterol,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,28.1,%,Crude Prevalence,27.5,28.8,High Cholesterol,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,29.61956701914262,%,Crude Prevalence,29.552238805970152,30.891044776119408,High Cholesterol,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,29.01649097507243,%,Crude Prevalence,29.425786163522005,30.895597484276728,High Cholesterol,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,27.061173247414217,%,Crude Prevalence,26.790909090909096,28.37954545454545,High Cholesterol,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,29.290269647471018,%,Crude Prevalence,29.7,31.44705882352941,High Cholesterol,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,30.393922827044964,%,Crude Prevalence,29.879347826086963,31.61521739130435,High Cholesterol,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,29.515728523245922,%,Crude Prevalence,28.653535353535357,30.36868686868687,High Cholesterol,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,29.528844257523172,%,Crude Prevalence,28.313333333333333,29.919047619047614,High Cholesterol,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,32.40061021814957,%,Crude Prevalence,32.41583333333333,34.302499999999995,High Cholesterol,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,32.35938060222602,%,Crude Prevalence,32.184375,33.689062500000006,High Cholesterol,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,29.91352484003335,%,Crude Prevalence,29.2375,30.893749999999997,High Cholesterol,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,29.639150809288136,%,Crude Prevalence,29.704166666666666,31.075,High Cholesterol,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,28.700243750171143,%,Crude Prevalence,27.971428571428568,29.435714285714287,High Cholesterol,14,Massachusetts
Michigan,44.04264490108434,-85.1820795233735,9995915.0,30.26079139328416,%,Crude Prevalence,29.6132530120482,31.299999999999997,High Cholesterol,83,Michigan
Minnesota,45.55170990344828,-94.43129790632186,5611179.0,25.399963857863025,%,Crude Prevalence,24.93793103448276,26.4632183908046,High Cholesterol,87,Minnesota
Mississippi,32.79280325134146,-89.64635060219511,2986530.0,33.205719614402,%,Crude Prevalence,32.924390243902444,34.485365853658536,High Cholesterol,82,Mississippi
Missouri,38.45115789156521,-92.4817818097391,6126452.0,30.235256703227257,%,Crude Prevalence,30.384347826086955,32.17478260869565,High Cholesterol,115,Missouri
