StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,76.29581253269573,%,Crude Prevalence,70.63582089552239,78.18059701492537,Mammography - Use - Among,67,Alabama
Alaska,60.24761056551725,-148.0113722827586,737438.0,65.15818265399938,%,Crude Prevalence,59.72068965517241,67.98275862068965,Mammography - Use - Among,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,67.65563788285144,%,Crude Prevalence,59.78666666666667,67.64666666666666,Mammography - Use - Among,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,69.783132763183,%,Crude Prevalence,64.19866666666667,72.96399999999998,Mammography - Use - Among,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,74.31831425224001,%,Crude Prevalence,68.9103448275862,76.13448275862068,Mammography - Use - Among,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,66.55288275226124,%,Crude Prevalence,59.2890625,68.7109375,Mammography - Use - Among,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,78.3868533153822,%,Crude Prevalence,73.5375,80.30000000000001,Mammography - Use - Among,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,78.58811626899484,%,Crude Prevalence,74.8,80.96666666666665,Mammography - Use - Among,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,75.7,%,Crude Prevalence,72.7,78.7,Mammography - Use - Among,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,74.35040261604534,%,Crude Prevalence,67.95522388059703,75.52985074626866,Mammography - Use - Among,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,76.70381297545742,%,Crude Prevalence,70.7490566037736,78.10440251572327,Mammography - Use - Among,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,64.37249071945857,%,Crude Prevalence,57.22727272727273,67.35909090909091,Mammography - Use - Among,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,73.20172425728431,%,Crude Prevalence,65.37549019607843,74.7764705882353,Mammography - Use - Among,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,70.7487404582092,%,Crude Prevalence,64.92934782608697,74.48913043478261,Mammography - Use - Among,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,73.59420273783365,%,Crude Prevalence,67.82727272727273,76.76161616161616,Mammography - Use - Among,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,70.67290226188861,%,Crude Prevalence,64.19428571428571,73.49142857142857,Mammography - Use - Among,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,72.43036960416721,%,Crude Prevalence,65.45583333333333,75.1275,Mammography - Use - Among,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,75.28007986303798,%,Crude Prevalence,69.7640625,77.18281249999998,Mammography - Use - Among,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,74.57026869315992,%,Crude Prevalence,69.50625,77.51249999999999,Mammography - Use - Among,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,76.01721940358627,%,Crude Prevalence,71.00416666666666,77.91250000000001,Mammography - Use - Among,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,79.47510265281146,%,Crude Prevalence,75.16428571428571,82.27857142857142,Mammography - Use - Among,14,Massachusetts
Michigan,44.04264490108434,-85.1820795233735,9995915.0,74.37140187766703,%,Crude Prevalence,68.14819277108435,76.88674698795181,Mammography - Use - Among,83,Michigan
Minnesota,45.55170990344828,-94.43129790632186,5611179.0,76.47780503883409,%,Crude Prevalence,71.11264367816091,79.24597701149426,Mammography - Use - Among,87,Minnesota
Mississippi,32.79280325134146,-89.64635060219511,2986530.0,66.86656082476988,%,Crude Prevalence,61.353658536585364,69.75853658536586,Mammography - Use - Among,82,Mississippi
Missouri,38.45115789156521,-92.4817818097391,6126452.0,70.39666684730412,%,Crude Prevalence,62.05043478260869,72.06260869565217,Mammography - Use - Among,115,Missouri
Montana,46.974319369999996,-109.70005154285715,1062305.0,69.47990435891762,%,Crude Prevalence,62.982142857142854,72.46071428571429,Mammography - Use - Among,56,Montana
Nebraska,41.32182658849462,-99.03908183677422,1929268.0,70.47986117014328,%,Crude Prevalence,63.624731182795706,72.92903225806451,Mammography - Use - Among,93,Nebraska
Nevada,39.25609544647058,-117.56436555882354,3034392.0,67.6152802604278,%,Crude Prevalence,60.06470588235294,69.0529411764706,Mammography - Use - Among,17,Nevada
New Hampshire,43.480085493999994,-71.577655606,1356458.0,76.04898382404762,%,Crude Prevalence,69.23,77.72,Mammography - Use - Among,10,New Hampshire
New Jersey,40.28683281523809,-74.62251926285714,8908520.0,74.72165717762321,%,Crude Prevalence,70.3095238095238,77.67619047619048,Mammography - Use - Among,21,New Jersey
New Mexico,34.54934118818181,-105.88657794545455,2095428.0,64.34138834643805,%,Crude Prevalence,58.448484848484846,66.48181818181818,Mammography - Use - Among,33,New Mexico
New York,42.54418242419355,-75.47418766903228,19542209.0,76.44240947888746,%,Crude Prevalence,71.00322580645161,78.5209677419355,Mammography - Use - Among,62,New York
North Carolina,35.6262429096,-79.50747652049999,10383620.0,75.76297131443563,%,Crude Prevalence,70.582,78.31,Mammography - Use - Among,100,North Carolina
North Dakota,47.39351678207548,-100.24971405962262,760077.0,74.68533043362712,%,Crude Prevalence,68.68113207547171,77.38867924528302,Mammography - Use - Among,53,North Dakota
Ohio,40.310540941363634,-82.83566370352273,11689442.0,74.00347717196425,%,Crude Prevalence,67.96022727272727,76.61704545454546,Mammography - Use - Among,88,Ohio
Oklahoma,35.50212211558441,-97.25164380155844,3943079.0,71.35340164374082,%,Crude Prevalence,64.82857142857144,73.28701298701299,Mammography - Use - Among,77,Oklahoma
Oregon,44.492170799722224,-121.47705134722221,4190713.0,72.18250381259705,%,Crude Prevalence,65.10277777777777,74.07222222222221,Mammography - Use - Among,36,Oregon
