StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,15.844903210416152,%,Crude Prevalence,15.44626865671642,18.270149253731347,Mental Health,67,Alabama
Alaska,60.24761056551725,-145.72324814482758,737438.0,13.241456773315184,%,Crude Prevalence,13.365517241379314,15.700000000000001,Mental Health,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,13.162345380683876,%,Crude Prevalence,12.966666666666665,15.259999999999998,Mental Health,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,15.402492480485764,%,Crude Prevalence,14.710666666666667,17.438666666666666,Mental Health,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,12.610231350698717,%,Crude Prevalence,12.144827586206896,14.4,Mental Health,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,11.616643795065775,%,Crude Prevalence,10.7703125,13.114062500000001,Mental Health,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,11.631026810518199,%,Crude Prevalence,10.4625,12.875,Mental Health,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,13.008518865846886,%,Crude Prevalence,12.166666666666666,14.466666666666667,Mental Health,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,13.2,%,Crude Prevalence,11.9,14.6,Mental Health,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,13.847529271467526,%,Crude Prevalence,13.892537313432834,16.400000000000006,Mental Health,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,13.59479469270092,%,Crude Prevalence,13.894339622641509,16.420125786163524,Mental Health,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,13.436984040661084,%,Crude Prevalence,12.390909090909092,15.025,Mental Health,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,12.334199950082727,%,Crude Prevalence,12.341176470588238,14.950980392156863,Mental Health,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,14.719978995432971,%,Crude Prevalence,13.554347826086957,16.490217391304345,Mental Health,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,11.046138596293899,%,Crude Prevalence,9.980808080808082,12.230303030303032,Mental Health,99,Iowa
