StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,29.020985128290004,%,Crude Prevalence,29.19850746268657,34.80895522388059,Leisure-Time - Physical - Activity,67,Alabama
Alaska,60.24761056551725,-148.0113722827586,737438.0,20.428430729091804,%,Crude Prevalence,20.98275862068965,25.093103448275855,Leisure-Time - Physical - Activity,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,22.257210311273035,%,Crude Prevalence,22.553333333333335,27.02,Leisure-Time - Physical - Activity,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,31.22388502982091,%,Crude Prevalence,31.110666666666663,37.062666666666665,Leisure-Time - Physical - Activity,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,21.622863409033712,%,Crude Prevalence,19.7948275862069,23.989655172413794,Leisure-Time - Physical - Activity,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,16.63915183816739,%,Crude Prevalence,15.8046875,19.856250000000003,Leisure-Time - Physical - Activity,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,21.03448103866441,%,Crude Prevalence,18.225,22.75,Leisure-Time - Physical - Activity,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,27.031535478214295,%,Crude Prevalence,25.46666666666667,30.400000000000002,Leisure-Time - Physical - Activity,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,18.9,%,Crude Prevalence,16.9,21.0,Leisure-Time - Physical - Activity,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,26.684825523813547,%,Crude Prevalence,26.17910447761194,31.167164179104482,Leisure-Time - Physical - Activity,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,26.096623367611027,%,Crude Prevalence,27.256603773584906,32.35911949685535,Leisure-Time - Physical - Activity,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,20.45400699346942,%,Crude Prevalence,19.806818181818183,24.63636363636363,Leisure-Time - Physical - Activity,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,24.548018535320395,%,Crude Prevalence,23.632352941176475,29.3156862745098,Leisure-Time - Physical - Activity,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,27.77347185648035,%,Crude Prevalence,25.53260869565217,31.60108695652173,Leisure-Time - Physical - Activity,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,22.497121425029583,%,Crude Prevalence,20.98787878787879,26.35454545454546,Leisure-Time - Physical - Activity,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,22.884288366326007,%,Crude Prevalence,22.135238095238098,27.547619047619044,Leisure-Time - Physical - Activity,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,32.38002664039628,%,Crude Prevalence,32.01583333333333,38.982499999999995,Leisure-Time - Physical - Activity,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,29.86690295533584,%,Crude Prevalence,29.934375,35.232812499999994,Leisure-Time - Physical - Activity,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,21.142418880995574,%,Crude Prevalence,19.64375,25.23125,Leisure-Time - Physical - Activity,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,22.72195136360823,%,Crude Prevalence,21.666666666666668,26.57083333333333,Leisure-Time - Physical - Activity,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,22.27985927281489,%,Crude Prevalence,19.50714285714286,24.657142857142862,Leisure-Time - Physical - Activity,14,Massachusetts
Michigan,44.04264490108434,-85.1820795233735,9995915.0,23.90805321974026,%,Crude Prevalence,21.972289156626506,27.339759036144574,Leisure-Time - Physical - Activity,83,Michigan
Minnesota,45.55170990344828,-94.43129790632186,5611179.0,20.097077512586928,%,Crude Prevalence,19.945977011494254,25.089655172413796,Leisure-Time - Physical - Activity,87,Minnesota
Mississippi,32.79280325134146,-89.64635060219511,2986530.0,31.615962839817445,%,Crude Prevalence,31.126829268292678,36.81585365853659,Leisure-Time - Physical - Activity,82,Mississippi
Missouri,38.45115789156521,-92.4817818097391,6126452.0,26.372684287741095,%,Crude Prevalence,26.315652173913044,32.52086956521739,Leisure-Time - Physical - Activity,115,Missouri
Montana,46.974319369999996,-109.70005154285715,1062305.0,22.582201815862675,%,Crude Prevalence,21.44464285714286,26.853571428571428,Leisure-Time - Physical - Activity,56,Montana
Nebraska,41.32182658849462,-99.03908183677422,1929268.0,23.466634806569125,%,Crude Prevalence,22.43010752688172,27.983870967741936,Leisure-Time - Physical - Activity,93,Nebraska
Nevada,39.25609544647058,-117.56436555882354,3034392.0,25.388361193939343,%,Crude Prevalence,21.56470588235294,25.894117647058827,Leisure-Time - Physical - Activity,17,Nevada
New Hampshire,43.480085493999994,-71.577655606,1356458.0,20.7940152957187,%,Crude Prevalence,18.85,24.439999999999998,Leisure-Time - Physical - Activity,10,New Hampshire
New Jersey,40.28683281523809,-74.62251926285714,8908520.0,26.951415341717816,%,Crude Prevalence,24.44285714285714,29.466666666666665,Leisure-Time - Physical - Activity,21,New Jersey
New Mexico,34.54934118818181,-105.88657794545455,2095428.0,22.10838253569199,%,Crude Prevalence,22.066666666666663,26.503030303030304,Leisure-Time - Physical - Activity,33,New Mexico
New York,42.54418242419355,-75.47418766903228,19542209.0,25.055084729674117,%,Crude Prevalence,22.56774193548388,27.974193548387095,Leisure-Time - Physical - Activity,62,New York
North Carolina,35.6262429096,-79.50747652049999,10383620.0,23.925934346595888,%,Crude Prevalence,23.886,28.851000000000003,Leisure-Time - Physical - Activity,100,North Carolina
North Dakota,47.39351678207548,-100.24971405962262,760077.0,22.167150038746072,%,Crude Prevalence,21.303773584905663,26.866037735849055,Leisure-Time - Physical - Activity,53,North Dakota
Ohio,40.310540941363634,-82.83566370352273,11689442.0,25.814941919383322,%,Crude Prevalence,24.4,30.21704545454546,Leisure-Time - Physical - Activity,88,Ohio
Oklahoma,35.50212211558441,-97.25164380155844,3943079.0,27.337636298943032,%,Crude Prevalence,26.859740259740263,32.028571428571425,Leisure-Time - Physical - Activity,77,Oklahoma
Oregon,44.492170799722224,-121.47705134722221,4190713.0,18.712397603939948,%,Crude Prevalence,18.727777777777778,23.355555555555558,Leisure-Time - Physical - Activity,36,Oregon
Pennsylvania,40.81777532492538,-77.61600680149253,12807060.0,22.951443773980913,%,Crude Prevalence,21.30597014925373,26.726865671641793,Leisure-Time - Physical - Activity,67,Pennsylvania
Rhode Island,41.657331672000005,-71.46318302200001,1057315.0,25.11601982379896,%,Crude Prevalence,19.479999999999997,24.839999999999996,Leisure-Time - Physical - Activity,5,Rhode Island
South Carolina,33.957593663043475,-80.98349363717392,5084127.0,25.789541941025465,%,Crude Prevalence,26.460869565217386,31.402173913043477,Leisure-Time - Physical - Activity,46,South Carolina
South Dakota,44.272762113787884,-99.31040156090909,882235.0,23.587238774249492,%,Crude Prevalence,21.75,27.180303030303033,Leisure-Time - Physical - Activity,66,South Dakota
Tennessee,35.88510256863158,-86.1083303285263,6770010.0,30.064962784397657,%,Crude Prevalence,29.523157894736844,35.909473684210525,Leisure-Time - Physical - Activity,95,Tennessee
