StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,35.8596029027771,%,Crude Prevalence,36.7597014925373,39.73880597014926,Obesity,67,Alabama
Alaska,60.24761056551725,-145.72324814482758,737438.0,29.84638532324073,%,Crude Prevalence,30.47931034482759,33.34827586206897,Obesity,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,30.3517363656823,%,Crude Prevalence,30.933333333333334,33.33333333333333,Obesity,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,35.41793790283113,%,Crude Prevalence,35.292,38.41333333333334,Obesity,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,26.359807892626964,%,Crude Prevalence,26.572413793103454,29.039655172413795,Obesity,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,23.93532496518343,%,Crude Prevalence,23.932812499999997,26.796875,Obesity,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,27.476371252272465,%,Crude Prevalence,26.225,28.6875,Obesity,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,34.77955346055661,%,Crude Prevalence,34.699999999999996,37.23333333333334,Obesity,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,24.8,%,Crude Prevalence,23.8,26.0,Obesity,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,30.856200428886826,%,Crude Prevalence,31.679104477611947,34.16865671641791,Obesity,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,32.299949750344005,%,Crude Prevalence,33.6188679245283,36.51635220125787,Obesity,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,29.735924246155538,%,Crude Prevalence,30.079545454545453,33.37954545454546,Obesity,44,Idaho
