StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,25.795071555693674,%,Crude Prevalence,19.589552238805975,29.48507462686567,Cancer - Screening,67,Alabama
Alaska,60.24761056551725,-148.0113722827586,737438.0,20.120573797390428,%,Crude Prevalence,14.665517241379312,22.724137931034484,Cancer - Screening,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,22.47087821958864,%,Crude Prevalence,14.306666666666668,22.04,Cancer - Screening,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,21.29922570155865,%,Crude Prevalence,15.173333333333336,24.534666666666666,Cancer - Screening,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,22.527015713635837,%,Crude Prevalence,18.03103448275862,26.827586206896555,Cancer - Screening,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,24.195070444296647,%,Crude Prevalence,18.275,28.334375,Cancer - Screening,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,25.062936883251016,%,Crude Prevalence,20.35,30.4,Cancer - Screening,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,24.720433821940482,%,Crude Prevalence,19.833333333333332,29.633333333333336,Cancer - Screening,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,26.9,%,Crude Prevalence,22.9,31.4,Cancer - Screening,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,23.309820128102647,%,Crude Prevalence,18.537313432835816,28.008955223880598,Cancer - Screening,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,22.107048298512993,%,Crude Prevalence,16.451572327044026,25.367924528301884,Cancer - Screening,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,25.507587184644013,%,Crude Prevalence,18.23863636363636,29.049999999999997,Cancer - Screening,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,25.357470355731227,%,Crude Prevalence,20.9,32.20686274509804,Cancer - Screening,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,20.116574958479518,%,Crude Prevalence,15.407608695652172,25.639130434782604,Cancer - Screening,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,27.71862965738266,%,Crude Prevalence,21.259595959595963,32.984848484848484,Cancer - Screening,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,25.937483329068645,%,Crude Prevalence,18.97714285714286,29.88285714285714,Cancer - Screening,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,28.703464460001584,%,Crude Prevalence,21.4425,33.38166666666667,Cancer - Screening,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,19.223143177929167,%,Crude Prevalence,14.4890625,22.753124999999997,Cancer - Screening,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,23.663949300809023,%,Crude Prevalence,17.89375,27.81875,Cancer - Screening,16,Maine
