StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,34.31086376870421,%,Crude Prevalence,24.92686567164179,39.0044776119403,Cancer - Screening,67,Alabama
Alaska,60.24761056551725,-145.72324814482758,737438.0,29.833890984733625,%,Crude Prevalence,20.810344827586206,33.73448275862069,Cancer - Screening,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,26.437224899276956,%,Crude Prevalence,17.566666666666666,27.9,Cancer - Screening,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,26.154085290287263,%,Crude Prevalence,18.64,31.407999999999994,Cancer - Screening,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,32.690003583432485,%,Crude Prevalence,25.87931034482759,39.29655172413793,Cancer - Screening,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,30.72075285257088,%,Crude Prevalence,22.0359375,36.295312499999994,Cancer - Screening,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,33.33312599977888,%,Crude Prevalence,26.55,40.9375,Cancer - Screening,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,34.91688026212531,%,Crude Prevalence,26.766666666666666,40.36666666666667,Cancer - Screening,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,37.9,%,Crude Prevalence,31.7,44.0,Cancer - Screening,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,29.43422614096926,%,Crude Prevalence,23.37014925373134,36.53283582089552,Cancer - Screening,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,32.41672946606176,%,Crude Prevalence,23.853459119496854,37.31132075471698,Cancer - Screening,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,29.219204336087852,%,Crude Prevalence,20.250000000000004,35.03181818181818,Cancer - Screening,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,29.508979332992173,%,Crude Prevalence,21.943137254901963,37.301960784313735,Cancer - Screening,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,27.572125253927226,%,Crude Prevalence,19.895652173913046,34.64891304347827,Cancer - Screening,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,34.42561159262328,%,Crude Prevalence,25.0040404040404,41.47676767676767,Cancer - Screening,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,33.74413305146308,%,Crude Prevalence,23.72285714285714,39.245714285714286,Cancer - Screening,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,36.11484036127457,%,Crude Prevalence,25.5025,42.37749999999999,Cancer - Screening,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,25.73070443680206,%,Crude Prevalence,19.009375000000002,30.771875,Cancer - Screening,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,29.945415509816172,%,Crude Prevalence,22.425,36.46875,Cancer - Screening,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,33.09317767269629,%,Crude Prevalence,25.645833333333332,38.69583333333333,Cancer - Screening,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,31.148035111962955,%,Crude Prevalence,23.585714285714285,38.642857142857146,Cancer - Screening,14,Massachusetts
Michigan,44.04264490108434,-85.1820795233735,9995915.0,32.80397220264478,%,Crude Prevalence,24.045783132530122,39.81204819277109,Cancer - Screening,83,Michigan
Minnesota,45.55170990344828,-94.43129790632186,5611179.0,36.566889596642696,%,Crude Prevalence,27.308045977011492,43.855172413793106,Cancer - Screening,87,Minnesota
Mississippi,32.79280325134146,-89.64635060219511,2986530.0,27.816046080233583,%,Crude Prevalence,20.276829268292683,32.50853658536585,Cancer - Screening,82,Mississippi
Missouri,38.45115789156521,-92.4817818097391,6126452.0,36.29569161726885,%,Crude Prevalence,25.743478260869566,42.34347826086956,Cancer - Screening,115,Missouri
Montana,46.974319369999996,-109.70005154285715,1062305.0,33.522202004132524,%,Crude Prevalence,24.442857142857143,40.50714285714286,Cancer - Screening,56,Montana
Nebraska,41.32182658849462,-99.03908183677422,1929268.0,33.522383774571495,%,Crude Prevalence,23.554838709677412,38.99784946236559,Cancer - Screening,93,Nebraska
Nevada,39.25609544647058,-117.56436555882354,3034392.0,32.99869865198695,%,Crude Prevalence,24.85294117647059,39.60588235294117,Cancer - Screening,17,Nevada
New Hampshire,43.480085493999994,-71.577655606,1356458.0,31.808538930066394,%,Crude Prevalence,23.189999999999998,38.480000000000004,Cancer - Screening,10,New Hampshire
New Jersey,40.28683281523809,-74.62251926285714,8908520.0,34.92609852141545,%,Crude Prevalence,27.952380952380953,42.409523809523805,Cancer - Screening,21,New Jersey
New Mexico,34.54934118818181,-105.88657794545455,2095428.0,26.061169698982734,%,Crude Prevalence,18.415151515151518,28.954545454545453,Cancer - Screening,33,New Mexico
New York,42.54418242419355,-75.47418766903228,19542209.0,23.692607785537447,%,Crude Prevalence,18.979032258064517,31.433870967741935,Cancer - Screening,62,New York
North Carolina,35.6262429096,-79.50747652049999,10383620.0,38.1961615987488,%,Crude Prevalence,29.049,44.371,Cancer - Screening,100,North Carolina
North Dakota,47.39351678207548,-100.24971405962262,760077.0,36.164221914358684,%,Crude Prevalence,27.058490566037733,44.01698113207547,Cancer - Screening,53,North Dakota
Ohio,40.310540941363634,-82.83566370352273,11689442.0,32.43963379945766,%,Crude Prevalence,24.375,39.87386363636363,Cancer - Screening,88,Ohio
Oklahoma,35.50212211558441,-97.25164380155844,3943079.0,37.71232767591012,%,Crude Prevalence,27.06883116883117,42.2025974025974,Cancer - Screening,77,Oklahoma
Oregon,44.492170799722224,-121.47705134722221,4190713.0,31.345275493692842,%,Crude Prevalence,21.897222222222222,36.88055555555555,Cancer - Screening,36,Oregon
Pennsylvania,40.81777532492538,-77.61600680149253,12807060.0,34.3986741453542,%,Crude Prevalence,25.70149253731343,42.400000000000006,Cancer - Screening,67,Pennsylvania
Rhode Island,41.657331672000005,-71.46318302200001,1057315.0,32.71689780245244,%,Crude Prevalence,24.74,40.6,Cancer - Screening,5,Rhode Island
South Carolina,33.957593663043475,-80.98349363717392,5084127.0,35.729061488825906,%,Crude Prevalence,27.439130434782605,40.423913043478265,Cancer - Screening,46,South Carolina
South Dakota,44.272762113787884,-99.31040156090909,882235.0,30.029747289554376,%,Crude Prevalence,21.55454545454546,36.57727272727273,Cancer - Screening,66,South Dakota
Tennessee,35.88510256863158,-86.1083303285263,6770010.0,26.088905333965535,%,Crude Prevalence,18.67894736842105,32.75473684210526,Cancer - Screening,95,Tennessee
Texas,31.661034618070868,-98.65396454681104,28701845.0,24.50363647702787,%,Crude Prevalence,18.19842519685039,29.674015748031497,Cancer - Screening,254,Texas
Utah,39.635075868965515,-111.59628196896553,3161105.0,29.55429708915079,%,Crude Prevalence,21.175862068965518,35.53103448275861,Cancer - Screening,29,Utah
Vermont,44.15991418071429,-72.6838344957143,626299.0,31.561912920186685,%,Crude Prevalence,23.392857142857146,38.957142857142856,Cancer - Screening,14,Vermont
Virginia,37.566601079473685,-78.51430630285715,8517685.0,38.47380658007428,%,Crude Prevalence,28.686466165413535,43.8624060150376,Cancer - Screening,133,Virginia
Washington,47.23287919846154,-120.71734196153845,7535591.0,34.56822868969401,%,Crude Prevalence,24.26666666666667,38.646153846153844,Cancer - Screening,39,Washington
West Virginia,38.81399128872727,-80.6175985330909,1805832.0,35.16122468756783,%,Crude Prevalence,25.539999999999992,42.529090909090904,Cancer - Screening,55,West Virginia
Wisconsin,44.39512396194445,-89.79838549444445,5813568.0,27.549986067076194,%,Crude Prevalence,20.251388888888886,35.24166666666666,Cancer - Screening,72,Wisconsin
Wyoming,43.08673209695652,-107.15309161304347,577737.0,29.667480358709934,%,Crude Prevalence,21.956521739130437,36.62608695652174,Cancer - Screening,23,Wyoming
