StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,14.206220704269814,%,Crude Prevalence,14.308955223880597,17.16417910447761,Physical - Health - Not,67,Alabama
Alaska,60.24761056551725,-148.0113722827586,737438.0,12.321300231341482,%,Crude Prevalence,13.355172413793104,15.744827586206897,Physical - Health - Not,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,13.63770849816067,%,Crude Prevalence,14.106666666666667,16.713333333333335,Physical - Health - Not,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,15.279453982895491,%,Crude Prevalence,15.12,18.170666666666666,Physical - Health - Not,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,12.732011435636812,%,Crude Prevalence,12.29655172413793,14.700000000000001,Physical - Health - Not,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,10.229938984093586,%,Crude Prevalence,10.1125,12.4578125,Physical - Health - Not,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,10.349770941300122,%,Crude Prevalence,9.2,11.475,Physical - Health - Not,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,12.11999977253247,%,Crude Prevalence,11.566666666666665,13.966666666666667,Physical - Health - Not,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,9.4,%,Crude Prevalence,8.4,10.4,Physical - Health - Not,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,13.201028408177253,%,Crude Prevalence,13.274626865671642,15.894029850746266,Physical - Health - Not,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,12.629889105682555,%,Crude Prevalence,13.519496855345908,16.124528301886794,Physical - Health - Not,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,11.993818805979677,%,Crude Prevalence,11.729545454545455,14.370454545454548,Physical - Health - Not,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,11.182099821993113,%,Crude Prevalence,11.16078431372549,13.790196078431372,Physical - Health - Not,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,12.862491874478284,%,Crude Prevalence,11.832608695652175,14.666304347826086,Physical - Health - Not,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,9.88478235315551,%,Crude Prevalence,9.184848484848485,11.444444444444448,Physical - Health - Not,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,11.351935614055273,%,Crude Prevalence,10.814285714285715,13.340952380952382,Physical - Health - Not,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,15.44522397492437,%,Crude Prevalence,15.526666666666667,19.1475,Physical - Health - Not,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,14.063069375005634,%,Crude Prevalence,14.109375,16.775,Physical - Health - Not,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,12.221691283050559,%,Crude Prevalence,11.48125,14.475,Physical - Health - Not,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,10.324184878394126,%,Crude Prevalence,10.0875,12.375,Physical - Health - Not,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,10.988421490176465,%,Crude Prevalence,9.842857142857143,12.414285714285715,Physical - Health - Not,14,Massachusetts
Michigan,44.04264490108434,-85.1820795233735,9995915.0,13.550631532981223,%,Crude Prevalence,12.80602409638554,15.689156626506023,Physical - Health - Not,83,Michigan
Minnesota,45.55170990344828,-94.43129790632186,5611179.0,9.73168966807154,%,Crude Prevalence,9.629885057471265,11.964367816091954,Physical - Health - Not,87,Minnesota
Mississippi,32.79280325134146,-89.64635060219511,2986530.0,14.949264330175822,%,Crude Prevalence,14.935365853658535,17.81219512195122,Physical - Health - Not,82,Mississippi
Missouri,38.45115789156521,-92.4817818097391,6126452.0,13.166723529377197,%,Crude Prevalence,13.367826086956521,16.501739130434782,Physical - Health - Not,115,Missouri
Montana,46.974319369999996,-109.70005154285715,1062305.0,11.646754557306988,%,Crude Prevalence,11.05,13.639285714285714,Physical - Health - Not,56,Montana
Nebraska,41.32182658849462,-99.03908183677422,1929268.0,10.193776344188574,%,Crude Prevalence,9.464516129032258,11.763440860215054,Physical - Health - Not,93,Nebraska
Nevada,39.25609544647058,-117.56436555882354,3034392.0,13.794064741800005,%,Crude Prevalence,12.794117647058826,15.194117647058821,Physical - Health - Not,17,Nevada
New Hampshire,43.480085493999994,-71.577655606,1356458.0,10.553379758164278,%,Crude Prevalence,9.790000000000001,12.470000000000002,Physical - Health - Not,10,New Hampshire
New Jersey,40.28683281523809,-74.62251926285714,8908520.0,11.393910728156866,%,Crude Prevalence,10.495238095238097,12.795238095238094,Physical - Health - Not,21,New Jersey
New Mexico,34.54934118818181,-105.88657794545455,2095428.0,13.94998692391244,%,Crude Prevalence,13.457575757575759,15.903030303030302,Physical - Health - Not,33,New Mexico
New York,42.54418242419355,-75.47418766903228,19542209.0,11.5483842384451,%,Crude Prevalence,10.937096774193547,13.56774193548387,Physical - Health - Not,62,New York
North Carolina,35.6262429096,-79.50747652049999,10383620.0,12.369281242957658,%,Crude Prevalence,12.452,15.037,Physical - Health - Not,100,North Carolina
North Dakota,47.39351678207548,-100.24971405962262,760077.0,10.206675902573027,%,Crude Prevalence,9.726415094339623,12.147169811320754,Physical - Health - Not,53,North Dakota
Ohio,40.310540941363634,-82.83566370352273,11689442.0,12.79545460767075,%,Crude Prevalence,12.2125,15.06590909090909,Physical - Health - Not,88,Ohio
Oklahoma,35.50212211558441,-97.25164380155844,3943079.0,14.336140336016598,%,Crude Prevalence,14.154545454545453,16.814285714285717,Physical - Health - Not,77,Oklahoma
Oregon,44.492170799722224,-121.47705134722221,4190713.0,13.52192550527798,%,Crude Prevalence,13.238888888888889,16.15833333333333,Physical - Health - Not,36,Oregon
Pennsylvania,40.81777532492538,-77.61600680149253,12807060.0,12.079598986808838,%,Crude Prevalence,11.377611940298507,14.12089552238806,Physical - Health - Not,67,Pennsylvania
Rhode Island,41.657331672000005,-71.46318302200001,1057315.0,12.755518459494098,%,Crude Prevalence,10.2,12.959999999999999,Physical - Health - Not,5,Rhode Island
South Carolina,33.957593663043475,-80.98349363717392,5084127.0,12.847016075719587,%,Crude Prevalence,13.165217391304349,15.673913043478258,Physical - Health - Not,46,South Carolina
South Dakota,44.272762113787884,-99.31040156090909,882235.0,10.43587660884005,%,Crude Prevalence,10.363636363636363,12.804545454545453,Physical - Health - Not,66,South Dakota
Tennessee,35.88510256863158,-86.1083303285263,6770010.0,14.832758858554126,%,Crude Prevalence,14.790526315789474,18.109473684210528,Physical - Health - Not,95,Tennessee
Texas,31.661034618070868,-98.65396454681104,28701845.0,12.708002844416447,%,Crude Prevalence,12.720078740157481,15.279527559055119,Physical - Health - Not,254,Texas
Utah,39.635075868965515,-111.59628196896553,3161105.0,11.304860705354615,%,Crude Prevalence,10.920689655172415,13.441379310344827,Physical - Health - Not,29,Utah
Vermont,44.15991418071429,-72.6838344957143,626299.0,11.322292547169958,%,Crude Prevalence,10.285714285714286,13.15,Physical - Health - Not,14,Vermont
