StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,39.25472360052055,%,Crude Prevalence,38.82686567164179,41.64328358208955,Sleeping - Less - Than,67,Alabama
Alaska,60.24761056551725,-148.0113722827586,737438.0,34.23788820212682,%,Crude Prevalence,33.63103448275862,36.26896551724138,Sleeping - Less - Than,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,35.369736821923446,%,Crude Prevalence,34.99999999999999,37.419999999999995,Sleeping - Less - Than,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,36.21529010476719,%,Crude Prevalence,35.294666666666664,38.15466666666666,Sleeping - Less - Than,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,34.619974760500945,%,Crude Prevalence,32.175862068965515,34.64655172413793,Sleeping - Less - Than,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,30.42789916854591,%,Crude Prevalence,29.8109375,32.7390625,Sleeping - Less - Than,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,35.24567730251787,%,Crude Prevalence,33.55,36.4125,Sleeping - Less - Than,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,36.88508671165699,%,Crude Prevalence,35.86666666666667,38.43333333333333,Sleeping - Less - Than,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,36.5,%,Crude Prevalence,35.1,37.8,Sleeping - Less - Than,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,38.96790776703018,%,Crude Prevalence,38.23731343283582,40.83432835820896,Sleeping - Less - Than,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,38.87492894845037,%,Crude Prevalence,38.85597484276729,41.560377358490555,Sleeping - Less - Than,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,34.231214143362706,%,Crude Prevalence,32.88636363636364,35.981818181818184,Sleeping - Less - Than,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,34.94277999196301,%,Crude Prevalence,33.385294117647064,36.59215686274509,Sleeping - Less - Than,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,37.19141007950234,%,Crude Prevalence,35.50326086956522,38.791304347826085,Sleeping - Less - Than,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,32.20117805107179,%,Crude Prevalence,30.828282828282827,33.96464646464647,Sleeping - Less - Than,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,33.774293569820415,%,Crude Prevalence,32.67523809523809,35.812380952380956,Sleeping - Less - Than,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,41.48802251901239,%,Crude Prevalence,41.03,44.445,Sleeping - Less - Than,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,39.24194614223501,%,Crude Prevalence,38.6265625,41.325,Sleeping - Less - Than,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,34.19739637657987,%,Crude Prevalence,32.95,36.28125,Sleeping - Less - Than,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,38.12967192908886,%,Crude Prevalence,36.020833333333336,38.78333333333333,Sleeping - Less - Than,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,35.44957179278512,%,Crude Prevalence,33.58571428571429,36.75,Sleeping - Less - Than,14,Massachusetts
Michigan,44.04264490108434,-85.1820795233735,9995915.0,39.36714743972913,%,Crude Prevalence,37.35662650602409,40.6566265060241,Sleeping - Less - Than,83,Michigan
Minnesota,45.55170990344828,-94.43129790632186,5611179.0,29.664498281020794,%,Crude Prevalence,29.01954022988506,32.010344827586216,Sleeping - Less - Than,87,Minnesota
Mississippi,32.79280325134146,-89.64635060219511,2986530.0,38.62911733684242,%,Crude Prevalence,38.06219512195121,40.770731707317076,Sleeping - Less - Than,82,Mississippi
Missouri,38.45115789156521,-92.4817818097391,6126452.0,35.01173659729971,%,Crude Prevalence,34.00173913043478,37.27652173913044,Sleeping - Less - Than,115,Missouri
Montana,46.974319369999996,-109.70005154285715,1062305.0,32.39021166237568,%,Crude Prevalence,31.851785714285715,35.12499999999999,Sleeping - Less - Than,56,Montana
Nebraska,41.32182658849462,-99.03908183677422,1929268.0,31.865604156602405,%,Crude Prevalence,29.755913978494622,32.84516129032259,Sleeping - Less - Than,93,Nebraska
Nevada,39.25609544647058,-117.56436555882354,3034392.0,38.03955378869968,%,Crude Prevalence,36.32941176470588,39.04117647058823,Sleeping - Less - Than,17,Nevada
New Hampshire,43.480085493999994,-71.577655606,1356458.0,34.33455175169449,%,Crude Prevalence,32.489999999999995,35.97,Sleeping - Less - Than,10,New Hampshire
New Jersey,40.28683281523809,-74.62251926285714,8908520.0,37.987919676893576,%,Crude Prevalence,36.66190476190476,39.48571428571428,Sleeping - Less - Than,21,New Jersey
New Mexico,34.54934118818181,-105.88657794545455,2095428.0,33.24886667544769,%,Crude Prevalence,32.22424242424242,34.66363636363636,Sleeping - Less - Than,33,New Mexico
New York,42.54418242419355,-75.47418766903228,19542209.0,39.29015913195893,%,Crude Prevalence,36.72741935483872,39.70645161290323,Sleeping - Less - Than,62,New York
North Carolina,35.6262429096,-79.50747652049999,10383620.0,36.31167539836781,%,Crude Prevalence,35.897000000000006,38.718,Sleeping - Less - Than,100,North Carolina
North Dakota,47.39351678207548,-100.24971405962262,760077.0,32.42540216320188,%,Crude Prevalence,31.137735849056607,34.386792452830186,Sleeping - Less - Than,53,North Dakota
Ohio,40.310540941363634,-82.83566370352273,11689442.0,40.366326031644626,%,Crude Prevalence,38.71363636363637,42.03977272727273,Sleeping - Less - Than,88,Ohio
Oklahoma,35.50212211558441,-97.25164380155844,3943079.0,38.02425764231455,%,Crude Prevalence,37.27792207792208,40.03376623376623,Sleeping - Less - Than,77,Oklahoma
Oregon,44.492170799722224,-121.47705134722221,4190713.0,32.96694099548215,%,Crude Prevalence,32.99722222222223,35.98055555555556,Sleeping - Less - Than,36,Oregon
Pennsylvania,40.81777532492538,-77.61600680149253,12807060.0,39.3329200534705,%,Crude Prevalence,37.74179104477612,41.17761194029851,Sleeping - Less - Than,67,Pennsylvania
Rhode Island,41.657331672000005,-71.46318302200001,1057315.0,37.82921598577529,%,Crude Prevalence,34.04,37.42,Sleeping - Less - Than,5,Rhode Island
South Carolina,33.957593663043475,-80.98349363717392,5084127.0,37.61636410734823,%,Crude Prevalence,38.11086956521739,40.67391304347826,Sleeping - Less - Than,46,South Carolina
South Dakota,44.272762113787884,-99.31040156090909,882235.0,30.36250828860791,%,Crude Prevalence,29.58030303030303,32.624242424242425,Sleeping - Less - Than,66,South Dakota
Tennessee,35.88510256863158,-86.1083303285263,6770010.0,41.34488613753894,%,Crude Prevalence,40.19368421052632,43.49473684210526,Sleeping - Less - Than,95,Tennessee
Texas,31.661034618070868,-98.65396454681104,28701845.0,36.26000324717801,%,Crude Prevalence,35.53346456692913,38.17952755905512,Sleeping - Less - Than,254,Texas
Utah,39.635075868965515,-111.59628196896553,3161105.0,32.27581962636483,%,Crude Prevalence,31.89655172413793,34.92758620689655,Sleeping - Less - Than,29,Utah
Vermont,44.15991418071429,-72.6838344957143,626299.0,31.36323768679177,%,Crude Prevalence,30.442857142857143,33.84285714285714,Sleeping - Less - Than,14,Vermont
Virginia,37.566601079473685,-78.51430630285715,8517685.0,38.341419071026934,%,Crude Prevalence,37.61654135338346,40.63007518796992,Sleeping - Less - Than,133,Virginia
Washington,47.23287919846154,-120.71734196153845,7535591.0,32.53404144412827,%,Crude Prevalence,31.671794871794862,34.43846153846154,Sleeping - Less - Than,39,Washington
West Virginia,38.81399128872727,-80.6175985330909,1805832.0,42.70867317668531,%,Crude Prevalence,41.49272727272727,45.054545454545455,Sleeping - Less - Than,55,West Virginia
Wisconsin,44.39512396194445,-89.79838549444445,5813568.0,32.87343724198289,%,Crude Prevalence,31.412499999999998,34.63333333333334,Sleeping - Less - Than,72,Wisconsin
Wyoming,43.08673209695652,-107.15309161304347,577737.0,33.94636244519565,%,Crude Prevalence,32.06956521739129,35.24347826086956,Sleeping - Less - Than,23,Wyoming
