StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,4.259151949795729,%,Crude Prevalence,4.474626865671641,5.492537313432837,Stroke,67,Alabama
Alaska,60.24761056551725,-145.72324814482758,737438.0,3.027504278325771,%,Crude Prevalence,3.53448275862069,4.26896551724138,Stroke,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,3.565654439719976,%,Crude Prevalence,4.04,5.026666666666667,Stroke,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,4.082117077136197,%,Crude Prevalence,4.311999999999999,5.345333333333333,Stroke,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,3.047299235825123,%,Crude Prevalence,3.191379310344828,3.9344827586206894,Stroke,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,2.6799774701855688,%,Crude Prevalence,3.0453124999999996,3.8859375000000003,Stroke,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,3.0231968572480206,%,Crude Prevalence,2.6624999999999996,3.4125,Stroke,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,3.7715419506995143,%,Crude Prevalence,3.5666666666666664,4.4,Stroke,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,3.0,%,Crude Prevalence,2.7,3.4,Stroke,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,3.9857492526171607,%,Crude Prevalence,4.022388059701493,5.019402985074627,Stroke,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,3.6787911278842342,%,Crude Prevalence,4.19748427672956,5.112578616352201,Stroke,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,3.3458149774713144,%,Crude Prevalence,3.4863636363636363,4.425,Stroke,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,3.343320754598511,%,Crude Prevalence,3.4166666666666665,4.359803921568628,Stroke,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,3.584691711355168,%,Crude Prevalence,3.3641304347826093,4.288043478260869,Stroke,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,3.2315322648357414,%,Crude Prevalence,3.219191919191919,4.167676767676768,Stroke,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,3.243670095019586,%,Crude Prevalence,3.395238095238095,4.382857142857143,Stroke,105,Kansas
Kentucky,37.621618947,-85.20036792349998,4468402.0,3.9112835640123698,%,Crude Prevalence,3.956666666666666,5.0325,Stroke,120,Kentucky
Louisiana,31.09498676390625,-91.826434935,4659978.0,4.273534402952117,%,Crude Prevalence,4.3796875,5.303125,Stroke,64,Louisiana
Maine,44.697257113125,-69.529018589375,1338404.0,3.6305775386206256,%,Crude Prevalence,3.4625,4.5,Stroke,16,Maine
Maryland,39.0157300425,-76.67476053791667,6042718.0,3.3381440437895664,%,Crude Prevalence,3.2375000000000007,4.045833333333333,Stroke,24,Maryland
Massachusetts,42.11356445142858,-71.4690775742857,6902149.0,2.8794480675511354,%,Crude Prevalence,2.6928571428571435,3.4714285714285715,Stroke,14,Massachusetts
Michigan,44.04264490108434,-85.1820795233735,9995915.0,3.6354929588737,%,Crude Prevalence,3.621686746987953,4.62289156626506,Stroke,83,Michigan
Minnesota,45.55170990344828,-94.43129790632186,5611179.0,2.959650868382563,%,Crude Prevalence,3.1425287356321836,4.055172413793104,Stroke,87,Minnesota
Mississippi,32.79280325134146,-89.64635060219511,2986530.0,4.4973053342842695,%,Crude Prevalence,4.675609756097561,5.681707317073172,Stroke,82,Mississippi
Missouri,38.45115789156521,-92.4817818097391,6126452.0,3.6918391101407475,%,Crude Prevalence,3.8321739130434787,4.906956521739131,Stroke,115,Missouri
Montana,46.974319369999996,-109.70005154285715,1062305.0,3.5954257016581868,%,Crude Prevalence,3.7035714285714283,4.758928571428571,Stroke,56,Montana
Nebraska,41.32182658849462,-99.03908183677422,1929268.0,3.1181531544606553,%,Crude Prevalence,3.3698924731182793,4.388172043010753,Stroke,93,Nebraska
Nevada,39.25609544647058,-117.56436555882354,3034392.0,3.427375138083675,%,Crude Prevalence,3.605882352941176,4.447058823529411,Stroke,17,Nevada
