StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,78.69290773017538,%,Crude Prevalence,79.05074626865671,80.74925373134329,High Blood Pressure - Control,67,Alabama
Alaska,60.24761056551725,-145.72324814482758,737438.0,65.13294120997291,%,Crude Prevalence,65.8103448275862,68.34137931034482,High Blood Pressure - Control,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,75.48189641541147,%,Crude Prevalence,74.30666666666666,76.22666666666667,High Blood Pressure - Control,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,77.46646766152647,%,Crude Prevalence,78.49066666666667,80.32666666666668,High Blood Pressure - Control,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,69.58781689582727,%,Crude Prevalence,70.4448275862069,72.60862068965517,High Blood Pressure - Control,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,68.72337498095008,%,Crude Prevalence,71.07499999999999,73.640625,High Blood Pressure - Control,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,76.43609232883574,%,Crude Prevalence,75.65,77.76249999999999,High Blood Pressure - Control,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,75.98633292354712,%,Crude Prevalence,76.0,77.76666666666667,High Blood Pressure - Control,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,72.9,%,Crude Prevalence,71.8,74.0,High Blood Pressure - Control,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,76.25872588920072,%,Crude Prevalence,75.95522388059702,77.79253731343283,High Blood Pressure - Control,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,77.8439432766369,%,Crude Prevalence,78.93333333333332,80.64968553459119,High Blood Pressure - Control,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,71.05372532789725,%,Crude Prevalence,72.25681818181818,74.81590909090909,High Blood Pressure - Control,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,74.62676084758905,%,Crude Prevalence,75.67745098039215,77.97254901960783,High Blood Pressure - Control,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,76.7428145731288,%,Crude Prevalence,76.80217391304348,78.97717391304349,High Blood Pressure - Control,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,76.50219917019021,%,Crude Prevalence,77.2969696969697,79.59191919191919,High Blood Pressure - Control,99,Iowa
Kansas,38.48538873371429,-98.08457630561902,2911505.0,75.9604889910888,%,Crude Prevalence,77.45904761904762,79.54571428571428,High Blood Pressure - Control,105,Kansas
