StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.88381008955224,-86.71006012552239,4887871.0,77.31042212447915,%,Crude Prevalence,76.25223880597017,77.98358208955223,Checkup - Visit,67,Alabama
Alaska,60.24761056551725,-148.0113722827586,737438.0,69.89404641474944,%,Crude Prevalence,68.51724137931035,70.3,Checkup - Visit,29,Alaska
Arizona,33.676078278666665,-111.46298898000002,7171646.0,71.47071550938236,%,Crude Prevalence,68.64000000000001,70.38666666666667,Checkup - Visit,15,Arizona
Arkansas,34.912003487599996,-92.43363427240001,3013825.0,76.80357462692758,%,Crude Prevalence,75.75866666666667,77.59866666666665,Checkup - Visit,75,Arkansas
California,37.845334360344836,-120.72794428793102,39557045.0,70.25092787643767,%,Crude Prevalence,68.0551724137931,69.79655172413793,Checkup - Visit,58,California
Colorado,38.9353955178125,-105.4858297046875,5695564.0,66.62438229120065,%,Crude Prevalence,64.55,66.53125,Checkup - Visit,64,Colorado
Connecticut,41.6144591925,-72.6576344475,3572665.0,77.96529193193317,%,Crude Prevalence,76.92500000000001,78.4375,Checkup - Visit,8,Connecticut
Delaware,39.10980886000001,-75.53543849,967171.0,78.02160600348853,%,Crude Prevalence,77.43333333333334,78.89999999999999,Checkup - Visit,3,Delaware
District of Columbia,38.90472697,-77.01629978,702455.0,77.9,%,Crude Prevalence,77.2,78.5,Checkup - Visit,1,District of Columbia
Florida,28.943931602985074,-82.69877135716418,21299325.0,76.62478925975354,%,Crude Prevalence,75.13432835820896,76.71492537313432,Checkup - Visit,67,Florida
Georgia,32.80856568188679,-83.57769511591195,10519475.0,77.92175080030134,%,Crude Prevalence,76.41069182389937,78.04968553459119,Checkup - Visit,159,Georgia
Idaho,44.26361581977273,-114.45962451363638,1754208.0,66.20289760393295,%,Crude Prevalence,64.60227272727272,66.79318181818181,Checkup - Visit,44,Idaho
Illinois,39.84370260843137,-89.17803001490196,12741080.0,74.30504819057725,%,Crude Prevalence,71.88823529411764,73.97647058823529,Checkup - Visit,102,Illinois
Indiana,39.837467859891305,-86.21870050619566,6691878.0,75.5589070213175,%,Crude Prevalence,73.58152173913044,75.6641304347826,Checkup - Visit,92,Indiana
Iowa,42.02990573030303,-93.46577245747476,3156145.0,74.58406264604446,%,Crude Prevalence,72.86868686868688,74.87676767676768,Checkup - Visit,99,Iowa
