LocationName,lat,lng,StateDesc,TotalPopulation,measure_count
Aaronsburg,40.01086975,-80.00091937,Pennsylvania,259.0,56
Aaronsburg,40.90422832,-77.45128169,Pennsylvania,613.0,56
Abanda,33.09136893,-85.524638,Alabama,192.0,56
Abbeville,29.97509614,-92.12656801,Louisiana,12311.0,56
Abbeville,31.56640742,-85.25278085,Alabama,2688.0,56
Abbeville,31.99251573,-83.306781,Georgia,2908.0,56
Abbeville,34.17870921,-82.37741882,South Carolina,5279.0,56
Abbeville,34.50339215,-89.50251696,Mississippi,419.0,56
Abbotsford,44.94324206,-90.31692817,Wisconsin,2316.0,56
Abbott,31.88399573,-97.074058,Texas,356.0,56
Abbottstown,39.88252387,-76.99295225,Pennsylvania,1011.0,56
Abbyville,37.9705757,-98.20296133,Kansas,87.0,56
Abercrombie,46.44809467,-96.726889,North Dakota,263.0,56
Aberdeen,33.83325916,-88.5737465,Mississippi,5612.0,56
Aberdeen,35.09762669,-79.41611075,North Carolina,6368.0,56
Aberdeen,38.67113125,-83.77026826,Ohio,1638.0,56
Aberdeen,39.5146152,-76.17289066,Maryland,15024.0,56
Aberdeen,41.4417936,-87.11661827,Indiana,1875.0,56
Aberdeen,42.94409835,-112.8383809,Idaho,1994.0,56
Aberdeen,45.46478778,-98.46737669,South Dakota,26112.0,56
Aberdeen,46.97315708,-123.7987095,Washington,16896.0,56
Aberdeen Gardens,47.05861155,-123.7791592,Washington,279.0,56
Aberdeen Proving Ground,39.46756473,-76.13225781,Maryland,2093.0,54
Abernathy,33.82482415,-101.8544573,Texas,2816.0,56
Abeytas,34.46520214,-106.813755,New Mexico,56.0,56
Abie,41.33401597,-96.94951442,Nebraska,69.0,56
Abilene,32.45426921,-99.73839335,Texas,117063.0,56
Abilene,38.92446314,-97.21500825,Kansas,6844.0,56
Abingdon,36.70894006,-81.97124436,Virginia,8186.0,56
Abingdon,40.8037813,-90.40093509,Illinois,3319.0,56
Abington,42.11804521,-70.9590365,Massachusetts,15985.0,56
Abiquiu,36.20172614,-106.3238512,New Mexico,231.0,56
Abita Springs,30.47609632,-90.0292128,Louisiana,2358.0,56
Abram,26.21816984,-98.41802825,Texas,2067.0,56
Abrams,44.77962523,-88.06038202,Wisconsin,340.0,56
Absarokee,45.52742932,-109.4574055,Montana,1150.0,56
Absecon,39.42530987,-74.4989729,New Jersey,8450.0,56
Acacia Villas,26.64573536,-80.11044395,Florida,427.0,56
Acalanes Ridge,37.90739342,-122.0777214,California,1137.0,56
Acampo,38.17352869,-121.2798914,California,341.0,56
Accident,39.62568791,-79.31995828,Maryland,325.0,56
Accokeek,38.67356305,-77.00060579,Maryland,10573.0,56
Accomac,37.71963526,-75.66737154,Virginia,519.0,56
Accord,41.79714461,-74.2319527,New York,562.0,56
Accoville,37.75820407,-81.814647,West Virginia,574.0,56
Acequia,42.66882863,-113.596847,Idaho,126.0,56
Achille,33.83464135,-96.39006682,Oklahoma,492.0,56
Ackerly,32.52506254,-101.7158467,Texas,220.0,56
Ackerman,33.31100707,-89.17109402,Mississippi,1510.0,56
Ackermanville,40.83504924,-75.22266781,Pennsylvania,610.0,56
Ackley,42.55191343,-93.05267559,Iowa,1589.0,56
Ackworth,41.36422764,-93.47230349,Iowa,151.0,56
Acme,48.71455958,-122.2292888,Washington,246.0,56
Acomita Lake,35.0660093,-107.6173129,New Mexico,416.0,56
Acres Green,39.55573549,-104.8958209,Colorado,3007.0,56
Acton,34.49558912,-118.1857637,California,7596.0,56
Acushnet Center,41.68507114,-70.90642579,Massachusetts,3073.0,56
Acworth,34.05613744,-84.67238257,Georgia,20900.0,56
Ada,34.50638826,-96.661161,Oklahoma,16815.0,56
Ada,39.1622002,-97.88594787,Kansas,100.0,56
Ada,40.76812756,-83.82532637,Ohio,5951.0,56
Ada,47.29932119,-96.51608988,Minnesota,1707.0,56
Adair,36.43800293,-95.26913796,Oklahoma,790.0,56
Adair,40.41975711,-90.494876,Illinois,210.0,56
