StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,18.63756793042179,%,Crude prevalence,15.283362218370884,26.586135181975738,Teeth Loss,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,14.892265455797311,%,Crude prevalence,17.041864406779663,32.67559322033898,Teeth Loss,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,13.327214566912527,%,Crude prevalence,15.959404761904764,28.122857142857143,Teeth Loss,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,20.44360516272931,%,Crude prevalence,16.386048689138576,29.470411985018725,Teeth Loss,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,11.419481111334948,%,Crude prevalence,9.54976222826087,16.72289402173913,Teeth Loss,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,11.304288213538259,%,Crude prevalence,7.792824074074074,16.60868055555556,Teeth Loss,864,Colorado
Connecticut,41.55712863246479,-72.72490392852113,4364046.0,11.489105637291633,%,Crude prevalence,6.434154929577464,12.604577464788731,Teeth Loss,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,15.705815756227688,%,Crude prevalence,11.237662337662337,20.93831168831169,Teeth Loss,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,11.149999999999999,%,Crude prevalence,10.75,11.649999999999999,Teeth Loss,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,15.55908125876846,%,Crude prevalence,12.78139407244786,21.002744237102085,Teeth Loss,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,17.47241255323591,%,Crude prevalence,15.12134831460674,25.944060995184593,Teeth Loss,1246,Georgia
Idaho,44.56659106925582,-114.7050772916279,2207250.0,14.232979816513764,%,Crude prevalence,10.429069767441861,21.62302325581395,Teeth Loss,430,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,12.745973556561028,%,Crude prevalence,9.130848708487084,18.265129151291514,Teeth Loss,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,18.453807505813717,%,Crude prevalence,12.176479289940827,23.687278106508874,Teeth Loss,1352,Indiana
Iowa,42.06021625488518,-93.36965079073069,4851806.0,12.417289500033595,%,Crude prevalence,8.003862212943632,17.86143006263048,Teeth Loss,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,14.42146304257326,%,Crude prevalence,9.601743264659271,21.39310618066561,Teeth Loss,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,19.854914078933295,%,Crude prevalence,15.570204841713222,28.955772811918063,Teeth Loss,1074,Kentucky
Louisiana,30.977950577605935,-91.83591901894067,5964822.0,19.90909304586122,%,Crude prevalence,16.468220338983052,27.629025423728816,Teeth Loss,944,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,16.974542248472282,%,Crude prevalence,11.877692307692307,24.275,Teeth Loss,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,10.985668128727873,%,Crude prevalence,8.083072407045009,15.497358121330725,Teeth Loss,1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,13.782036003507171,%,Crude prevalence,7.952868852459017,15.336680327868853,Teeth Loss,488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,14.77487108284266,%,Crude prevalence,9.328913043478261,18.150144927536232,Teeth Loss,1380,Michigan
Minnesota,45.475886072194285,-94.25051003554287,8742960.0,9.840885912780111,%,Crude prevalence,7.563314285714285,16.740571428571428,Teeth Loss,1750,Minnesota
Mississippi,32.89354497546961,-89.61285239707183,3269920.0,20.780909135391692,%,Crude prevalence,17.222513812154695,29.94019337016574,Teeth Loss,724,Mississippi
Missouri,38.44265342027636,-92.41797320131013,8354468.0,16.80024726888654,%,Crude prevalence,13.042323439099283,26.060542476970316,Teeth Loss,1954,Missouri
Montana,47.10618655049276,-111.01690867101449,1371940.0,14.795501479656545,%,Crude prevalence,10.771449275362318,23.22086956521739,Teeth Loss,690,Montana
Nebraska,41.19929316108365,-98.30826687355513,2942558.0,12.771875592596647,%,Crude prevalence,8.580798479087452,19.614733840304183,Teeth Loss,1052,Nebraska
Nevada,38.745115170975616,-117.36226236585364,5128356.0,15.681167005566694,%,Crude prevalence,11.782520325203253,21.669105691056913,Teeth Loss,246,Nevada
New Hampshire,43.41790890463917,-71.59391600123712,1256642.0,13.629139325281187,%,Crude prevalence,8.740721649484534,18.848453608247425,Teeth Loss,194,New Hampshire
New Jersey,40.32114014922366,-74.53298587116453,10574380.0,13.695393526618107,%,Crude prevalence,7.557670979667283,14.965526802218115,Teeth Loss,1082,New Jersey
New Mexico,34.716194155669854,-106.49631947057416,3408912.0,15.762292338435254,%,Crude prevalence,13.504066985645933,24.73755980861244,Teeth Loss,836,New Mexico
New York,42.17321116694445,-75.0682004903367,31400678.0,15.709276029008038,%,Crude prevalence,10.04313973063973,20.08186026936027,Teeth Loss,2376,New York
North Carolina,35.44227040997268,-79.30688416602459,11277810.0,16.411443445136953,%,Crude prevalence,14.171789617486338,25.046106557377048,Teeth Loss,1464,North Carolina
North Dakota,47.47547389858044,-99.67258589031546,1048814.0,11.895536768197221,%,Crude prevalence,7.8004731861198735,18.89321766561514,Teeth Loss,634,North Dakota
Ohio,40.35037367761748,-82.81203857996704,16220344.0,17.44941630091199,%,Crude prevalence,11.73969497114592,22.103256389117888,Teeth Loss,2426,Ohio
Oklahoma,35.53277339219236,-96.69971397536068,5839860.0,18.933736545054163,%,Crude prevalence,15.357425742574256,28.2045261669024,Teeth Loss,1414,Oklahoma
Oregon,44.56117653220109,-122.05452853152174,6081498.0,14.053954815080099,%,Crude prevalence,10.764945652173912,21.117119565217394,Teeth Loss,736,Oregon
