StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,30.765584326800376,%,Crude prevalence,31.8234835355286,34.18873483535529,Arthritis,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,23.277207737594612,%,Crude prevalence,25.260338983050843,27.967966101694913,Arthritis,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,23.031848966777826,%,Crude prevalence,26.954642857142858,29.229761904761904,Arthritis,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,29.122290539088795,%,Crude prevalence,30.377247191011236,32.9439138576779,Arthritis,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,20.234046101825626,%,Crude prevalence,22.46623641304348,24.312364130434784,Arthritis,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,21.97283549813683,%,Crude prevalence,22.85509259259259,25.267939814814813,Arthritis,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,24.186314213919832,%,Crude prevalence,23.929577464788732,25.965140845070422,Arthritis,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,23.54852293373446,%,Crude prevalence,24.5487012987013,26.666883116883117,Arthritis,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,20.200000000000003,%,Crude prevalence,20.1,20.25,Arthritis,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,24.21237421377841,%,Crude prevalence,25.435016465422613,27.282052689352362,Arthritis,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,23.22060107272007,%,Crude prevalence,25.682825040128414,27.74630818619583,Arthritis,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,24.22607332614786,%,Crude prevalence,25.187037037037037,27.78194444444444,Arthritis,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,23.463811627569143,%,Crude prevalence,25.892693726937267,28.3850184501845,Arthritis,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,26.69035870083103,%,Crude prevalence,26.218491124260357,28.772337278106505,Arthritis,1352,Indiana
Iowa,42.06021625488518,-93.3696507907307,4851806.0,23.924449390598056,%,Crude prevalence,23.58616910229645,26.32092901878914,Arthritis,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,23.847724958569984,%,Crude prevalence,25.200079239302696,28.055150554675123,Arthritis,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,30.128831429918275,%,Crude prevalence,31.49925512104283,34.23054003724395,Arthritis,1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,27.111856562628233,%,Crude prevalence,27.889746300211414,30.090697674418607,Arthritis,946,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,28.80911507547161,%,Crude prevalence,28.548461538461538,31.234230769230766,Arthritis,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,24.41297811284487,%,Crude prevalence,25.93688845401174,28.011350293542073,Arthritis,1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,22.90524311318608,%,Crude prevalence,23.140368852459016,25.221926229508195,Arthritis,488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,29.530883438860997,%,Crude prevalence,29.650942028985508,32.170144927536235,Arthritis,1380,Michigan
Minnesota,45.47797570044521,-94.25205112939499,8743108.0,20.17123649850831,%,Crude prevalence,21.915582191780825,24.373173515981737,Arthritis,1752,Minnesota
Mississippi,32.89354497546961,-89.61285239707183,3269920.0,29.289916939863968,%,Crude prevalence,30.056767955801103,32.45814917127072,Arthritis,724,Mississippi
Missouri,38.444272122290386,-92.41824430639059,8354568.0,28.072162115384064,%,Crude prevalence,28.817229038854805,31.641922290388546,Arthritis,1956,Missouri
Montana,47.10618655049276,-111.01690867101449,1371940.0,25.718656573902653,%,Crude prevalence,26.149710144927536,29.144637681159423,Arthritis,690,Montana
Nebraska,41.19929316108365,-98.30826687355513,2942558.0,23.70663415980246,%,Crude prevalence,24.614733840304183,27.480608365019012,Arthritis,1052,Nebraska
Nevada,38.745115170975616,-117.36226236585364,5128356.0,22.976938691463697,%,Crude prevalence,26.115447154471543,28.534552845528456,Arthritis,246,Nevada
New Hampshire,43.41790890463917,-71.59391600123712,1256642.0,26.5418046667229,%,Crude prevalence,26.0,28.5979381443299,Arthritis,194,New Hampshire
New Jersey,40.32114014922366,-74.53298587116453,10574380.0,22.4845123402034,%,Crude prevalence,22.101386321626617,24.289833641404805,Arthritis,1082,New Jersey
New Mexico,34.716194155669854,-106.49631947057416,3408912.0,24.707172669755042,%,Crude prevalence,25.989354066985648,28.36614832535885,Arthritis,836,New Mexico
New York,42.175735164853066,-75.07139601797648,31426506.0,21.32029431461455,%,Crude prevalence,23.97968094038623,26.197229219143576,Arthritis,2382,New York
North Carolina,35.44227040997268,-79.30688416602459,11277810.0,24.381538499052564,%,Crude prevalence,27.0943306010929,29.353825136612024,Arthritis,1464,North Carolina
