StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,14.069277251123989,%,Crude prevalence,13.13266897746967,14.375909878682842,Binge Drinking,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,17.470588265200142,%,Crude prevalence,16.51745762711864,18.460677966101695,Binge Drinking,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,17.52909099697563,%,Crude prevalence,15.108214285714284,16.451547619047616,Binge Drinking,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,15.372460507064734,%,Crude prevalence,14.19494382022472,15.688764044943822,Binge Drinking,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,17.98488756579139,%,Crude prevalence,17.859408967391307,19.064028532608695,Binge Drinking,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,19.433749042892345,%,Crude prevalence,17.77962962962963,19.278935185185187,Binge Drinking,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,17.760501378766403,%,Crude prevalence,17.80211267605634,18.835563380281688,Binge Drinking,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,17.735086602106946,%,Crude prevalence,17.474025974025974,18.61753246753247,Binge Drinking,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,21.75,%,Crude prevalence,21.65,21.85,Binge Drinking,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,17.53569570241022,%,Crude prevalence,17.00153677277717,18.050109769484084,Binge Drinking,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,16.04884408930737,%,Crude prevalence,14.425842696629216,15.665730337078651,Binge Drinking,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,17.05898534868362,%,Crude prevalence,15.772222222222224,17.39560185185185,Binge Drinking,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,20.710036038247107,%,Crude prevalence,19.99878228782288,21.796273062730627,Binge Drinking,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,17.00507154318963,%,Crude prevalence,16.24955621301775,17.922337278106507,Binge Drinking,1352,Indiana
Iowa,42.06021625488518,-93.3696507907307,4851806.0,23.066469083883405,%,Crude prevalence,22.08705636743215,24.165396659707724,Binge Drinking,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,16.68878737698852,%,Crude prevalence,15.954516640253564,17.690332805071314,Binge Drinking,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,16.235160988112074,%,Crude prevalence,14.353258845437615,15.821415270018623,Binge Drinking,1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,17.941296714708027,%,Crude prevalence,16.984672304439748,18.44936575052854,Binge Drinking,946,Louisiana
