StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830158,6231376.0,6.6210938482928965,%,Crude prevalence,6.684228769497401,7.243327556325823,Cancer (except skin),1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,5.950008715470396,%,Crude prevalence,5.896440677966101,6.52,Cancer (except skin),590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,6.415717576603805,%,Crude prevalence,6.696666666666667,7.29,Cancer (except skin),840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,6.6729624817114965,%,Crude prevalence,6.73314606741573,7.356928838951312,Cancer (except skin),1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,5.657152972091233,%,Crude prevalence,6.243953804347825,6.698369565217392,Cancer (except skin),2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,6.112301722097701,%,Crude prevalence,6.355324074074074,6.931712962962963,Cancer (except skin),864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,6.558695004589778,%,Crude prevalence,6.9644366197183105,7.491197183098592,Cancer (except skin),284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,6.396289524463589,%,Crude prevalence,6.854545454545454,7.398701298701299,Cancer (except skin),154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,5.85,%,Crude prevalence,5.85,5.9,Cancer (except skin),2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,6.552087089461165,%,Crude prevalence,6.868496158068057,7.356147091108673,Cancer (except skin),1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,5.909891524553729,%,Crude prevalence,6.186516853932584,6.682584269662922,Cancer (except skin),1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,6.48935685807548,%,Crude prevalence,6.643750000000001,7.288425925925925,Cancer (except skin),432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,6.273059181539495,%,Crude prevalence,6.650258302583026,7.271033210332103,Cancer (except skin),2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,6.537930970106289,%,Crude prevalence,6.6470414201183425,7.28957100591716,Cancer (except skin),1352,Indiana
Iowa,42.06021625488518,-93.3696507907307,4851806.0,6.78225574147029,%,Crude prevalence,6.902713987473903,7.667379958246347,Cancer (except skin),1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,6.521813066755679,%,Crude prevalence,6.95919175911252,7.716719492868463,Cancer (except skin),1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,6.700155640327838,%,Crude prevalence,6.819832402234636,7.475884543761639,Cancer (except skin),1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,6.215019772047801,%,Crude prevalence,6.23245243128964,6.734143763213531,Cancer (except skin),946,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,7.059215929833719,%,Crude prevalence,7.022692307692308,7.718461538461538,Cancer (except skin),260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,6.256821865231578,%,Crude prevalence,6.489138943248532,6.999021526418787,Cancer (except skin),1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,6.43917847856495,%,Crude prevalence,6.942418032786885,7.468032786885246,Cancer (except skin),488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,6.684545215771178,%,Crude prevalence,6.91731884057971,7.54427536231884,Cancer (except skin),1380,Michigan
Minnesota,45.47797570044521,-94.25205112939499,8743108.0,6.267404165658253,%,Crude prevalence,6.655251141552512,7.352968036529681,Cancer (except skin),1752,Minnesota
Mississippi,32.89354497546961,-89.61285239707183,3269920.0,6.32836518936243,%,Crude prevalence,6.2469613259668515,6.775138121546961,Cancer (except skin),724,Mississippi
Missouri,38.444272122290386,-92.41824430639059,8354568.0,6.606545808233292,%,Crude prevalence,6.665235173824131,7.346523517382413,Cancer (except skin),1956,Missouri
Montana,47.10618655049276,-111.01690867101449,1371940.0,6.8953839089172995,%,Crude prevalence,6.94840579710145,7.685652173913044,Cancer (except skin),690,Montana
Nebraska,41.19929316108365,-98.30826687355513,2942558.0,6.662691338624422,%,Crude prevalence,7.122908745247147,7.927091254752851,Cancer (except skin),1052,Nebraska
Nevada,38.745115170975616,-117.36226236585364,5128356.0,6.081678378022118,%,Crude prevalence,6.809756097560976,7.4142276422764235,Cancer (except skin),246,Nevada
New Hampshire,43.41790890463917,-71.59391600123712,1256642.0,6.724944097045936,%,Crude prevalence,6.7221649484536075,7.359278350515464,Cancer (except skin),194,New Hampshire
New Jersey,40.32114014922366,-74.53298587116453,10574380.0,6.161839909290189,%,Crude prevalence,6.6139556377079485,7.168761552680222,Cancer (except skin),1082,New Jersey
