StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830158,6231376.0,85.77947658751455,%,Crude prevalence,82.65277296360485,86.4948006932409,Cervical Cancer Screening,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,83.21774636819087,%,Crude prevalence,76.5764406779661,81.98847457627119,Cervical Cancer Screening,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,83.05514301390238,%,Crude prevalence,77.2220238095238,82.07642857142858,Cervical Cancer Screening,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,83.28442722454702,%,Crude prevalence,79.94316479400749,84.56554307116104,Cervical Cancer Screening,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,82.41464037396923,%,Crude prevalence,81.2272758152174,84.66908967391305,Cervical Cancer Screening,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,84.58627534305059,%,Crude prevalence,81.50104166666667,85.67766203703704,Cervical Cancer Screening,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,86.63814588572166,%,Crude prevalence,86.51760563380282,89.35669014084507,Cervical Cancer Screening,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,85.6712203990949,%,Crude prevalence,84.21103896103897,87.5538961038961,Cervical Cancer Screening,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,87.94999999999999,%,Crude prevalence,87.8,88.1,Cervical Cancer Screening,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,83.8589377823215,%,Crude prevalence,81.67414928649835,84.9982985729967,Cervical Cancer Screening,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,85.36728515670121,%,Crude prevalence,81.9677367576244,85.67712680577849,Cervical Cancer Screening,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,81.44680963226705,%,Crude prevalence,78.04444444444444,83.15810185185185,Cervical Cancer Screening,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,83.23042669707236,%,Crude prevalence,81.42535055350554,85.75715867158671,Cervical Cancer Screening,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,84.09484848118984,%,Crude prevalence,81.85532544378698,86.30281065088757,Cervical Cancer Screening,1352,Indiana
Iowa,42.06021625488518,-93.3696507907307,4851806.0,84.45813795934957,%,Crude prevalence,81.62797494780794,86.37463465553235,Cervical Cancer Screening,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,83.71940444325088,%,Crude prevalence,80.07963549920761,85.0919968304279,Cervical Cancer Screening,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,84.51699361434949,%,Crude prevalence,81.23184357541899,85.80409683426444,Cervical Cancer Screening,1074,Kentucky
