StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.97101272128748,-86.72049750280424,6204830.0,85.66728111809671,%,Crude prevalence,83.74082892416226,86.09629629629629,Cholesterol Screening,1134,Alabama
Alaska,61.56233847366437,-152.60539054726027,1367124.0,77.3667678279366,%,Crude prevalence,73.44263698630137,77.10941780821918,Cholesterol Screening,584,Alaska
Arizona,33.89366533611111,-111.58356222246377,11827378.0,83.82721206678269,%,Crude prevalence,80.32475845410629,83.05603864734299,Cholesterol Screening,828,Arizona
Arkansas,35.06974689727955,-92.36435809212007,3903040.0,82.84258767524803,%,Crude prevalence,81.15731707317074,83.94549718574109,Cholesterol Screening,1066,Arkansas
California,36.89426883528807,-120.20748722537724,70175008.0,84.71725977715599,%,Crude prevalence,83.53120713305898,85.53765432098766,Cholesterol Screening,2916,California
Colorado,39.204006937179486,-105.30551102983684,8610912.0,84.29395599444055,%,Crude prevalence,83.07960372960373,85.56223776223776,Cholesterol Screening,858,Colorado
Connecticut,41.557647372285714,-72.72910103342856,4359470.0,88.72263830236244,%,Crude prevalence,88.54607142857142,90.17285714285715,Cholesterol Screening,280,Connecticut
Delaware,39.129747734868424,-75.48682848092106,778678.0,86.59491034805146,%,Crude prevalence,85.78552631578947,87.8,Cholesterol Screening,152,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,88.3,%,Crude prevalence,88.2,88.4,Cholesterol Screening,2,District of Columbia
Florida,28.144012067588104,-82.13434021247797,28698268.0,85.85193543387358,%,Crude prevalence,84.64812775330397,86.43876651982379,Cholesterol Screening,1816,Florida
Georgia,32.956022536130085,-83.57780977079675,8742128.0,86.09795552066956,%,Crude prevalence,84.25853658536586,86.47065040650406,Cholesterol Screening,1230,Georgia
Idaho,44.54809443629107,-114.70831114178405,2210916.0,77.72632094570757,%,Crude prevalence,76.6349765258216,79.87417840375588,Cholesterol Screening,426,Idaho
Illinois,40.346881306518846,-89.0222872195861,22513224.0,85.21467456637929,%,Crude prevalence,83.03462675535847,85.61042128603104,Cholesterol Screening,2706,Illinois
