StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,3.2357071054611377,%,Crude prevalence,3.1681109185441936,3.5907279029462735,Chronic Kidney Disease,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,2.556938967013397,%,Crude prevalence,3.1903389830508475,3.7266101694915252,Chronic Kidney Disease,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,3.0316399637197144,%,Crude prevalence,3.6386904761904764,4.17654761904762,Chronic Kidney Disease,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,3.1029875996275793,%,Crude prevalence,3.088951310861423,3.5399812734082396,Chronic Kidney Disease,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,2.7843288579570378,%,Crude prevalence,2.833559782608696,3.15366847826087,Chronic Kidney Disease,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,2.473961776020567,%,Crude prevalence,2.491435185185185,2.8427083333333334,Chronic Kidney Disease,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,2.684846607941346,%,Crude prevalence,2.323591549295775,2.605281690140845,Chronic Kidney Disease,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,2.8680526762216423,%,Crude prevalence,2.6915584415584415,3.02987012987013,Chronic Kidney Disease,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,2.85,%,Crude prevalence,2.75,2.85,Chronic Kidney Disease,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,3.1362722387795943,%,Crude prevalence,3.048518111964874,3.379527991218441,Chronic Kidney Disease,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,3.0968173653964817,%,Crude prevalence,3.159470304975923,3.559390048154093,Chronic Kidney Disease,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,2.704636120278661,%,Crude prevalence,2.7435185185185187,3.15625,Chronic Kidney Disease,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,2.7949846491594155,%,Crude prevalence,2.576088560885609,2.9384870848708484,Chronic Kidney Disease,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,2.9240227915985577,%,Crude prevalence,2.6073224852071006,2.9968195266272186,Chronic Kidney Disease,1352,Indiana
Iowa,42.06021625488518,-93.36965079073069,4851806.0,2.644655289185099,%,Crude prevalence,2.5106471816283924,2.927296450939457,Chronic Kidney Disease,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,2.705460806594118,%,Crude prevalence,2.6333597464342313,3.0745641838351827,Chronic Kidney Disease,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,3.0041340946993556,%,Crude prevalence,2.926070763500931,3.3787709497206704,Chronic Kidney Disease,1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,3.3459742067313734,%,Crude prevalence,3.216596194503171,3.6243128964059195,Chronic Kidney Disease,946,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,2.7820547706852135,%,Crude prevalence,2.6569230769230767,3.0765384615384614,Chronic Kidney Disease,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,2.727974234143137,%,Crude prevalence,2.548336594911937,2.8641878669275926,Chronic Kidney Disease,1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,2.6335087566042557,%,Crude prevalence,2.3784836065573773,2.664344262295082,Chronic Kidney Disease,488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,3.156972580282756,%,Crude prevalence,2.7452173913043483,3.121086956521739,Chronic Kidney Disease,1380,Michigan
Minnesota,45.47797570044521,-94.25205112939499,8743108.0,2.4253859039600103,%,Crude prevalence,2.470890410958904,2.867579908675799,Chronic Kidney Disease,1752,Minnesota
Mississippi,32.89354497546961,-89.61285239707183,3269920.0,3.3764672836032688,%,Crude prevalence,3.3676795580110497,3.828038674033149,Chronic Kidney Disease,724,Mississippi
Missouri,38.44427212229039,-92.41824430639059,8354568.0,2.7975286693459194,%,Crude prevalence,2.7239775051124746,3.1639059304703476,Chronic Kidney Disease,1956,Missouri
Montana,47.10618655049276,-111.01690867101449,1371940.0,2.7296432059711067,%,Crude prevalence,2.8043478260869565,3.2704347826086964,Chronic Kidney Disease,690,Montana
Nebraska,41.19929316108365,-98.30826687355513,2942558.0,2.6335424144570814,%,Crude prevalence,2.5631178707224334,3.0102661596958176,Chronic Kidney Disease,1052,Nebraska
Nevada,38.745115170975616,-117.36226236585364,5128356.0,2.928484059998955,%,Crude prevalence,2.865447154471545,3.257723577235773,Chronic Kidney Disease,246,Nevada
New Hampshire,43.41790890463917,-71.59391600123712,1256642.0,2.494826291020036,%,Crude prevalence,2.3670103092783505,2.7268041237113403,Chronic Kidney Disease,194,New Hampshire
New Jersey,40.321140149223666,-74.53298587116453,10574380.0,2.807970850300443,%,Crude prevalence,2.4208872458410347,2.7277264325323474,Chronic Kidney Disease,1082,New Jersey
New Mexico,34.716194155669854,-106.49631947057416,3408912.0,3.1754332760716615,%,Crude prevalence,3.4093301435406698,3.9049043062200957,Chronic Kidney Disease,836,New Mexico
New York,42.17573516485306,-75.07139601797648,31426506.0,2.8959228525118252,%,Crude prevalence,2.488832913518052,2.8296389588581023,Chronic Kidney Disease,2382,New York
North Carolina,35.44227040997268,-79.30688416602459,11277810.0,2.9447655706205373,%,Crude prevalence,3.098633879781421,3.497950819672131,Chronic Kidney Disease,1464,North Carolina
North Dakota,47.47547389858044,-99.67258589031546,1048814.0,2.5911170140749453,%,Crude prevalence,2.6211356466876974,3.1102523659305996,Chronic Kidney Disease,634,North Dakota
Ohio,40.35037367761748,-82.81203857996702,16220344.0,2.9659357964294712,%,Crude prevalence,2.609810387469085,2.9767106347897774,Chronic Kidney Disease,2426,Ohio
Oklahoma,35.53277339219236,-96.69971397536068,5839860.0,2.99305233344635,%,Crude prevalence,3.0547383309759546,3.484016973125884,Chronic Kidney Disease,1414,Oklahoma
Oregon,44.56117653220109,-122.05452853152174,6081498.0,2.7083761435093785,%,Crude prevalence,2.8302989130434786,3.227853260869565,Chronic Kidney Disease,736,Oregon
Pennsylvania,40.62262966218732,-77.64045840463734,14139000.0,2.9660583633920363,%,Crude prevalence,2.581724728726442,2.977355796687607,Chronic Kidney Disease,3502,Pennsylvania
Rhode Island,41.6405243375,-71.57488506388889,1299164.0,2.793535766077262,%,Crude prevalence,2.4291666666666667,2.7236111111111114,Chronic Kidney Disease,72,Rhode Island
