StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830158,6231376.0,8.547950757585484,%,Crude prevalence,8.726949740034664,10.981109185441941,COPD,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,6.359978923087427,%,Crude prevalence,8.223898305084747,10.78949152542373,COPD,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,6.615566324390697,%,Crude prevalence,8.679404761904761,11.120833333333334,COPD,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,8.422730307246852,%,Crude prevalence,8.434082397003746,10.828558052434458,COPD,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,5.312276381898286,%,Crude prevalence,5.705332880434782,7.1724524456521745,COPD,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,4.992737281489423,%,Crude prevalence,4.866782407407407,6.537268518518518,COPD,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,5.948565047206194,%,Crude prevalence,4.938732394366197,6.3887323943661976,COPD,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,6.7695526775029276,%,Crude prevalence,6.453246753246753,8.33896103896104,COPD,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,5.2,%,Crude prevalence,5.1,5.25,COPD,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,7.853542313235156,%,Crude prevalence,7.895773874862789,9.719923161361143,COPD,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,7.2114050121037,%,Crude prevalence,7.869662921348313,9.851203852327446,COPD,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,6.242313547385719,%,Crude prevalence,6.064351851851852,8.072916666666666,COPD,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,6.570726014489176,%,Crude prevalence,6.688597785977859,8.676346863468636,COPD,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,8.780979317906557,%,Crude prevalence,7.924852071005918,10.285355029585798,COPD,1352,Indiana
Iowa,42.06021625488518,-93.3696507907307,4851806.0,6.183304258249403,%,Crude prevalence,5.56847599164927,7.528444676409186,COPD,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,6.521283558102835,%,Crude prevalence,6.28851030110935,8.557052297939778,COPD,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,9.820030720049436,%,Crude prevalence,9.708100558659218,12.568249534450652,COPD,1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,8.740035691854183,%,Crude prevalence,8.777801268498942,10.931818181818182,COPD,946,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,7.382743754198909,%,Crude prevalence,6.606153846153846,8.861153846153847,COPD,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,5.865727467499173,%,Crude prevalence,5.802446183953034,7.473483365949119,COPD,1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,5.781943708391435,%,Crude prevalence,4.93483606557377,6.407377049180329,COPD,488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,8.577239123860434,%,Crude prevalence,7.668550724637681,9.832971014492754,COPD,1380,Michigan
Minnesota,45.47797570044521,-94.25205112939499,8743108.0,4.5652826203222014,%,Crude prevalence,4.676883561643836,6.30884703196347,COPD,1752,Minnesota
Mississippi,32.89354497546961,-89.61285239707183,3269920.0,8.580534936634535,%,Crude prevalence,8.478591160220995,10.757596685082873,COPD,724,Mississippi
Missouri,38.444272122290386,-92.41824430639059,8354568.0,7.7453503041689284,%,Crude prevalence,7.828476482617587,10.365490797546013,COPD,1956,Missouri
Montana,47.10618655049276,-111.01690867101449,1371940.0,6.352300756592854,%,Crude prevalence,6.113188405797102,8.37159420289855,COPD,690,Montana
Nebraska,41.19929316108365,-98.30826687355513,2942558.0,6.1029058730533094,%,Crude prevalence,5.613593155893536,7.720817490494297,COPD,1052,Nebraska
Nevada,38.745115170975616,-117.36226236585364,5128356.0,7.452063136802514,%,Crude prevalence,7.5947154471544716,9.766260162601625,COPD,246,Nevada
New Hampshire,43.41790890463917,-71.59391600123712,1256642.0,7.207630176295238,%,Crude prevalence,6.308247422680412,8.469587628865979,COPD,194,New Hampshire
New Jersey,40.32114014922366,-74.53298587116453,10574380.0,5.987686247326084,%,Crude prevalence,5.06090573012939,6.674953789279112,COPD,1082,New Jersey
New Mexico,34.716194155669854,-106.49631947057416,3408912.0,6.32744611770559,%,Crude prevalence,6.624043062200958,8.599043062200957,COPD,836,New Mexico
New York,42.175735164853066,-75.07139601797648,31426506.0,6.504149751805052,%,Crude prevalence,6.247481108312343,8.211796809403863,COPD,2382,New York
North Carolina,35.44227040997268,-79.30688416602459,11277810.0,7.086985283490323,%,Crude prevalence,7.7441939890710385,9.824453551912569,COPD,1464,North Carolina
