StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.953036462634316,-86.73038716830155,6231376.0,7.5387939196736005,%,Age-adjusted prevalence,7.697660311958404,8.997053726169844,Coronary Heart Disease,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,5.644654366232781,%,Crude prevalence,7.296949152542372,8.830169491525425,Coronary Heart Disease,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,6.193338052829792,%,Crude prevalence,7.890238095238096,9.319523809523808,Coronary Heart Disease,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,7.709403232077267,%,Crude prevalence,7.88810861423221,9.332116104868913,Coronary Heart Disease,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,5.231262604044137,%,Crude prevalence,5.660258152173914,6.571399456521739,Coronary Heart Disease,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,4.8730043203259505,%,Crude prevalence,5.0625,6.118865740740739,Coronary Heart Disease,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,5.631152306827196,%,Crude prevalence,5.057042253521126,5.948239436619718,Coronary Heart Disease,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,5.776367452265697,%,Crude prevalence,5.9422077922077925,7.0227272727272725,Coronary Heart Disease,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,4.35,%,Crude prevalence,4.3,4.4,Coronary Heart Disease,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,7.137774098757536,%,Crude prevalence,7.266959385290889,8.338254665203074,Coronary Heart Disease,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,6.232571396707743,%,Crude prevalence,6.7956661316211875,7.919823434991975,Coronary Heart Disease,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,6.00912371269073,%,Crude prevalence,6.217824074074074,7.5226851851851855,Coronary Heart Disease,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,5.767978753008812,%,Crude prevalence,5.8758671586715865,7.009926199261993,Coronary Heart Disease,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,6.684874076965746,%,Crude prevalence,6.297781065088756,7.547263313609467,Coronary Heart Disease,1352,Indiana
Iowa,42.06021625488518,-93.3696507907307,4851806.0,6.127568579617569,%,Crude prevalence,5.898747390396659,7.232620041753653,Coronary Heart Disease,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,6.180726928942418,%,Crude prevalence,6.235499207606973,7.666957210776546,Coronary Heart Disease,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,7.7714223323469644,%,Crude prevalence,7.911266294227189,9.429888268156425,Coronary Heart Disease,1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,7.353072648248485,%,Crude prevalence,7.44830866807611,8.653488372093022,Coronary Heart Disease,946,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,6.83252593455422,%,Crude prevalence,6.434615384615385,7.788461538461539,Coronary Heart Disease,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,5.356518701612223,%,Crude prevalence,5.43307240704501,6.403228962818004,Coronary Heart Disease,1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,5.660051723226813,%,Crude prevalence,5.263729508196721,6.18483606557377,Coronary Heart Disease,488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,7.100542846663647,%,Crude prevalence,6.707391304347826,7.929855072463769,Coronary Heart Disease,1380,Michigan
