StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830158,6231376.0,10.629843007387132,%,Crude prevalence,10.30632582322357,11.500173310225303,Current Asthma,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,9.743765606139178,%,Crude prevalence,11.196101694915255,12.779152542372882,Current Asthma,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,10.427788498623125,%,Crude prevalence,11.783452380952383,13.269166666666667,Current Asthma,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,10.314668709522298,%,Crude prevalence,9.880149812734082,11.137734082397005,Current Asthma,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,9.011293781007703,%,Crude prevalence,9.20492527173913,10.095991847826086,Current Asthma,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,9.409714967539548,%,Crude prevalence,8.990162037037036,10.029398148148148,Current Asthma,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,10.580101653373955,%,Crude prevalence,9.694366197183099,10.592605633802815,Current Asthma,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,10.168144160027472,%,Crude prevalence,9.488311688311686,10.46103896103896,Current Asthma,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,10.9,%,Crude prevalence,10.9,11.0,Current Asthma,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,8.903203678995466,%,Crude prevalence,8.657189901207465,9.45159165751921,Current Asthma,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,9.774639199269789,%,Crude prevalence,9.669101123595507,10.748314606741573,Current Asthma,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,9.545225831923192,%,Crude prevalence,9.227314814814815,10.406249999999998,Current Asthma,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,9.556157557980324,%,Crude prevalence,9.200738007380075,10.285977859778598,Current Asthma,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,10.526244222337144,%,Crude prevalence,9.657618343195267,10.885724852071005,Current Asthma,1352,Indiana
Iowa,42.06021625488518,-93.3696507907307,4851806.0,8.75164283155592,%,Crude prevalence,8.091127348643006,9.169258872651357,Current Asthma,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,9.784959820145112,%,Crude prevalence,9.206180665610141,10.436450079239302,Current Asthma,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,10.880019727381844,%,Crude prevalence,10.33584729981378,11.690689013035382,Current Asthma,1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,9.886393648826322,%,Crude prevalence,9.604862579281185,10.72938689217759,Current Asthma,946,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,11.349974544745665,%,Crude prevalence,10.685384615384615,12.001923076923077,Current Asthma,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,9.644765162336343,%,Crude prevalence,9.215753424657533,10.15880626223092,Current Asthma,1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,10.56137598234767,%,Crude prevalence,9.71127049180328,10.624590163934426,Current Asthma,488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,11.44450892536769,%,Crude prevalence,10.192898550724639,11.332971014492754,Current Asthma,1380,Michigan
Minnesota,45.47797570044521,-94.25205112939499,8743108.0,8.608122546353082,%,Crude prevalence,8.156221461187213,9.183732876712329,Current Asthma,1752,Minnesota
Mississippi,32.89354497546961,-89.61285239707183,3269920.0,10.588128516905613,%,Crude prevalence,10.303867403314918,11.613121546961326,Current Asthma,724,Mississippi
Missouri,38.444272122290386,-92.41824430639059,8354568.0,9.890741388423674,%,Crude prevalence,9.438599182004088,10.738905930470347,Current Asthma,1956,Missouri
Montana,47.10618655049276,-111.01690867101449,1371940.0,9.875490619123285,%,Crude prevalence,9.511884057971015,10.822173913043477,Current Asthma,690,Montana
Nebraska,41.19929316108365,-98.30826687355513,2942558.0,8.842819410866328,%,Crude prevalence,7.992110266159696,9.094866920152093,Current Asthma,1052,Nebraska
Nevada,38.745115170975616,-117.36226236585364,5128356.0,8.900317704153144,%,Crude prevalence,8.988617886178863,10.031707317073172,Current Asthma,246,Nevada
