StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,15.8455435685473,%,Crude prevalence,14.159272097053725,19.002772963604855,Health Insurance,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,13.046705770077175,%,Crude prevalence,12.480169491525425,17.817457627118642,Health Insurance,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,15.73692813925529,%,Crude prevalence,13.414047619047619,18.22,Health Insurance,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,14.870946346903487,%,Crude prevalence,12.553558052434457,17.39063670411985,Health Insurance,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,15.408932587589533,%,Crude prevalence,12.401630434782609,16.021671195652175,Health Insurance,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,14.28128982147912,%,Crude prevalence,11.61597222222222,16.057060185185183,Health Insurance,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,11.950035792473317,%,Crude prevalence,7.284154929577464,9.719014084507041,Health Insurance,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,14.628378045936657,%,Crude prevalence,12.281818181818183,16.28116883116883,Health Insurance,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,8.45,%,Crude prevalence,8.3,8.649999999999999,Health Insurance,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,23.47409501549047,%,Crude prevalence,19.93600439077936,24.623545554335898,Health Insurance,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,22.731457658892825,%,Crude prevalence,21.08338683788122,26.915329052969504,Health Insurance,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,16.998071170506194,%,Crude prevalence,14.686574074074073,20.358796296296298,Health Insurance,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,16.007074865715666,%,Crude prevalence,10.86590405904059,15.132915129151291,Health Insurance,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,15.048224460734696,%,Crude prevalence,11.229955621301775,15.915754437869822,Health Insurance,1352,Indiana
Iowa,42.06021625488518,-93.3696507907307,4851806.0,10.626031028445901,%,Crude prevalence,8.074008350730688,12.098486430062628,Health Insurance,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,16.419804915870863,%,Crude prevalence,12.281537242472266,17.946988906497623,Health Insurance,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,10.316203865457672,%,Crude prevalence,8.418994413407821,12.228584729981378,Health Insurance,1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,14.869173426233765,%,Crude prevalence,13.102325581395348,17.482029598308667,Health Insurance,946,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,13.851636788964665,%,Age-adjusted prevalence,11.442307692307692,16.701153846153844,Health Insurance,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,10.730119744264478,%,Crude prevalence,8.498727984344423,11.54031311154599,Health Insurance,1022,Maryland
