StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,20.40973470385995,%,Crude prevalence,20.052772963604856,25.06663778162912,Current Smoking,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,20.246813115620885,%,Crude prevalence,25.416271186440675,32.41762711864407,Current Smoking,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,16.887361768299492,%,Crude prevalence,20.643452380952382,25.824880952380955,Current Smoking,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,22.453003330298035,%,Crude prevalence,21.610299625468166,27.389419475655433,Current Smoking,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,13.26061721911051,%,Crude prevalence,13.020991847826087,16.422146739130437,Current Smoking,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,15.96185291401577,%,Crude prevalence,14.264583333333333,19.331134259259258,Current Smoking,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,15.478734802520414,%,Crude prevalence,12.121126760563381,15.959859154929578,Current Smoking,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,19.296361020211002,%,Crude prevalence,16.446753246753246,21.052597402597407,Current Smoking,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,15.649999999999999,%,Crude prevalence,15.45,15.850000000000001,Current Smoking,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,18.67619508016445,%,Crude prevalence,18.017892425905597,22.044785949506036,Current Smoking,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,18.309294362485964,%,Crude prevalence,18.89855537720706,23.484751203852326,Current Smoking,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,17.44444312439751,%,Crude prevalence,15.76388888888889,21.05324074074074,Current Smoking,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,17.54821766689244,%,Crude prevalence,17.192287822878228,22.501143911439115,Current Smoking,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,22.7226659896575,%,Crude prevalence,20.230029585798817,26.282470414201185,Current Smoking,1352,Indiana
Iowa,42.06021625488518,-93.36965079073067,4851806.0,18.392934589717726,%,Crude prevalence,15.664926931106471,21.40939457202505,Current Smoking,1916,Iowa
