StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.97101272128748,-86.72049750280424,6204830.0,39.60913386829293,%,Crude prevalence,40.026366843033514,42.28350970017637,High Blood Pressure,1134,Alabama
Alaska,61.56233847366437,-152.60539054726027,1367124.0,29.814665019413017,%,Crude prevalence,32.079109589041096,34.733390410958904,High Blood Pressure,584,Alaska
Arizona,33.89366533611111,-111.58356222246377,11827378.0,28.455648665325484,%,Crude prevalence,32.29541062801932,34.42415458937198,High Blood Pressure,828,Arizona
Arkansas,35.06974689727955,-92.36435809212007,3903040.0,36.9783490304993,%,Crude prevalence,37.71397748592871,40.1765478424015,High Blood Pressure,1066,Arkansas
California,36.89426883528807,-120.20748722537724,70175008.0,27.162796897721762,%,Crude prevalence,28.166289437585732,29.964643347050757,High Blood Pressure,2916,California
Colorado,39.204006937179486,-105.30551102983684,8610912.0,24.834544285204633,%,Crude prevalence,25.234149184149185,27.47389277389277,High Blood Pressure,858,Colorado
Connecticut,41.557647372285714,-72.72910103342856,4359470.0,29.39166862026806,%,Crude prevalence,27.522142857142853,29.470714285714283,High Blood Pressure,280,Connecticut
Delaware,39.129747734868424,-75.48682848092106,778678.0,33.31099286226142,%,Crude prevalence,31.724342105263162,33.84934210526316,High Blood Pressure,152,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,29.450000000000003,%,Crude prevalence,29.35,29.55,High Blood Pressure,2,District of Columbia
Florida,28.144012067588104,-82.13434021247797,28698268.0,32.738499511538464,%,Crude prevalence,33.220264317180614,35.000385462555066,High Blood Pressure,1816,Florida
Georgia,32.956022536130085,-83.57780977079673,8742128.0,33.16946007882749,%,Crude prevalence,34.36609756097561,36.44186991869919,High Blood Pressure,1230,Georgia
Idaho,44.54809443629107,-114.70831114178405,2210916.0,27.87996522708235,%,Crude prevalence,28.251173708920188,30.672300469483567,High Blood Pressure,426,Idaho
Illinois,40.346881306518846,-89.0222872195861,22513224.0,30.797623112531546,%,Crude prevalence,30.597745750184774,32.99907612712491,High Blood Pressure,2706,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,33.83936148734531,%,Crude prevalence,32.50110946745562,34.97278106508876,High Blood Pressure,1352,Indiana
Iowa,42.06021625488518,-93.3696507907307,4851806.0,29.584107320037116,%,Crude prevalence,29.45683716075157,32.21330897703549,High Blood Pressure,1916,Iowa
Kansas,38.50103163076311,-97.31149496434023,4749932.0,31.481002085924597,%,Crude prevalence,32.42209856915739,35.206597774244834,High Blood Pressure,1258,Kansas
Kentucky,37.785974525426354,-85.41560226137597,4542708.0,37.39931490203641,%,Crude prevalence,37.79341085271317,40.39418604651162,High Blood Pressure,1032,Kentucky
Louisiana,30.98024361408898,-91.84021571940679,5970188.0,39.32151903759145,%,Crude prevalence,38.902860169491525,41.10953389830509,High Blood Pressure,944,Louisiana
Maine,44.52613731697675,-69.53307459643409,1239840.0,29.97361167570009,%,Crude prevalence,29.536821705426355,32.01279069767442,High Blood Pressure,258,Maine
Maryland,39.10082978863367,-76.9950493809703,9443216.0,32.14416329140412,%,Crude prevalence,31.726237623762376,33.764752475247526,High Blood Pressure,1010,Maryland
Massachusetts,42.178578741124994,-71.33182809945833,9151004.0,27.869600887509172,%,Crude prevalence,26.991666666666667,28.995625,High Blood Pressure,480,Massachusetts
