StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.97101272128748,-86.72049750280424,6204830.0,34.18418601315427,%,Crude prevalence,35.49964726631393,36.64797178130512,High Cholesterol,1134,Alabama
Alaska,61.56233847366437,-152.60539054726027,1367124.0,30.095992389863685,%,Crude prevalence,30.12260273972603,31.59006849315068,High Cholesterol,584,Alaska
Arizona,33.89366533611111,-111.58356222246377,11827378.0,30.527816503370403,%,Crude prevalence,31.679468599033815,32.84396135265701,High Cholesterol,828,Arizona
Arkansas,35.06974689727955,-92.36435809212007,3903040.0,32.67889227371485,%,Crude prevalence,33.945684803001875,35.22673545966229,High Cholesterol,1066,Arkansas
California,36.89426883528807,-120.20748722537724,70175008.0,29.68988657899405,%,Crude prevalence,30.487002743484226,31.428120713305898,High Cholesterol,2916,California
Colorado,39.204006937179486,-105.30551102983684,8610912.0,28.700226247812083,%,Crude prevalence,29.54020979020979,30.681585081585084,High Cholesterol,858,Colorado
Connecticut,41.557647372285714,-72.72910103342856,4359470.0,29.6149456470626,%,Crude prevalence,29.54392857142857,30.407500000000002,High Cholesterol,280,Connecticut
Delaware,39.129747734868424,-75.48682848092106,778678.0,30.418485818271485,%,Crude prevalence,31.281578947368416,32.311184210526314,High Cholesterol,152,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,28.0,%,Crude prevalence,27.95,28.05,High Cholesterol,2,District of Columbia
Florida,28.144012067588104,-82.13434021247797,28698268.0,31.917625896447824,%,Crude prevalence,32.613601321585904,33.48243392070484,High Cholesterol,1816,Florida
Georgia,32.956022536130085,-83.57780977079673,8742128.0,29.728584619213994,%,Crude prevalence,31.41471544715447,32.47357723577236,High Cholesterol,1230,Georgia
Idaho,44.54809443629107,-114.70831114178405,2210916.0,28.409509045119762,%,Crude prevalence,29.61948356807512,30.9056338028169,High Cholesterol,426,Idaho
Illinois,40.346881306518846,-89.02228721958612,22513224.0,30.387806188931453,%,Crude prevalence,31.975055432372507,33.188470066518846,High Cholesterol,2706,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,32.08478721499043,%,Crude prevalence,32.56013313609468,33.8090976331361,High Cholesterol,1352,Indiana
Iowa,42.06021625488518,-93.36965079073069,4851806.0,31.770490163868878,%,Age-adjusted prevalence,32.061377870563675,33.49900835073069,High Cholesterol,1916,Iowa
Kansas,38.50103163076311,-97.31149496434023,4749932.0,31.411518501738545,%,Crude prevalence,31.743402225755165,33.13887122416534,High Cholesterol,1258,Kansas
Kentucky,37.785974525426354,-85.41560226137597,4542708.0,33.598910539704505,%,Crude prevalence,34.75736434108528,36.04874031007752,High Cholesterol,1032,Kentucky
Louisiana,30.98024361408898,-91.84021571940679,5970188.0,34.025448260590785,%,Crude prevalence,34.66747881355932,35.804872881355934,High Cholesterol,944,Louisiana
Maine,44.526137316976744,-69.53307459643409,1239840.0,32.653189282488064,%,Crude prevalence,32.66782945736434,33.917054263565895,High Cholesterol,258,Maine
Maryland,39.10082978863367,-76.9950493809703,9443216.0,30.737485598126742,%,Crude prevalence,31.87940594059406,32.82029702970297,High Cholesterol,1010,Maryland
Massachusetts,42.178578741124994,-71.33182809945833,9151004.0,30.476910686521393,%,Crude prevalence,30.849166666666665,31.79416666666667,High Cholesterol,480,Massachusetts
Michigan,43.4683407215407,-84.8604801223401,11060724.0,32.310904204824205,%,Crude prevalence,32.45625,33.62543604651163,High Cholesterol,1376,Michigan
Minnesota,45.47635319524571,-94.25449498386286,8735062.0,26.79137353575739,%,Crude prevalence,27.586,28.813599999999997,High Cholesterol,1750,Minnesota
Mississippi,32.89354497546961,-89.61285239707183,3269920.0,34.62654615403435,%,Crude prevalence,35.20925414364641,36.43135359116022,High Cholesterol,724,Mississippi
Missouri,38.44725297255144,-92.42151855950617,8348440.0,31.92935039360647,%,Crude prevalence,33.08611111111111,34.47073045267489,High Cholesterol,1944,Missouri
Montana,47.11042336361516,-111.03705386443148,1370780.0,27.595726958374065,%,Crude prevalence,28.318513119533527,29.720116618075803,High Cholesterol,686,Montana
Nebraska,41.20044351386667,-98.30842883946667,2942434.0,30.21492206792064,%,Crude prevalence,30.687809523809527,32.08895238095238,High Cholesterol,1050,Nebraska
Nevada,38.74164125900827,-117.33194594380167,5127446.0,30.645099158528435,%,Crude prevalence,32.03264462809917,33.207438016528926,High Cholesterol,242,Nevada
New Hampshire,43.410917023958326,-71.58942532416667,1254950.0,29.605695525718158,%,Crude prevalence,29.753645833333334,30.940104166666668,High Cholesterol,192,New Hampshire
New Jersey,40.322899333258846,-74.53243180104283,10543748.0,31.704645748361965,%,Crude prevalence,31.685009310986963,32.65307262569833,High Cholesterol,1074,New Jersey
New Mexico,34.71108705663461,-106.49811863317308,3408090.0,29.467083175620367,%,Crude prevalence,30.259735576923074,31.450600961538463,High Cholesterol,832,New Mexico
New York,42.17386754818644,-75.08031787484745,31402376.0,30.514053016243103,%,Crude prevalence,30.802627118644068,31.88949152542373,High Cholesterol,2360,New York
North Carolina,35.44227040997268,-79.30688416602459,11277810.0,31.705887836379578,%,Crude prevalence,33.369057377049174,34.491530054644805,High Cholesterol,1464,North Carolina
North Dakota,47.47547389858044,-99.67258589031546,1048814.0,31.130892131493283,%,Crude prevalence,31.79353312302839,33.32145110410095,High Cholesterol,634,North Dakota
Ohio,40.34792150074938,-82.81751895982515,16205078.0,30.860863749005095,%,Crude prevalence,31.10428809325562,32.281057452123235,High Cholesterol,2402,Ohio
Oklahoma,35.54749728440288,-96.71325269592806,5833460.0,34.32485514600254,%,Crude prevalence,35.373165467625896,36.63410071942446,High Cholesterol,1390,Oklahoma
Oregon,44.55401194887671,-122.04659279835616,6073290.0,29.108886353195714,%,Crude prevalence,30.80438356164383,32.025479452054796,High Cholesterol,730,Oregon
Pennsylvania,40.6230057904298,-77.64368367461317,14106416.0,30.83716659142904,%,Crude prevalence,30.970401146131806,32.25636103151862,High Cholesterol,3490,Pennsylvania
Rhode Island,41.65348424911764,-71.56732677794118,1295246.0,29.83680752536584,%,Crude prevalence,29.66176470588235,30.580882352941185,High Cholesterol,68,Rhode Island
South Carolina,34.027417458494895,-81.10672573308673,4283854.0,33.21949515553051,%,Crude prevalence,34.769642857142856,35.802168367346944,High Cholesterol,784,South Carolina
South Dakota,44.23908767165165,-98.99445801858859,1218702.0,26.659710084992064,%,Crude prevalence,27.217267267267264,28.654804804804808,High Cholesterol,666,South Dakota
