StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,78.77249777577217,%,Crude prevalence,72.99592720970536,79.38596187175042,Mammography,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,67.27984365898689,%,Crude prevalence,58.57491525423728,68.23830508474578,Mammography,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,70.17689150467018,%,Crude prevalence,61.17261904761905,68.82440476190476,Mammography,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,72.44981222950919,%,Crude prevalence,66.84737827715355,74.65720973782771,Mammography,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,76.25058990862831,%,Crude prevalence,71.76131114130435,77.39266304347827,Mammography,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,68.48218980430919,%,Crude prevalence,62.24872685185184,70.45833333333333,Mammography,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,79.38420342040392,%,Crude prevalence,76.25176056338029,81.22746478873239,Mammography,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,80.01087875705028,%,Crude prevalence,76.2012987012987,81.62077922077923,Mammography,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,77.65,%,Crude prevalence,77.4,77.9,Mammography,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,76.20146229324412,%,Crude prevalence,72.27694840834248,77.45400658616906,Mammography,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,78.80086218121988,%,Crude prevalence,73.7341894060995,79.72961476725523,Mammography,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,66.75862735496625,%,Crude prevalence,59.9800925925926,69.23611111111111,Mammography,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,75.1461253601072,%,Crude prevalence,68.36988929889299,76.15273062730627,Mammography,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,72.67621792898245,%,Crude prevalence,67.23417159763314,75.36745562130177,Mammography,1352,Indiana
Iowa,42.06021625488518,-93.36965079073069,4851806.0,75.09286731579952,%,Crude prevalence,69.19013569937368,77.57280793319416,Mammography,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,72.47782996372007,%,Crude prevalence,65.68843106180665,74.58549920760699,Mammography,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,75.39181987078169,%,Crude prevalence,69.81564245810056,77.45214152700187,Mammography,1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,77.83877612615254,%,Crude prevalence,72.41194503171249,78.87959830866808,Mammography,946,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,76.20172942675734,%,Crude prevalence,72.39769230769231,79.125,Mammography,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,77.43763991256668,%,Crude prevalence,73.41741682974559,78.773385518591,Mammography,1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,80.32420450734058,%,Crude prevalence,77.77274590163934,82.77786885245901,Mammography,488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,76.28135077089992,%,Crude prevalence,71.3013043478261,78.31702898550725,Mammography,1380,Michigan
Minnesota,45.47797570044521,-94.25205112939499,8743108.0,77.89201563105478,%,Crude prevalence,72.56866438356164,79.74834474885846,Mammography,1752,Minnesota
Mississippi,32.89354497546961,-89.61285239707183,3269920.0,69.8909610632676,%,Crude prevalence,64.5738950276243,72.24060773480663,Mammography,724,Mississippi
Missouri,38.444272122290386,-92.41824430639059,8354568.0,72.83571678391989,%,Crude prevalence,65.15833333333333,73.91860940695297,Mammography,1956,Missouri
Montana,47.10618655049276,-111.01690867101449,1371940.0,71.42203390818842,%,Crude prevalence,64.96623188405796,73.91797101449275,Mammography,690,Montana
Nebraska,41.19929316108365,-98.30826687355513,2942558.0,72.04672285134227,%,Crude prevalence,65.25076045627377,74.1199619771863,Mammography,1052,Nebraska
Nevada,38.745115170975616,-117.36226236585364,5128356.0,69.57937155688879,%,Crude prevalence,63.34959349593496,71.05934959349594,Mammography,246,Nevada
New Hampshire,43.41790890463917,-71.59391600123712,1256642.0,76.85450398761142,%,Crude prevalence,71.74278350515465,78.73917525773194,Mammography,194,New Hampshire
New Jersey,40.321140149223666,-74.53298587116453,10574380.0,75.63355216097776,%,Crude prevalence,72.1930683918669,78.6271719038817,Mammography,1082,New Jersey
New Mexico,34.716194155669854,-106.49631947057416,3408912.0,67.23931424454489,%,Crude prevalence,60.595813397129184,68.59186602870814,Mammography,836,New Mexico
New York,42.17580793279832,-75.07064218615966,31414152.0,78.04567019030146,%,Crude prevalence,73.35920168067227,79.43739495798319,Mammography,2380,New York
North Carolina,35.44227040997268,-79.30688416602459,11277810.0,78.1419228467229,%,Crude prevalence,73.21304644808743,79.55218579234972,Mammography,1464,North Carolina
North Dakota,47.47547389858044,-99.67258589031546,1048814.0,75.89586962035213,%,Crude prevalence,69.23059936908517,77.69921135646688,Mammography,634,North Dakota
Ohio,40.35037367761748,-82.81203857996702,16220344.0,75.89799421023376,%,Crude prevalence,70.7858615004122,77.78862324814509,Mammography,2426,Ohio
Oklahoma,35.53277339219236,-96.69971397536068,5839860.0,73.70537045408624,%,Crude prevalence,66.82701555869872,74.6008486562942,Mammography,1414,Oklahoma
Oregon,44.56117653220109,-122.05452853152174,6081498.0,74.45089635810125,%,Crude prevalence,67.97989130434783,75.46915760869565,Mammography,736,Oregon
Pennsylvania,40.623124442084766,-77.64010461537228,14126250.0,74.52790288293072,%,Crude prevalence,68.85552691867125,76.98593928980527,Mammography,3492,Pennsylvania
Rhode Island,41.6405243375,-71.57488506388889,1299164.0,79.52802471435477,%,Crude prevalence,75.40833333333333,80.70416666666668,Mammography,72,Rhode Island
South Carolina,34.028137666556965,-81.10666934536708,4322376.0,77.15918962163403,%,Crude prevalence,73.02468354430378,78.68025316455696,Mammography,790,South Carolina
South Dakota,44.23290506853731,-98.98084603495522,1224018.0,76.1139411348526,%,Crude prevalence,70.22477611940299,78.57,Mammography,670,South Dakota
