StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,16.467269075080686,%,Crude prevalence,16.03058925476603,18.74991334488735,Mental Health,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,13.616348043594785,%,Crude prevalence,15.615932203389834,18.87457627118644,Mental Health,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,13.874298081754143,%,Crude prevalence,15.571785714285715,18.402023809523808,Mental Health,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,16.150371371714467,%,Crude prevalence,15.316011235955056,18.186985018726592,Mental Health,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,13.131813784027356,%,Crude prevalence,12.797452445652173,14.831283967391306,Mental Health,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,12.05459357148492,%,Crude prevalence,11.044444444444446,13.405787037037037,Mental Health,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,13.099761139089734,%,Crude prevalence,10.86056338028169,12.842605633802817,Mental Health,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,14.292666560747042,%,Crude prevalence,12.74935064935065,15.035064935064936,Mental Health,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,13.3,%,Crude prevalence,13.15,13.399999999999999,Mental Health,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,14.83901045814696,%,Crude prevalence,14.233369923161362,16.305927552140503,Mental Health,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,14.285782300580886,%,Crude prevalence,14.310353130016052,16.71107544141252,Mental Health,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,14.11583872620189,%,Crude prevalence,12.862731481481482,15.56111111111111,Mental Health,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,12.896866228186234,%,Crude prevalence,12.558782287822877,15.049335793357933,Mental Health,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,15.650970238203037,%,Crude prevalence,13.994156804733727,16.829955621301774,Mental Health,1352,Indiana
Iowa,42.06021625488518,-93.36965079073069,4851806.0,11.7239164138055,%,Crude prevalence,10.236795407098121,12.631576200417536,Mental Health,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,13.591892344675848,%,Crude prevalence,12.331537242472265,15.182012678288432,Mental Health,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,16.696298679691495,%,Crude prevalence,15.607355679702048,18.76396648044693,Mental Health,1074,Kentucky
