StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,29.63763762610377,%,Crude prevalence,29.200779896013863,34.357452339688045,Physical Inactivity,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,20.071820124311657,%,Crude prevalence,22.76847457627118,28.24,Physical Inactivity,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,22.397650031566418,%,Crude prevalence,24.660119047619048,29.567857142857143,Physical Inactivity,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,31.74945344233111,%,Crude prevalence,31.31479400749064,37.19616104868914,Physical Inactivity,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,21.69175848389674,%,Crude prevalence,20.17523777173913,23.807778532608697,Physical Inactivity,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,16.91879105121744,%,Crude prevalence,15.32673611111111,19.27407407407408,Physical Inactivity,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,23.683381224670867,%,Crude prevalence,18.06549295774648,21.880281690140844,Physical Inactivity,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,27.726111323235095,%,Crude prevalence,25.201948051948055,29.9987012987013,Physical Inactivity,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,19.1,%,Crude prevalence,18.95,19.299999999999997,Physical Inactivity,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,27.250874691011198,%,Crude prevalence,25.667233809001097,29.723819978046105,Physical Inactivity,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,26.571098756782213,%,Crude prevalence,27.34157303370787,32.05529695024077,Physical Inactivity,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,20.425079662071997,%,Crude prevalence,19.484953703703702,24.3375,Physical Inactivity,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,25.00730471542873,%,Crude prevalence,23.144059040590406,28.270073800738004,Physical Inactivity,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,28.808047599915312,%,Crude prevalence,25.548594674556217,31.194970414201183,Physical Inactivity,1352,Indiana
Iowa,42.06021625488518,-93.36965079073069,4851806.0,23.130377245091825,%,Crude prevalence,20.795563674321503,26.38956158663883,Physical Inactivity,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,23.348488209545593,%,Crude prevalence,21.603565768621237,27.432963549920757,Physical Inactivity,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,31.552898934800606,%,Crude prevalence,30.370670391061452,36.53277467411546,Physical Inactivity,1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,30.653545251275006,%,Crude prevalence,30.213847780126848,35.29947145877379,Physical Inactivity,946,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,21.999701222979972,%,Crude prevalence,20.188846153846157,25.459615384615386,Physical Inactivity,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,23.025371274968286,%,Crude prevalence,21.67592954990215,26.051174168297457,Physical Inactivity,1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,23.654120311504105,%,Crude prevalence,19.065778688524592,23.17643442622951,Physical Inactivity,488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,26.194852858104262,%,Crude prevalence,22.14659420289855,26.97536231884058,Physical Inactivity,1380,Michigan
Minnesota,45.47797570044521,-94.25205112939499,8743108.0,20.085914951525247,%,Crude prevalence,19.81678082191781,24.970319634703195,Physical Inactivity,1752,Minnesota
Mississippi,32.89354497546961,-89.61285239707183,3269920.0,32.35960821671478,%,Crude prevalence,31.35234806629834,37.07707182320442,Physical Inactivity,724,Mississippi
Missouri,38.444272122290386,-92.41824430639059,8354568.0,26.65652317390917,%,Age-adjusted prevalence,25.820245398773007,31.863036809815952,Physical Inactivity,1956,Missouri
Montana,47.10618655049276,-111.01690867101449,1371940.0,23.272123780923366,%,Crude prevalence,21.653623188405795,27.701014492753618,Physical Inactivity,690,Montana
Nebraska,41.19929316108365,-98.30826687355513,2942558.0,24.18092744476065,%,Crude prevalence,22.113498098859317,28.1967680608365,Physical Inactivity,1052,Nebraska
Nevada,38.745115170975616,-117.36226236585364,5128356.0,25.741741485965484,%,Crude prevalence,21.440650406504062,25.869918699186996,Physical Inactivity,246,Nevada
New Hampshire,43.41790890463917,-71.59391600123712,1256642.0,22.345898672812147,%,Crude prevalence,19.361855670103093,24.56494845360825,Physical Inactivity,194,New Hampshire
New Jersey,40.321140149223666,-74.53298587116453,10574380.0,29.265886642999398,%,Crude prevalence,22.9818853974122,27.73927911275416,Physical Inactivity,1082,New Jersey
New Mexico,34.716194155669854,-106.49631947057416,3408912.0,22.113644940086456,%,Crude prevalence,22.246531100478467,27.20992822966507,Physical Inactivity,836,New Mexico
New York,42.17573516485306,-75.07139601797648,31426506.0,25.839524708855638,%,Crude prevalence,21.193576826196473,25.999958018471876,Physical Inactivity,2382,New York
North Carolina,35.44227040997268,-79.30688416602459,11277810.0,23.78909363608715,%,Crude prevalence,24.469877049180322,29.09262295081967,Physical Inactivity,1464,North Carolina
North Dakota,47.47547389858044,-99.67258589031546,1048814.0,22.203795239193987,%,Crude prevalence,20.97018927444795,27.24794952681388,Physical Inactivity,634,North Dakota
Ohio,40.35037367761748,-82.81203857996702,16220344.0,26.85437806991023,%,Crude prevalence,24.031327287716405,29.1558120362737,Physical Inactivity,2426,Ohio
Oklahoma,35.53277339219236,-96.69971397536068,5839860.0,27.61815183925642,%,Crude prevalence,27.297807637906647,32.694271570014145,Physical Inactivity,1414,Oklahoma
Oregon,44.56117653220109,-122.05452853152174,6081498.0,18.78452743057714,%,Crude prevalence,18.888315217391302,23.332065217391307,Physical Inactivity,736,Oregon
Pennsylvania,40.62262966218732,-77.64045840463734,14139000.0,25.10072111181837,%,Crude prevalence,21.38041119360366,26.64203312392918,Physical Inactivity,3502,Pennsylvania
Rhode Island,41.6405243375,-71.57488506388889,1299164.0,27.400620168046526,%,Crude prevalence,20.522222222222222,24.806944444444444,Physical Inactivity,72,Rhode Island
South Carolina,34.028137666556965,-81.1066693453671,4322376.0,26.3663255117093,%,Crude prevalence,27.32873417721519,32.01227848101266,Physical Inactivity,790,South Carolina
South Dakota,44.23290506853731,-98.98084603495522,1224018.0,23.95204760060718,%,Crude prevalence,21.507462686567163,27.685820895522387,Physical Inactivity,670,South Dakota
Tennessee,35.82847530804196,-86.25422037505827,7896488.0,30.71442870552073,%,Crude prevalence,29.857226107226108,35.32365967365968,Physical Inactivity,858,Tennessee
Texas,30.720427723370918,-97.76995810419584,39637532.0,27.877367791213643,%,Crude prevalence,27.2619881305638,32.46925816023739,Physical Inactivity,3370,Texas
Utah,39.87648097053291,-111.76695994733542,5287556.0,18.16849814923946,%,Crude prevalence,16.591065830721,20.69984326018809,Physical Inactivity,638,Utah
Vermont,44.03558706107438,-72.61920375776859,485298.0,19.472294136798418,%,Crude prevalence,17.535123966942148,22.965289256198346,Physical Inactivity,242,Vermont
Virginia,37.76904527979764,-78.37208386681282,10869342.0,22.332632315737236,%,Crude prevalence,23.36138279932546,27.93136593591906,Physical Inactivity,1186,Virginia
Washington,47.331982331372544,-121.38399935751634,11089644.0,17.566201692317623,%,Crude prevalence,17.029575163398693,20.851470588235294,Physical Inactivity,1224,Washington
West Virginia,38.60101814196517,-80.84832210097015,1607296.0,28.154028878314882,%,Crude prevalence,27.311069651741292,33.039800995024876,Physical Inactivity,804,West Virginia
Wisconsin,44.14772710524484,-89.6623079268299,8440154.0,21.68393844472506,%,Crude prevalence,19.168234536082476,24.003994845360822,Physical Inactivity,1552,Wisconsin
Wyoming,42.80424961384615,-107.79239045604398,876456.0,22.34804610841845,%,Crude prevalence,19.789285714285715,25.13818681318681,Physical Inactivity,364,Wyoming
