StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,36.38998919339806,%,Crude prevalence,35.969670710571926,38.69237435008665,Obesity,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,29.888509596459198,%,Crude prevalence,33.021355932203384,36.5564406779661,Obesity,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,30.566175643889018,%,Crude prevalence,32.537261904761905,34.96107142857143,Obesity,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,36.053421663818945,%,Crude prevalence,35.242228464419476,38.342696629213485,Obesity,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,26.590755012971535,%,Crude prevalence,27.139436141304348,29.240896739130434,Obesity,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,24.121705751462926,%,Crude prevalence,23.43634259259259,26.061226851851853,Obesity,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,29.015301626059852,%,Crude prevalence,25.82112676056338,27.923591549295775,Obesity,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,35.78426670732613,%,Crude prevalence,34.19740259740259,36.64805194805194,Obesity,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,25.700000000000003,%,Crude prevalence,25.6,25.799999999999997,Obesity,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,30.97756339370524,%,Crude prevalence,30.45664105378705,32.4268386388584,Obesity,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,32.75541881574023,%,Crude prevalence,33.321589085072226,35.93603531300161,Obesity,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,29.56102015335231,%,Crude prevalence,29.809722222222224,32.96574074074074,Obesity,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,31.487994902114416,%,Crude prevalence,31.439741697416974,34.69988929889299,Obesity,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,35.291875006847235,%,Crude prevalence,33.285724852071006,36.60273668639053,Obesity,1352,Indiana
Iowa,42.06021625488518,-93.36965079073069,4851806.0,35.26292902065746,%,Crude prevalence,33.800835073068896,37.51591858037578,Obesity,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,35.034673082759426,%,Crude prevalence,35.01814580031695,38.80087163232963,Obesity,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,36.01722032078783,%,Crude prevalence,35.77392923649907,38.98500931098697,Obesity,1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,38.02497563876025,%,Crude prevalence,37.4853065539112,40.280126849894295,Obesity,946,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,30.317766881425236,%,Crude prevalence,29.226923076923075,32.002692307692314,Obesity,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,32.253029553245526,%,Crude prevalence,32.15225048923679,34.41663405088063,Obesity,1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,26.71359464563227,%,Crude prevalence,25.322540983606558,27.560860655737702,Obesity,488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,34.65100113140882,%,Crude prevalence,32.9191304347826,35.924855072463764,Obesity,1380,Michigan
Minnesota,45.47797570044521,-94.25205112939499,8743108.0,29.797669890386807,%,Crude prevalence,31.071004566210043,34.25896118721461,Obesity,1752,Minnesota
Mississippi,32.89354497546961,-89.61285239707183,3269920.0,40.13161936683466,%,Crude prevalence,39.26878453038674,42.2628453038674,Obesity,724,Mississippi
Missouri,38.444272122290386,-92.41824430639059,8354568.0,34.044122448940506,%,Crude prevalence,33.15138036809815,36.64427402862986,Obesity,1956,Missouri
Montana,47.10618655049276,-111.01690867101449,1371940.0,29.431921585492077,%,Crude prevalence,29.468405797101447,32.95579710144928,Obesity,690,Montana
Nebraska,41.19929316108365,-98.30826687355513,2942558.0,35.072222875470935,%,Crude prevalence,34.79115969581749,38.449714828897335,Obesity,1052,Nebraska
Nevada,38.745115170975616,-117.36226236585364,5128356.0,30.83812227544265,%,Crude prevalence,29.297560975609755,32.02317073170732,Obesity,246,Nevada
New Hampshire,43.41790890463917,-71.59391600123712,1256642.0,29.720392999756495,%,Crude prevalence,28.02938144329897,30.91185567010309,Obesity,194,New Hampshire
New Jersey,40.321140149223666,-74.53298587116453,10574380.0,28.940442966868982,%,Crude prevalence,26.765064695009244,29.28706099815157,Obesity,1082,New Jersey
New Mexico,34.716194155669854,-106.49631947057416,3408912.0,30.82956078068311,%,Crude prevalence,31.879665071770336,34.62775119617225,Obesity,836,New Mexico
New York,42.17573516485306,-75.07139601797648,31426506.0,27.795022844728585,%,Crude prevalence,29.241057934508817,31.64811083123426,Obesity,2382,New York
North Carolina,35.44227040997268,-79.30688416602459,11277810.0,32.646584576260814,%,Crude prevalence,33.597062841530054,36.3667349726776,Obesity,1464,North Carolina
North Dakota,47.47547389858044,-99.67258589031546,1048814.0,35.014308066063194,%,Crude prevalence,33.55914826498423,37.45993690851735,Obesity,634,North Dakota
Ohio,40.35037367761748,-82.81203857996702,16220344.0,35.28862651741541,%,Crude prevalence,33.85770816158285,36.81735366859028,Obesity,2426,Ohio
Oklahoma,35.53277339219236,-96.69971397536068,5839860.0,35.65510529362005,%,Crude prevalence,35.53062234794908,38.639038189533245,Obesity,1414,Oklahoma
Oregon,44.56117653220109,-122.05452853152174,6081498.0,30.02064083553098,%,Crude prevalence,31.19252717391304,34.06875,Obesity,736,Oregon
Pennsylvania,40.62262966218732,-77.64045840463734,14139000.0,33.05304392814202,%,Crude prevalence,31.24211878926328,34.52735579668761,Obesity,3502,Pennsylvania
Rhode Island,41.6405243375,-71.57488506388889,1299164.0,29.530898100624707,%,Crude prevalence,25.955555555555556,28.216666666666665,Obesity,72,Rhode Island
South Carolina,34.028137666556965,-81.10666934536708,4322376.0,35.37014123713439,%,Crude prevalence,36.12898734177215,38.46481012658227,Obesity,790,South Carolina
South Dakota,44.23290506853731,-98.98084603495522,1224018.0,32.18974614752398,%,Crude prevalence,31.654029850746266,35.41805970149254,Obesity,670,South Dakota
Tennessee,35.82847530804196,-86.25422037505827,7896488.0,34.58344609654318,%,Crude prevalence,34.58916083916084,37.58251748251748,Obesity,858,Tennessee
Texas,30.720427723370918,-97.76995810419584,39637532.0,35.97154624309102,%,Crude prevalence,35.94041543026706,38.89053412462908,Obesity,3370,Texas
Utah,39.87648097053291,-111.76695994733542,5287556.0,29.3704421664754,%,Crude prevalence,29.010971786833856,31.77742946708464,Obesity,638,Utah
Vermont,44.03558706107438,-72.61920375776859,485298.0,27.01611958013427,%,Crude prevalence,26.43388429752066,29.46404958677686,Obesity,242,Vermont
Virginia,37.76904527979764,-78.37208386681282,10869342.0,30.670354985609983,%,Crude prevalence,31.950505902192244,34.53718381112985,Obesity,1186,Virginia
Washington,47.331982331372544,-121.38399935751634,11089644.0,29.17366023652338,%,Crude prevalence,30.061601307189544,32.48031045751633,Obesity,1224,Washington
West Virginia,38.60101814196517,-80.84832210097015,1607296.0,38.3183243161185,%,Crude prevalence,37.55298507462686,40.84490049751244,Obesity,804,West Virginia
Wisconsin,44.14772710524485,-89.6623079268299,8440154.0,33.276162958637954,%,Crude prevalence,32.32951030927835,35.737242268041236,Obesity,1552,Wisconsin
Wyoming,42.804249613846146,-107.79239045604396,876456.0,30.04551740190038,%,Age-adjusted prevalence,28.383791208791212,31.59368131868132,Obesity,364,Wyoming
