StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,34.894822042515166,%,Crude prevalence,27.832409012131716,38.65892547660312,Core preventive services for older men,1154,Alabama
Alaska,61.61744415370747,-152.5678196914966,1376646.0,26.48689241823969,%,Crude prevalence,15.423809523809522,25.732993197278912,Core preventive services for older men,588,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,30.879937857526325,%,Crude prevalence,18.61797619047619,26.884047619047617,Core preventive services for older men,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,29.07655178587872,%,Crude prevalence,21.322003745318355,31.830805243445695,Core preventive services for older men,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,30.809913955824637,%,Crude prevalence,25.831725543478264,34.22476222826087,Core preventive services for older men,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,32.47310417275735,%,Crude prevalence,25.61076388888889,36.61157407407407,Core preventive services for older men,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,32.41928173992667,%,Crude prevalence,30.364788732394366,39.5056338028169,Core preventive services for older men,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,32.543479792841715,%,Crude prevalence,28.30064935064935,38.36883116883118,Core preventive services for older men,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,36.65,%,Crude prevalence,36.05,37.2,Core preventive services for older men,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,31.295840792745086,%,Crude prevalence,27.67409440175631,35.931284302963775,Core preventive services for older men,1822,Florida
Georgia,32.960312190836014,-83.57919059586817,9519724.0,29.38960138970416,%,Crude prevalence,23.27307073954984,32.66278135048231,Core preventive services for older men,1244,Georgia
Idaho,44.56659106925582,-114.7050772916279,2207250.0,34.7328149054253,%,Crude prevalence,25.667441860465118,37.83720930232558,Core preventive services for older men,430,Idaho
Illinois,40.34626809119646,-89.02144420585671,22523550.0,33.76420506536492,%,Crude prevalence,29.88109305760709,41.771824224519946,Core preventive services for older men,2708,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,26.676811385201447,%,Crude prevalence,22.01642011834319,33.003846153846155,Core preventive services for older men,1352,Indiana
Iowa,42.06021625488518,-93.36965079073069,4851806.0,37.38898078365045,%,Crude prevalence,29.616701461377872,43.23063674321503,Core preventive services for older men,1916,Iowa
Kansas,38.49996910612082,-97.32253467659778,4747700.0,34.99851418581629,%,Crude prevalence,26.436804451510334,39.434976152623214,Core preventive services for older men,1258,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,39.34064367515578,%,Crude prevalence,31.76061452513966,44.312849162011176,Core preventive services for older men,1074,Kentucky
Louisiana,30.97699641384289,-91.83455164,5964396.0,25.8250759506914,%,Crude prevalence,20.291507430997875,29.45955414012739,Core preventive services for older men,942,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,31.78397559517768,%,Crude prevalence,25.770384615384614,36.45384615384615,Core preventive services for older men,260,Maine
Maryland,39.09635731535294,-76.99446479188234,9501572.0,34.87900163257195,%,Crude prevalence,29.669313725490195,38.809999999999995,Core preventive services for older men,1020,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,32.07113255101413,%,Crude prevalence,28.74426229508197,37.983401639344265,Core preventive services for older men,488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,34.24055299843222,%,Crude prevalence,28.96210144927536,40.28615942028985,Core preventive services for older men,1380,Michigan
Minnesota,45.475074569462244,-94.24795271878719,8742850.0,36.61057862138776,%,Crude prevalence,28.253146453089244,40.49176201372998,Core preventive services for older men,1748,Minnesota
Mississippi,32.89354497546961,-89.61285239707183,3269920.0,34.463659661398445,%,Crude prevalence,27.20469613259668,38.18245856353591,Core preventive services for older men,724,Mississippi
Missouri,38.442178101454914,-92.41786722991804,8354346.0,36.019225765846905,%,Crude prevalence,27.456915983606553,40.08811475409836,Core preventive services for older men,1952,Missouri
Montana,47.10502468595931,-111.01642714709304,1364996.0,34.552537370072876,%,Crude prevalence,25.85828488372093,38.794331395348834,Core preventive services for older men,688,Montana
Nebraska,41.19929316108365,-98.30826687355513,2942558.0,35.32759836849435,%,Crude prevalence,25.66977186311787,38.403992395437264,Core preventive services for older men,1052,Nebraska
Nevada,38.745115170975616,-117.36226236585364,5128356.0,34.456562083443515,%,Crude prevalence,29.541869918699188,41.03617886178862,Core preventive services for older men,246,Nevada
New Hampshire,43.41790890463917,-71.59391600123712,1256642.0,30.375430711372054,%,Crude prevalence,25.075773195876288,35.94175257731958,Core preventive services for older men,194,New Hampshire
New Jersey,40.32114014922366,-74.53298587116453,10574380.0,37.08809522638679,%,Crude prevalence,34.73354898336414,46.08243992606285,Core preventive services for older men,1082,New Jersey
New Mexico,34.716194155669854,-106.49631947057416,3408912.0,29.618945751606375,%,Crude prevalence,20.711602870813397,30.252631578947366,Core preventive services for older men,836,New Mexico
New York,42.17260165227464,-75.06577471007583,31400530.0,24.382060503437362,%,Crude prevalence,22.85568660488627,32.03011794439764,Core preventive services for older men,2374,New York
North Carolina,35.44227040997268,-79.30688416602459,11277810.0,40.1285022712743,%,Crude prevalence,31.79726775956284,42.999795081967214,Core preventive services for older men,1464,North Carolina
North Dakota,47.471632053492065,-99.68723941034919,1043946.0,35.434165751868385,%,Crude prevalence,26.597301587301587,40.40904761904761,Core preventive services for older men,630,North Dakota
Ohio,40.35037367761748,-82.81203857996702,16220344.0,34.79797061640617,%,Crude prevalence,28.959068425391596,40.38858202802968,Core preventive services for older men,2426,Ohio
Oklahoma,35.53277339219236,-96.69971397536068,5839860.0,37.11513317100068,%,Crude prevalence,27.56704384724187,39.716265912305516,Core preventive services for older men,1414,Oklahoma
