StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,31.732338940869564,%,Crude prevalence,25.339774696707103,34.82928942807626,Core preventive services for older women,1154,Alabama
Alaska,61.59330133805461,-152.53646668191124,1376140.0,27.58308624122546,%,Crude prevalence,16.14232081911263,26.449829351535833,Core preventive services for older women,586,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,24.71384362663834,%,Crude prevalence,15.999880952380954,23.172619047619047,Core preventive services for older women,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,23.97932895261871,%,Crude prevalence,18.241104868913858,27.067883895131086,Core preventive services for older women,1068,Arkansas
California,36.89158340910265,-120.20619544242014,70498098.0,30.348008733512213,%,Crude prevalence,25.84785859959212,33.82644459551325,Core preventive services for older women,2942,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,28.188395121883307,%,Crude prevalence,21.985763888888886,31.5650462962963,Core preventive services for older women,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,29.082499794915087,%,Crude prevalence,27.161971830985912,35.36302816901409,Core preventive services for older women,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,31.670549261594992,%,Crude prevalence,26.61558441558441,35.67142857142857,Core preventive services for older women,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,34.650000000000006,%,Crude prevalence,34.2,35.150000000000006,Core preventive services for older women,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,26.54266960056065,%,Crude prevalence,23.989077936333704,31.219045005488475,Core preventive services for older women,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,29.06439340574131,%,Crude prevalence,23.5376404494382,32.33186195826645,Core preventive services for older women,1246,Georgia
Idaho,44.56659106925582,-114.7050772916279,2207250.0,26.859793589307962,%,Crude prevalence,19.936046511627907,30.10767441860465,Core preventive services for older women,430,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,26.797118880397345,%,Crude prevalence,22.27287822878229,32.19612546125461,Core preventive services for older women,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,25.046739266285726,%,Crude prevalence,19.938091715976334,29.59674556213018,Core preventive services for older women,1352,Indiana
Iowa,42.06021625488518,-93.36965079073067,4851806.0,31.314393609307547,%,Crude prevalence,24.30641962421712,36.10490605427975,Core preventive services for older women,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,30.804518997193664,%,Crude prevalence,23.011568938193342,34.46988906497623,Core preventive services for older women,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,34.554900788699136,%,Crude prevalence,27.5024208566108,38.36610800744879,Core preventive services for older women,1074,Kentucky
Louisiana,30.977950577605935,-91.83591901894067,5964822.0,23.583515954038525,%,Crude prevalence,18.83050847457627,26.900211864406778,Core preventive services for older women,944,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,26.925634891098234,%,Crude prevalence,22.230384615384615,31.49076923076923,Core preventive services for older women,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,30.37781880203557,%,Crude prevalence,25.698043052837576,33.589530332681015,Core preventive services for older women,1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,27.812279726026507,%,Crude prevalence,24.813319672131147,32.925409836065576,Core preventive services for older women,488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,29.278991496989985,%,Crude prevalence,24.77463768115942,34.633405797101446,Core preventive services for older women,1380,Michigan
Minnesota,45.475886072194285,-94.25051003554287,8742960.0,33.48040353610219,%,Crude prevalence,26.545485714285714,37.894285714285715,Core preventive services for older women,1750,Minnesota
Mississippi,32.89354497546961,-89.61285239707183,3269920.0,25.640599861770323,%,Crude prevalence,19.76795580110497,28.331077348066295,Core preventive services for older women,724,Mississippi
Missouri,38.44245671128074,-92.41624786421106,8354344.0,33.30441277017082,%,Crude prevalence,25.889139344262297,37.42254098360655,Core preventive services for older women,1952,Missouri
Montana,47.10618655049276,-111.01690867101449,1371940.0,30.716157339242244,%,Crude prevalence,23.152898550724636,34.78811594202899,Core preventive services for older women,690,Montana
