StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,14.715201185099406,%,Crude prevalence,14.71473136915078,17.44835355285962,Physical Health,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,12.362632638565083,%,Crude prevalence,15.984406779661017,19.47677966101695,Physical Health,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,13.860926432880627,%,Crude prevalence,17.104880952380952,20.32761904761905,Physical Health,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,15.725275529727131,%,Crude prevalence,15.542696629213482,18.642134831460673,Physical Health,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,12.920259650295215,%,Crude prevalence,12.9203125,15.129211956521738,Physical Health,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,10.439519671172613,%,Crude prevalence,10.034143518518519,12.38136574074074,Physical Health,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,11.785252813558794,%,Crude prevalence,9.507394366197182,11.421478873239437,Physical Health,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,12.652093749119116,%,Crude prevalence,11.89155844155844,14.2512987012987,Physical Health,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,9.399999999999999,%,Crude prevalence,9.3,9.5,Physical Health,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,13.878258118096596,%,Crude prevalence,13.459769484083425,15.630680570801317,Physical Health,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,13.095145897574513,%,Crude prevalence,13.692295345104332,16.147672552166934,Physical Health,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,12.077952420489257,%,Crude prevalence,11.911805555555555,14.648148148148149,Physical Health,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,11.61875241743773,%,Crude prevalence,11.099667896678966,13.496346863468634,Physical Health,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,13.628215989176796,%,Crude prevalence,12.073224852071005,14.747115384615384,Physical Health,1352,Indiana
Iowa,42.06021625488518,-93.36965079073069,4851806.0,10.339651461744348,%,Crude prevalence,9.311899791231731,11.708716075156577,Physical Health,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,11.743272405146627,%,Crude prevalence,10.915293185419968,13.717591125198098,Physical Health,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,15.083345078652044,%,Crude prevalence,14.849906890130352,18.058938547486033,Physical Health,1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,14.66113279346124,%,Crude prevalence,14.432769556025372,17.032558139534885,Physical Health,946,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,12.945148196301899,%,Crude prevalence,11.907692307692308,14.798846153846153,Physical Health,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,10.688834598987267,%,Crude prevalence,10.190998043052838,12.264187866927593,Physical Health,1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,11.935236264927319,%,Crude prevalence,10.081147540983608,12.153073770491803,Physical Health,488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,15.054402489063259,%,Crude prevalence,13.083768115942028,15.732173913043479,Physical Health,1380,Michigan
Minnesota,45.47797570044521,-94.25205112939499,8743108.0,9.889188032447958,%,Crude prevalence,9.870833333333334,12.280650684931507,Physical Health,1752,Minnesota
Mississippi,32.89354497546961,-89.61285239707183,3269920.0,15.460256642364339,%,Crude prevalence,15.328729281767956,18.298618784530387,Physical Health,724,Mississippi
Missouri,38.444272122290386,-92.41824430639059,8354568.0,13.397106912050988,%,Crude prevalence,13.274897750511245,16.3840490797546,Physical Health,1956,Missouri
Montana,47.10618655049276,-111.01690867101449,1371940.0,12.17957716809773,%,Crude prevalence,11.89144927536232,14.987246376811596,Physical Health,690,Montana
Nebraska,41.19929316108365,-98.30826687355513,2942558.0,10.706453534645707,%,Crude prevalence,9.638498098859316,12.240969581749049,Physical Health,1052,Nebraska
Nevada,38.745115170975616,-117.36226236585364,5128356.0,14.363008925277418,%,Crude prevalence,13.59918699186992,16.276016260162603,Physical Health,246,Nevada
New Hampshire,43.41790890463917,-71.59391600123712,1256642.0,11.502143410772518,%,Crude prevalence,10.305670103092785,12.879896907216496,Physical Health,194,New Hampshire
New Jersey,40.321140149223666,-74.53298587116453,10574380.0,12.71882173706638,%,Crude prevalence,10.434750462107209,12.655268022181145,Physical Health,1082,New Jersey
New Mexico,34.716194155669854,-106.49631947057416,3408912.0,14.096649810848739,%,Crude prevalence,14.728947368421055,17.756937799043065,Physical Health,836,New Mexico
New York,42.175735164853066,-75.07139601797648,31426506.0,12.025138655248533,%,Crude prevalence,10.583669185558355,12.947481108312344,Physical Health,2382,New York
North Carolina,35.44227040997268,-79.30688416602459,11277810.0,12.34650375383164,%,Crude prevalence,13.071311475409837,15.557035519125684,Physical Health,1464,North Carolina
North Dakota,47.47547389858044,-99.67258589031546,1048814.0,10.364191648852895,%,Crude prevalence,9.821293375394323,12.646529968454258,Physical Health,634,North Dakota
Ohio,40.35037367761748,-82.81203857996702,16220344.0,13.646233261144154,%,Crude prevalence,12.249134377576258,14.792704039571314,Physical Health,2426,Ohio
Oklahoma,35.53277339219236,-96.69971397536068,5839860.0,14.5808228621919,%,Crude prevalence,14.955799151343706,17.854243281471007,Physical Health,1414,Oklahoma
Oregon,44.56117653220109,-122.05452853152174,6081498.0,13.83284095464637,%,Crude prevalence,13.928804347826087,16.810054347826085,Physical Health,736,Oregon
Pennsylvania,40.62262966218732,-77.64045840463734,14139000.0,13.547840646438928,%,Crude prevalence,11.65271273557967,14.366390633923475,Physical Health,3502,Pennsylvania
Rhode Island,41.6405243375,-71.57488506388889,1299164.0,14.015420531972866,%,Crude prevalence,11.309722222222222,13.531944444444443,Physical Health,72,Rhode Island
South Carolina,34.028137666556965,-81.10666934536708,4322376.0,13.373678481464824,%,Crude prevalence,13.823037974683546,16.286582278481013,Physical Health,790,South Carolina
South Dakota,44.23290506853731,-98.98084603495522,1224018.0,10.62836494234562,%,Crude prevalence,10.37044776119403,13.210149253731343,Physical Health,670,South Dakota
