StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,39.423088512071814,%,Crude prevalence,37.872790294627386,40.39878682842287,Sleep <7 hours,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,34.3923967688846,%,Crude prevalence,34.886610169491526,38.13830508474576,Sleep <7 hours,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,35.07192154928157,%,Crude prevalence,36.17333333333333,38.63047619047619,Sleep <7 hours,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,36.569420446290636,%,Crude prevalence,34.87265917602996,37.62265917602996,Sleep <7 hours,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,34.712928231109885,%,Crude prevalence,32.19446331521739,34.308016304347824,Sleep <7 hours,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,30.59300532963948,%,Crude prevalence,29.083217592592593,31.86377314814815,Sleep <7 hours,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,36.147226702010016,%,Age-adjusted prevalence,32.7862676056338,35.207042253521124,Sleep <7 hours,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,37.390232245863366,%,Crude prevalence,34.624025974025976,37.08311688311689,Sleep <7 hours,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,36.9,%,Crude prevalence,36.7,37.0,Sleep <7 hours,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,38.86028413137745,%,Crude prevalence,37.29945115257958,39.42480790340285,Sleep <7 hours,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,39.39309361370736,%,Crude prevalence,38.662921348314605,41.117495987158904,Sleep <7 hours,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,34.2159714436204,%,Crude prevalence,32.47569444444444,35.46736111111112,Sleep <7 hours,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,35.0959365468991,%,Crude prevalence,32.74081180811808,35.65929889298892,Sleep <7 hours,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,37.460113070368486,%,Crude prevalence,34.99016272189349,38.04068047337278,Sleep <7 hours,1352,Indiana
