StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,4.018399306990944,%,Crude prevalence,3.889774696707106,4.698526863084922,Stroke,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,2.9718147497715814,%,Crude prevalence,3.986779661016949,5.014915254237288,Stroke,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,3.1591531799407004,%,Crude prevalence,4.192380952380952,5.157619047619047,Stroke,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,3.7776904050583693,%,Crude prevalence,3.741573033707865,4.602715355805244,Stroke,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,2.884374657704056,%,Crude prevalence,2.941779891304348,3.5045176630434782,Stroke,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,2.5609234058646915,%,Crude prevalence,2.5239583333333333,3.157986111111111,Stroke,864,Colorado
Connecticut,41.55712863246479,-72.72490392852113,4364046.0,2.967136368406749,%,Crude prevalence,2.4218309859154927,2.946830985915493,Stroke,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,3.387435070842292,%,Crude prevalence,3.02987012987013,3.6818181818181817,Stroke,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,3.4000000000000004,%,Crude prevalence,3.4000000000000004,3.45,Stroke,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,3.553528494842562,%,Crude prevalence,3.457025246981339,4.085949506037322,Stroke,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,3.6901702330891593,%,Crude prevalence,3.7620385232744784,4.508828250401284,Stroke,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,3.0031955174217586,%,Crude prevalence,3.0099537037037036,3.7800925925925926,Stroke,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,3.142175546558475,%,Crude prevalence,2.8618450184501842,3.5354612546125463,Stroke,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,3.458241289823197,%,Crude prevalence,2.9594674556213016,3.689127218934911,Stroke,1352,Indiana
Iowa,42.06021625488518,-93.36965079073069,4851806.0,2.965252402919655,%,Crude prevalence,2.7312630480167015,3.502661795407098,Stroke,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,3.027662202144806,%,Crude prevalence,2.8748811410459587,3.7036450079239303,Stroke,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,3.485698341394623,%,Crude prevalence,3.3312849162011173,4.16461824953445,Stroke,1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,4.184595255043505,%,Crude prevalence,3.98615221987315,4.768393234672304,Stroke,946,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,3.1566846625648264,%,Crude prevalence,2.9030769230769233,3.6884615384615387,Stroke,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,3.1428800417599523,%,Crude prevalence,2.8462818003913894,3.45,Stroke,1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,2.829734427760576,%,Crude prevalence,2.427459016393443,2.956147540983607,Stroke,488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,3.676112586656534,%,Crude prevalence,3.002536231884058,3.692246376811594,Stroke,1380,Michigan
Minnesota,45.47797570044521,-94.25205112939499,8743108.0,2.6530054186680525,%,Crude prevalence,2.682591324200913,3.4185502283105023,Stroke,1752,Minnesota
Mississippi,32.89354497546961,-89.61285239707183,3269920.0,4.293619262856583,%,Crude prevalence,4.229419889502763,5.131077348066299,Stroke,724,Mississippi
Missouri,38.444272122290386,-92.41824430639059,8354568.0,3.3948000902021502,%,Crude prevalence,3.2329243353783235,4.088241308793457,Stroke,1956,Missouri
Montana,47.10618655049276,-111.01690867101449,1371940.0,3.1914898610726414,%,Crude prevalence,3.229130434782609,4.141304347826087,Stroke,690,Montana
Nebraska,41.19929316108365,-98.30826687355513,2942558.0,2.979844237564731,%,Crude prevalence,2.8025665399239545,3.6402091254752853,Stroke,1052,Nebraska
Nevada,38.745115170975616,-117.36226236585364,5128356.0,3.1817006268675576,%,Crude prevalence,3.1548780487804873,3.8711382113821147,Stroke,246,Nevada
New Hampshire,43.41790890463917,-71.59391600123712,1256642.0,2.716872028787833,%,Crude prevalence,2.4871134020618557,3.15,Stroke,194,New Hampshire
New Jersey,40.32114014922366,-74.53298587116453,10574380.0,3.1016221092867853,%,Crude prevalence,2.544177449168207,3.127449168207024,Stroke,1082,New Jersey
New Mexico,34.716194155669854,-106.49631947057416,3408912.0,3.287066107896009,%,Crude prevalence,3.5586124401913874,4.388397129186603,Stroke,836,New Mexico
New York,42.175735164853066,-75.07139601797648,31426506.0,3.0870044859584453,%,Crude prevalence,2.582787573467674,3.209445843828715,Stroke,2382,New York
North Carolina,35.44227040997268,-79.30688416602459,11277810.0,3.4620390926961884,%,Crude prevalence,3.6533469945355193,4.419193989071038,Stroke,1464,North Carolina
North Dakota,47.47547389858044,-99.67258589031546,1048814.0,2.87113062945384,%,Crude prevalence,2.8518927444794953,3.7649842271293377,Stroke,634,North Dakota
Ohio,40.35037367761748,-82.81203857996704,16220344.0,3.5577713086726153,%,Crude prevalence,2.987592745259687,3.674361088211047,Stroke,2426,Ohio
Oklahoma,35.53277339219236,-96.69971397536068,5839860.0,3.591568102659995,%,Crude prevalence,3.6565770862800564,4.477793493635078,Stroke,1414,Oklahoma
Oregon,44.56117653220109,-122.05452853152174,6081498.0,3.002376223752766,%,Crude prevalence,3.136820652173913,3.879891304347826,Stroke,736,Oregon
Pennsylvania,40.62262966218732,-77.64045840463734,14139000.0,3.50626093783153,%,Crude prevalence,2.878869217589949,3.6179897201599087,Stroke,3502,Pennsylvania
Rhode Island,41.6405243375,-71.57488506388889,1299164.0,3.188266223509888,%,Crude prevalence,2.625,3.1902777777777778,Stroke,72,Rhode Island
South Carolina,34.028137666556965,-81.10666934536708,4322376.0,3.657808136080711,%,Crude prevalence,3.8193670886075948,4.573797468354431,Stroke,790,South Carolina
South Dakota,44.23290506853731,-98.98084603495522,1224018.0,3.1517503010576644,%,Crude prevalence,3.1756716417910447,4.138805970149254,Stroke,670,South Dakota
Tennessee,35.82847530804196,-86.25422037505827,7896488.0,3.7221242025568837,%,Crude prevalence,3.502680652680653,4.27027972027972,Stroke,858,Tennessee
Texas,30.720427723370918,-97.76995810419584,39637532.0,3.2588357367961254,%,Crude prevalence,3.2172700296735908,3.942255192878338,Stroke,3370,Texas
Utah,39.87648097053291,-111.76695994733542,5287556.0,2.569361062086151,%,Crude prevalence,2.644514106583072,3.2857366771159877,Stroke,638,Utah
Vermont,44.03558706107438,-72.61920375776859,485298.0,2.8922666073216874,%,Crude prevalence,2.64297520661157,3.435537190082644,Stroke,242,Vermont
Virginia,37.76904527979764,-78.37208386681282,10869342.0,2.937703929087888,%,Crude prevalence,3.1330522765598654,3.8138279932546375,Stroke,1186,Virginia
Washington,47.331982331372544,-121.38399935751634,11089644.0,2.791902192712408,%,Crude prevalence,2.868137254901961,3.5113562091503265,Stroke,1224,Washington
West Virginia,38.60101814196517,-80.84832210097015,1607296.0,3.749327752946564,%,Crude prevalence,3.5772388059701496,4.453855721393035,Stroke,804,West Virginia
Wisconsin,44.14772710524484,-89.6623079268299,8440154.0,2.9659514506488858,%,Age-adjusted prevalence,2.7418814432989693,3.4465850515463914,Stroke,1552,Wisconsin
Wyoming,42.80424961384616,-107.79239045604396,876456.0,2.8864656069443306,%,Age-adjusted prevalence,2.7030219780219777,3.435989010989011,Stroke,364,Wyoming
