StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.97101272128748,-86.72049750280424,6204830.0,70.089363318576,%,Crude prevalence,69.83994708994709,70.9453262786596,Taking BP Medication,1134,Alabama
Alaska,61.56233847366437,-152.60539054726027,1367124.0,55.658224491706676,%,Crude prevalence,55.26541095890411,57.273801369863016,Taking BP Medication,584,Alaska
Arizona,33.89366533611111,-111.58356222246377,11827378.0,64.02048113284282,%,Crude prevalence,62.86388888888889,64.19541062801932,Taking BP Medication,828,Arizona
Arkansas,35.06974689727955,-92.36435809212007,3903040.0,68.17650492949086,%,Crude prevalence,68.43142589118199,69.73020637898686,Taking BP Medication,1066,Arkansas
California,36.89426883528807,-120.20748722537724,70175008.0,59.27461313435119,%,Crude prevalence,59.62235939643347,60.809430727023326,Taking BP Medication,2916,California
Colorado,39.204006937179486,-105.30551102983684,8610912.0,58.05990735940629,%,Crude prevalence,58.354195804195804,59.920279720279716,Taking BP Medication,858,Colorado
Connecticut,41.557647372285714,-72.72910103342856,4359470.0,65.50022225178748,%,Crude prevalence,65.08535714285715,66.17428571428572,Taking BP Medication,280,Connecticut
Delaware,39.129747734868424,-75.48682848092106,778678.0,64.61726297648065,%,Crude prevalence,64.66710526315791,65.84736842105264,Taking BP Medication,152,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,66.5,%,Crude prevalence,66.45,66.6,Taking BP Medication,2,District of Columbia
Florida,28.144012067588104,-82.13434021247797,28698268.0,65.46776896779973,%,Crude prevalence,65.40341409691631,66.36685022026431,Taking BP Medication,1816,Florida
Georgia,32.956022536130085,-83.57780977079673,8742128.0,69.4649813180498,%,Crude prevalence,69.76121951219511,70.87715447154471,Taking BP Medication,1230,Georgia
Idaho,44.54809443629107,-114.70831114178405,2210916.0,59.21688123836454,%,Crude prevalence,60.093192488262915,61.68333333333333,Taking BP Medication,426,Idaho
Illinois,40.346881306518846,-89.0222872195861,22513224.0,64.3709325105991,%,Crude prevalence,64.18429416112343,65.62623798965264,Taking BP Medication,2706,Illinois
