StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,59.35293962360801,%,Crude prevalence,53.01395147313691,59.82053726169845,Dental Visit,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,65.84001947907633,%,Crude prevalence,52.54,60.6964406779661,Dental Visit,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,60.29731364934389,%,Crude prevalence,49.630119047619054,56.66059523809523,Dental Visit,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,56.27877986269555,%,Crude prevalence,49.64157303370787,57.20852059925093,Dental Visit,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,63.796360122979586,%,Crude prevalence,60.81586277173913,66.36419836956522,Dental Visit,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,67.7013599049621,%,Crude prevalence,62.11956018518518,69.02893518518519,Dental Visit,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,71.3075062224367,%,Crude prevalence,73.97535211267606,78.66338028169015,Dental Visit,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,63.718358775398286,%,Crude prevalence,61.23831168831169,67.3642857142857,Dental Visit,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,70.4,%,Crude prevalence,70.1,70.65,Dental Visit,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,60.95539232980956,%,Crude prevalence,57.275301866081236,62.69621295279912,Dental Visit,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,59.95761937675712,%,Crude prevalence,52.87078651685393,59.358747993579456,Dental Visit,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,64.13510804860222,%,Crude prevalence,58.892361111111114,66.43148148148147,Dental Visit,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,64.86534789259811,%,Crude prevalence,61.68228782287823,68.57442804428045,Dental Visit,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,61.08257756707321,%,Crude prevalence,58.303994082840234,65.82832840236686,Dental Visit,1352,Indiana
Iowa,42.06021625488518,-93.36965079073067,4851806.0,69.15591622995643,%,Crude prevalence,64.54389352818372,72.03810020876827,Dental Visit,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,65.8655528513154,%,Crude prevalence,59.948256735340735,68.04136291600634,Dental Visit,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,59.74132280414037,%,Crude prevalence,54.865176908752325,62.59040968342645,Dental Visit,1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,54.605754511728406,%,Crude prevalence,48.6284355179704,55.445137420718815,Dental Visit,946,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,63.813397358131255,%,Crude prevalence,59.309230769230766,66.97115384615384,Dental Visit,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,65.57588652056995,%,Crude prevalence,63.08454011741682,69.03982387475538,Dental Visit,1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,70.40340575232167,%,Crude prevalence,71.73831967213115,76.8655737704918,Dental Visit,488,Massachusetts
